Run_ID	Bag	sample	Depth	d17	d18	dD
HKDS2004_Fast_IsoWater_20180528_101141	601	1	330.025	-19.2750	-36.3494	-282.5037
HKDS2004_Fast_IsoWater_20180528_101141	601	2	330.050	-19.3928	-36.5281	-284.5104
HKDS2004_Fast_IsoWater_20180528_101141	601	3	330.075	-19.5006	-36.7159	-285.5546
HKDS2004_Fast_IsoWater_20180528_101141	601	4	330.100	-19.5009	-36.7748	-285.6603
HKDS2004_Fast_IsoWater_20180528_101141	601	5	330.125	-19.4891	-36.6746	-285.3852
HKDS2004_Fast_IsoWater_20180528_101141	601	6	330.150	-19.4952	-36.7470	-284.9543
HKDS2004_Fast_IsoWater_20180528_101141	601	7	330.175	-19.4360	-36.6251	-284.5793
HKDS2004_Fast_IsoWater_20180528_101141	601	8	330.200	-19.4814	-36.6691	-284.5669
HKDS2004_Fast_IsoWater_20180528_101141	601	9	330.225	-19.4993	-36.7845	-285.3929
HKDS2004_Fast_IsoWater_20180528_101141	601	10	330.250	-19.5524	-36.8016	-286.3480
HKDS2004_Fast_IsoWater_20180528_101141	601	11	330.275	-19.6596	-36.9969	-287.3903
HKDS2004_Fast_IsoWater_20180528_101141	601	12	330.300	-19.7476	-37.0431	-288.1920
HKDS2004_Fast_IsoWater_20180528_101141	601	13	330.325	-19.7681	-37.0748	-287.9504
HKDS2004_Fast_IsoWater_20180528_101141	601	14	330.350	-19.6804	-37.0512	-287.5914
HKDS2004_Fast_IsoWater_20180528_101141	601	15	330.375	-19.6721	-37.0463	-287.3922
HKDS2004_Fast_IsoWater_20180528_101141	601	16	330.400	-19.7684	-37.1818	-287.4379
HKDS2004_Fast_IsoWater_20180528_101141	601	17	330.425	-19.7434	-37.1656	-287.9999
HKDS2004_Fast_IsoWater_20180528_101141	601	18	330.450	-19.8100	-37.2820	-288.7032
HKDS2004_Fast_IsoWater_20180528_101141	601	19	330.475	-19.7997	-37.3353	-289.1232
HKDS2004_Fast_IsoWater_20180528_101141	601	20	330.500	-19.7665	-37.2228	-288.7891
HKDS2004_Fast_IsoWater_20180528_101141	601	21	330.525	-19.6558	-37.0172	-287.6533
HKDS2004_Fast_IsoWater_20180528_101141	601	22	330.550	-19.5627	-36.8032	-286.1122
HKDS2004_Fast_IsoWater_20180528_101141	602	1	330.575	-19.5569	-36.7250	-285.2821
HKDS2004_Fast_IsoWater_20180528_101141	602	2	330.600	-19.4555	-36.6086	-284.9240
HKDS2004_Fast_IsoWater_20180528_101141	602	3	330.625	-19.4280	-36.5663	-285.3932
HKDS2004_Fast_IsoWater_20180528_101141	602	4	330.650	-19.4680	-36.6914	-286.2740
HKDS2004_Fast_IsoWater_20180528_101141	602	5	330.675	-19.5844	-36.8546	-287.7864
