depth	lamda	sigma18_hld	sigma18_hls	sigma18_bar	sigma18_gou	attenuation_hld	attenuation_hls	attenuation_bar	attenuation_gou
37.4	0.422	0.1041	0.1044	0.1045	0.0971	0.3008	0.2988	0.2981	0.3517
37.95	0.42	0.1042	0.1044	0.1046	0.0971	0.2967	0.2953	0.294	0.3482
38.5	0.4178	0.1042	0.1044	0.1047	0.0971	0.2929	0.2916	0.2895	0.3443
39.05	0.415	0.1042	0.1045	0.1047	0.0971	0.2881	0.286	0.2847	0.3394
39.6	0.413	0.1042	0.1045	0.1048	0.0971	0.2846	0.2826	0.2805	0.3358
40.15	0.411	0.1042	0.1045	0.1048	0.0971	0.2812	0.2791	0.2771	0.3323
40.7	0.409	0.1042	0.1045	0.1048	0.097	0.2777	0.2757	0.2736	0.3295
41.25	0.407	0.1042	0.1045	0.1048	0.097	0.2742	0.2722	0.2702	0.3259
41.8	0.405	0.1042	0.1044	0.1048	0.0969	0.2707	0.2694	0.2667	0.323
42.35	0.403	0.1042	0.1044	0.1048	0.0969	0.2672	0.2659	0.2632	0.3194
42.9	0.401	0.1041	0.1044	0.1048	0.0968	0.2644	0.2624	0.2597	0.3166
43.45	0.399	0.1041	0.1043	0.1048	0.0967	0.2609	0.2595	0.2562	0.3137
44	0.397	0.104	0.1043	0.1047	0.0966	0.258	0.256	0.2534	0.3108
44.55	0.395	0.104	0.1042	0.1047	0.0965	0.2545	0.2532	0.2499	0.3079
45.1	0.393	0.1039	0.1042	0.1047	0.0964	0.2517	0.2497	0.2464	0.3049
45.65	0.392	0.1039	0.1041	0.1046	0.0963	0.2499	0.2486	0.2453	0.3038
46.2	0.39	0.1038	0.104	0.1045	0.0961	0.247	0.2457	0.2424	0.3016
46.75	0.388	0.1037	0.104	0.1044	0.096	0.2441	0.2422	0.2395	0.2987
47.3	0.386	0.1036	0.1039	0.1044	0.0959	0.2413	0.2393	0.236	0.2957
47.85	0.385	0.1035	0.1038	0.1043	0.0957	0.2401	0.2382	0.2349	0.2953
48.4	0.383	0.1034	0.1037	0.1042	0.0955	0.2372	0.2353	0.232	0.2931
48.95	0.3818	0.1033	0.1036	0.1041	0.0954	0.2358	0.2338	0.2305	0.2916
49.5	0.38	0.1032	0.1035	0.104	0.0952	0.2332	0.2312	0.228	0.2897
50.05	0.378	0.1031	0.1034	0.1038	0.095	0.2303	0.2283	0.2257	0.2874
50.6	0.377	0.103	0.1033	0.1037	0.0948	0.2291	0.2272	0.2246	0.287
51.15	0.375	0.1029	0.1032	0.1036	0.0946	0.2262	0.2243	0.2217	0.2847
51.7	0.374	0.1028	0.1031	0.1034	0.0944	0.2251	0.2231	0.2212	0.2843
52.25	0.372	0.1027	0.1029	0.1033	0.0942	0.2221	0.2208	0.2183	0.282
52.8	0.371	0.1025	0.1028	0.1031	0.094	0.2216	0.2197	0.2178	0.2816
53.35	0.37	0.1024	0.1027	0.103	0.0938	0.2205	0.2185	0.2166	0.2812
53.9	0.368	0.1023	0.1025	0.1028	0.0936	0.2175	0.2162	0.2143	0.2789
54.45	0.367	0.1021	0.1024	0.1026	0.0934	0.217	0.2151	0.2138	0.2785
55	0.366	0.102	0.1023	0.1025	0.0931	0.2159	0.2139	0.2126	0.2788
55.55	0.364	0.1018	0.1021	0.1023	0.0929	0.2135	0.2116	0.2103	0.2764
56.1	0.363	0.1017	0.102	0.1021	0.0927	0.2124	0.2104	0.2098	0.276
56.65	0.362	0.1016	0.1018	0.1019	0.0924	0.2112	0.2099	0.2093	0.2764
57.2	0.361	0.1014	0.1017	0.1017	0.0922	0.2107	0.2088	0.2088	0.2759
57.75	0.3598	0.1012	0.1015	0.1015	0.0919	0.2098	0.2079	0.2079	0.2759
58.3	0.358	0.1011	0.1014	0.1013	0.0917	0.2072	0.2052	0.2059	0.2739
58.85	0.357	0.1009	0.1012	0.1011	0.0914	0.2066	0.2047	0.2053	0.2742
59.4	0.356	0.1008	0.1011	0.1008	0.0911	0.2055	0.2035	0.2055	0.2746
59.95	0.355	0.1006	0.1009	0.1006	0.0909	0.2049	0.203	0.2049	0.2741
60.5	0.354	0.1004	0.1007	0.1004	0.0906	0.2044	0.2024	0.2044	0.2745
61.05	0.353	0.1003	0.1006	0.1002	0.0903	0.2032	0.2013	0.2038	0.2748
61.6	0.352	0.1001	0.1004	0.0999	0.0901	0.2026	0.2007	0.2039	0.2744
62.14	0.351	0.0999	0.1002	0.0997	0.0898	0.2021	0.2002	0.2034	0.2747
62.7	0.35	0.0998	0.1001	0.0994	0.0895	0.2009	0.199	0.2035	0.2751
63.25	0.349	0.0996	0.0999	0.0992	0.0893	0.2004	0.1984	0.203	0.2746
63.8	0.348	0.0994	0.0997	0.0989	0.089	0.1998	0.1979	0.2031	0.275
64.35	0.347	0.0993	0.0995	0.0987	0.0888	0.1986	0.1973	0.2025	0.2745
64.9	0.346	0.0991	0.0994	0.0984	0.0885	0.198	0.1961	0.2026	0.2749
65.45	0.345	0.0989	0.0992	0.0982	0.0882	0.1975	0.1955	0.202	0.2752
66	0.344	0.0987	0.099	0.0979	0.088	0.1969	0.195	0.2022	0.2748
66.55	0.344	0.0985	0.0988	0.0976	0.0878	0.1982	0.1963	0.2041	0.2764
67.1	0.343	0.0984	0.0987	0.0974	0.0877	0.197	0.1951	0.2036	0.2751
67.65	0.342	0.0982	0.0985	0.0971	0.0875	0.1964	0.1945	0.2037	0.2747
68.2	0.341	0.098	0.0983	0.0968	0.0873	0.1959	0.1939	0.2038	0.2742
68.75	0.34	0.0978	0.0981	0.0965	0.0872	0.1953	0.1933	0.2039	0.273
69.3	0.34	0.0977	0.0979	0.0963	0.087	0.1959	0.1946	0.2053	0.2746
69.85	0.339	0.0975	0.0978	0.096	0.0868	0.1954	0.1934	0.2054	0.2741
70.4	0.338	0.0973	0.0976	0.0958	0.0867	0.1948	0.1928	0.2048	0.2729
70.95	0.338	0.0971	0.0974	0.0955	0.0865	0.1961	0.1941	0.2068	0.2745
71.5	0.337	0.0969	0.0972	0.0953	0.0864	0.1955	0.1936	0.2063	0.2732
72.05	0.336	0.0968	0.097	0.0951	0.0862	0.1943	0.193	0.2057	0.2728
72.6	0.336	0.0966	0.0969	0.0948	0.0861	0.1956	0.1936	0.2078	0.2736
73.15	0.335	0.0964	0.0967	0.0946	0.086	0.195	0.1931	0.2072	0.2723
73.7	0.334	0.0963	0.0965	0.0944	0.0858	0.1938	0.1925	0.2066	0.2718
74.25	0.334	0.0961	0.0964	0.0942	0.0857	0.1951	0.1931	0.208	0.2727
74.8	0.333	0.0959	0.0962	0.0939	0.0856	0.1945	0.1926	0.2081	0.2714
75.35	0.333	0.0958	0.0961	0.0937	0.0854	0.1952	0.1932	0.2095	0.273
75.9	0.332	0.0956	0.0959	0.0935	0.0853	0.1946	0.1926	0.209	0.2717
76.45	0.331	0.0955	0.0957	0.0933	0.0852	0.1934	0.192	0.2084	0.2704
77	0.331	0.0953	0.0956	0.0931	0.0851	0.1947	0.1927	0.2098	0.2712
77.55	0.33	0.0952	0.0954	0.0929	0.085	0.1934	0.1921	0.2092	0.2699
78.1	0.33	0.095	0.0953	0.0927	0.0848	0.1948	0.1928	0.2106	0.2716
78.65	0.329	0.0949	0.0952	0.0925	0.0847	0.1935	0.1915	0.2101	0.2703
79.2	0.329	0.0947	0.095	0.0923	0.0846	0.1949	0.1929	0.2115	0.2711
79.75	0.328	0.0946	0.0949	0.0921	0.0845	0.1936	0.1916	0.2109	0.2698
80.3	0.328	0.0945	0.0947	0.0919	0.0844	0.1943	0.1929	0.2123	0.2706
80.85	0.327	0.0943	0.0946	0.0917	0.0843	0.1937	0.1917	0.2118	0.2693
81.4	0.327	0.0942	0.0945	0.0916	0.0842	0.1944	0.1923	0.2125	0.2702
81.95	0.326	0.0941	0.0943	0.0914	0.0841	0.1931	0.1917	0.2119	0.2688
82.5	0.326	0.0939	0.0942	0.0912	0.084	0.1944	0.1924	0.2133	0.2697
83.05	0.326	0.0938	0.0941	0.0911	0.0839	0.1951	0.1931	0.2141	0.2705
83.6	0.325	0.0937	0.094	0.0909	0.0838	0.1938	0.1918	0.2135	0.2692
84.15	0.325	0.0936	0.0938	0.0907	0.0837	0.1945	0.1932	0.2149	0.27
84.7	0.324	0.0934	0.0937	0.0906	0.0837	0.1939	0.1919	0.2136	0.2679
85.25	0.324	0.0933	0.0936	0.0904	0.0836	0.1946	0.1926	0.2151	0.2687
85.8	0.324	0.0932	0.0935	0.0903	0.0835	0.1953	0.1932	0.2158	0.2695
86.35	0.323	0.0931	0.0933	0.0901	0.0834	0.194	0.1926	0.2153	0.2682
