Run_ID	Bag	sample	Depth	d17	d18	dD
HKDS2004_Fast_IsoWater_20181102_082940	2203	10	1211.350	-19.5557	-36.7820	-287.3272
HKDS2004_Fast_IsoWater_20181102_082940	2203	11	1211.375	-19.4287	-36.5620	-285.6074
HKDS2004_Fast_IsoWater_20181102_082940	2203	12	1211.400	-19.1750	-36.0768	-281.3084
HKDS2004_Fast_IsoWater_20181102_082940	2203	13	1211.425	-19.1925	-36.0149	-280.0834
HKDS2004_Fast_IsoWater_20181102_082940	2203	14	1211.450	-19.3176	-36.3240	-284.6310
HKDS2004_Fast_IsoWater_20181102_082940	2203	15	1211.475	-19.4954	-36.6198	-287.5945
HKDS2004_Fast_IsoWater_20181102_082940	2203	16	1211.500	-19.4909	-36.5604	-286.0731
HKDS2004_Fast_IsoWater_20181102_082940	2203	17	1211.525	-19.3836	-36.4968	-285.3424
HKDS2004_Fast_IsoWater_20181102_082940	2203	18	1211.550	-19.6970	-36.9353	-288.9553
HKDS2004_Fast_IsoWater_20181102_082940	2203	19	1211.575	-19.9995	-37.6546	-296.1960
HKDS2004_Fast_IsoWater_20181102_082940	2203	20	1211.600	-20.3735	-38.2018	-301.4559
HKDS2004_Fast_IsoWater_20181102_082940	2203	21	1211.625	-20.2957	-38.1449	-300.5175
HKDS2004_Fast_IsoWater_20181102_082940	2203	22	1211.650	-20.0687	-37.7163	-296.3730
HKDS2004_Fast_IsoWater_20181102_082940	2204	1	1211.675	-19.9147	-37.4400	-293.0504
HKDS2004_Fast_IsoWater_20181102_082940	2204	2	1211.700	-19.8220	-37.2745	-291.2517
HKDS2004_Fast_IsoWater_20181102_082940	2204	3	1211.725	-19.7871	-37.2020	-291.6725
HKDS2004_Fast_IsoWater_20181102_082940	2204	4	1211.750	-19.7325	-37.0883	-292.5140
HKDS2004_Fast_IsoWater_20181102_082940	2204	5	1211.775	-19.6633	-36.9666	-291.5626
