Run_ID	Bag	sample	Depth	d17	d18	dD
HKDS2004_Fast_IsoWater_20181212_082637	2001	1	1100.025	-19.2858	-36.2401	-281.6519
HKDS2004_Fast_IsoWater_20181212_082637	2001	2	1100.050	-19.0529	-35.7748	-277.9412
HKDS2004_Fast_IsoWater_20181212_082637	2001	3	1100.075	-18.7341	-35.2596	-273.8001
HKDS2004_Fast_IsoWater_20181212_082637	2001	4	1100.100	-18.5670	-34.9326	-270.8441
HKDS2004_Fast_IsoWater_20181212_082637	2001	5	1100.125	-18.5160	-34.7780	-270.4461
HKDS2004_Fast_IsoWater_20181212_082637	2001	6	1100.150	-18.4542	-34.7732	-270.4731
HKDS2004_Fast_IsoWater_20181212_082637	2001	7	1100.175	-18.4656	-34.6678	-269.6128
HKDS2004_Fast_IsoWater_20181212_082637	2001	8	1100.200	-18.3484	-34.4289	-267.7646
HKDS2004_Fast_IsoWater_20181212_082637	2001	9	1100.225	-18.0597	-34.0367	-264.5035
HKDS2004_Fast_IsoWater_20181212_082637	2001	10	1100.250	-17.9938	-33.8484	-262.2938
HKDS2004_Fast_IsoWater_20181212_082637	2001	11	1100.275	-18.0217	-33.9083	-263.0663
HKDS2004_Fast_IsoWater_20181212_082637	2001	12	1100.300	-18.2714	-34.3828	-266.7087
HKDS2004_Fast_IsoWater_20181212_082637	2001	13	1100.325	-18.4191	-34.8145	-271.1503
HKDS2004_Fast_IsoWater_20181212_082637	2001	14	1100.350	-18.6805	-35.1555	-273.4768
HKDS2004_Fast_IsoWater_20181212_082637	2001	15	1100.375	-18.7654	-35.3669	-275.7988
HKDS2004_Fast_IsoWater_20181212_082637	2001	16	1100.400	-18.9147	-35.6445	-278.9770
HKDS2004_Fast_IsoWater_20181212_082637	2001	17	1100.425	-19.0110	-35.7297	-280.0217
HKDS2004_Fast_IsoWater_20181212_082637	2001	18	1100.450	-18.9198	-35.6512	-279.0110
HKDS2004_Fast_IsoWater_20181212_082637	2001	19	1100.475	-18.8893	-35.4027	-277.2871
HKDS2004_Fast_IsoWater_20181212_082637	2001	20	1100.500	-18.7749	-35.2724	-276.0473
HKDS2004_Fast_IsoWater_20181212_082637	2001	21	1100.525	-18.6589	-35.0332	-273.9306
HKDS2004_Fast_IsoWater_20181212_082637	2001	22	1100.550	-18.3420	-34.4075	-268.4103
HKDS2004_Fast_IsoWater_20181212_082637	2002	1	1100.575	-17.7013	-33.3283	-258.8065
HKDS2004_Fast_IsoWater_20181212_082637	2002	2	1100.600	-17.3460	-32.5246	-250.4613
HKDS2004_Fast_IsoWater_20181212_082637	2002	3	1100.625	-17.1771	-32.2819	-248.7314
HKDS2004_Fast_IsoWater_20181212_082637	2002	4	1100.650	-17.3235	-32.5944	-251.9033
HKDS2004_Fast_IsoWater_20181212_082637	2002	5	1100.675	-17.6005	-33.2275	-258.3264
HKDS2004_Fast_IsoWater_20181212_082637	2002	6	1100.700	-18.0603	-33.9499	-264.5908
HKDS2004_Fast_IsoWater_20181212_082637	2002	7	1100.725	-18.4736	-34.7850	-271.1967
HKDS2004_Fast_IsoWater_20181212_082637	2002	8	1100.750	-18.9023	-35.5933	-277.0380
HKDS2004_Fast_IsoWater_20181212_082637	2002	9	1100.775	-19.4464	-36.5667	-284.6594
HKDS2004_Fast_IsoWater_20181212_082637	2002	10	1100.800	-19.9088	-37.3583	-291.7175
HKDS2004_Fast_IsoWater_20181212_082637	2002	11	1100.825	-19.9091	-37.5649	-293.0408
HKDS2004_Fast_IsoWater_20181212_082637	2002	12	1100.850	-19.7494	-37.2033	-289.6081
HKDS2004_Fast_IsoWater_20181212_082637	2002	13	1100.875	-19.3786	-36.4595	-283.3383
HKDS2004_Fast_IsoWater_20181212_082637	2002	14	1100.900	-19.0589	-35.8562	-278.4026
HKDS2004_Fast_IsoWater_20181212_082637	2002	15	1100.925	-18.7461	-35.2891	-274.0410
HKDS2004_Fast_IsoWater_20181212_082637	2002	16	1100.950	-18.5762	-34.8529	-270.3423
HKDS2004_Fast_IsoWater_20181212_082637	2002	17	1100.975	-18.3202	-34.3668	-268.1019
HKDS2004_Fast_IsoWater_20181212_082637	2002	18	1101.000	-18.2394	-34.2986	-267.6100
HKDS2004_Fast_IsoWater_20181212_082637	2002	19	1101.025	-18.2673	-34.3652	-267.6208
HKDS2004_Fast_IsoWater_20181212_082637	2002	20	1101.050	-18.4827	-34.7219	-269.8454
