iceDepth	density	weDepth	d18O
0.47	276.595744680851	0.14	-35.9
0.94	304.347826086956	0.27	-37.3
1.4	311.111111111111	0.41	-37.3
1.85	318.181818181818	0.55	-36.3
2.29	302.325581395349	0.69	-35.9
2.72	333.333333333333	0.82	-35.4
3.14	341.463414634147	0.96	-34.5
3.55	349.999999999999	1.1	-34.5
3.95	317.073170731707	1.24	-35.7
4.36	358.974358974359	1.37	-33.4
4.75	358.974358974359	1.51	-37.6
5.14	368.421052631579	1.65	-36
5.52	351.351351351351	1.79	-35.5
5.89	378.378378378379	1.92	-36.6
6.26	388.888888888889	2.06	-37.4
6.62	400	2.2	-36.5
6.97	361.111111111112	2.34	-34.4
7.33	411.764705882352	2.47	-34.3
7.67	400.000000000001	2.61	-33.4
8.02	424.242424242425	2.75	-33.9
8.35	382.35294117647	2.89	-35.5
8.69	411.764705882354	3.02	-37.4
9.03	437.499999999999	3.16	-33.7
9.35	424.242424242425	3.3	-35.3
9.68	433.333333333332	3.44	-35.8
9.98	518.51851851852	3.57	-35.1
10.25	437.5	3.71	-37.1
10.57	451.612903225806	3.85	-37.4
10.88	419.354838709679	3.99	-34.1
11.19	451.612903225805	4.12	-35
11.5	466.666666666667	4.26	-35.9
11.8	451.612903225807	4.4	-35.9
12.11	433.333333333332	4.54	-34.5
12.41	482.758620689656	4.67	-34.6
12.7	466.666666666667	4.81	-35.1
13	482.758620689656	4.95	-37.3
13.29	448.275862068964	5.09	-37.1
13.58	482.758620689659	5.22	-35
13.87	482.758620689653	5.36	-34.3
14.16	464.285714285715	5.5	-33.5
14.44	482.758620689653	5.63	-35.4
14.73	500.000000000003	5.77	-34.3
15.01	500	5.91	-33.7
15.29	481.481481481479	6.05	-34.5
15.56	500.000000000003	6.18	-34.4
15.84	518.518518518518	6.32	-36.1
16.11	499.999999999997	6.46	-35.4
16.39	481.481481481485	6.6	-36.4
16.66	518.518518518518	6.73	-37.4
16.93	538.461538461534	6.87	-37.4
17.19	518.518518518521	7.01	-37.1
17.46	500.000000000004	7.15	-34.8
17.72	518.518518518518	7.28	-35.6
17.99	538.461538461534	7.42	-36.1
18.25	538.461538461537	7.56	-34.4
18.51	500.000000000004	7.7	-38.7
18.77	538.461538461534	7.83	-38
19.03	559.999999999999	7.97	-35.4
19.28	538.461538461545	8.11	-35.8
19.54	520.000000000003	8.25	-34.6
19.79	538.461538461531	8.38	-33.6
20.05	560.000000000002	8.52	-35
20.3	560.000000000002	8.66	-34.5
20.55	519.999999999996	8.8	-34.6
20.8	560.000000000002	8.93	-35.2
21.05	560.000000000002	9.07	-33.4
21.3	583.333333333332	9.21	-31.6
21.54	520.000000000003	9.35	-33.9
21.79	583.333333333323	9.48	-34.3
22.03	560.000000000002	9.62	-34.1
22.28	583.33333333334	9.76	-36.2
22.52	541.666666666658	9.9	-34.6
22.76	583.33333333334	10.03	-35.9
23	583.33333333334	10.17	-36.5
23.24	583.333333333323	10.31	-35.7
23.48	541.666666666673	10.45	-35.2
23.72	608.695652173914	10.58	-35.5
23.95	583.333333333323	10.72	-36.2
24.19	565.21739130435	10.86	-33.4
24.42	583.33333333334	10.99	-33
24.66	608.695652173907	11.13	-36.2
24.89	608.695652173914	11.27	-36.7
25.12	576.923076923083	11.41	-34.6
25.38	576.923076923075	11.56	-33.5
25.64	599.999999999994	11.71	-35
25.89	600.000000000001	11.86	-34.1
26.14	615.384615384621	12.01	-34.7
26.4	600.000000000001	12.17	-35.7
26.65	600.000000000001	12.32	-34.7
26.9	599.999999999994	12.47	-35.3
27.15	600.000000000001	12.62	-34.4
27.4	624.999999999996	12.77	-33.4
27.64	640.000000000001	12.92	-33.4
27.89	600.000000000001	13.08	-34.8
28.14	625.000000000006	13.23	-35.8
28.38	599.999999999994	13.38	-35.5
28.63	624.999999999996	13.53	-35.7
28.87	600.000000000001	13.68	-36.1
29.12	666.666666666672	13.83	-34.8
29.36	624.999999999996	13.99	-33.9
29.6	624.999999999998	14.14	-35.4
29.84	625.000000000006	14.29	-35.1
30.08	624.999999999996	14.44	-35.6
30.32	625.000000000006	14.59	-35.5
30.56	666.666666666662	14.74	-35.7
30.8	625.000000000006	14.9	-35.4
31.04	652.173913043471	15.05	-35.9
