depth	d18O
0	-37.1894
0.044	-38.6521
0.087	-38.2242
0.131	-36.7008
0.175	-36.5306
0.218	-35.993
0.262	-35.3758
0.305	-35.8135
0.349	-37.9075
0.393	-40.2592
0.436	-41.4183
0.48	-41.55
0.524	-40.716
0.567	-39.2351
0.611	-37.6068
0.655	-36.3587
0.698	-36.8574
0.742	-38.2464
0.785	-38.9966
0.829	-38.935
0.873	-38.8907
0.916	-38.6859
0.96	-39.7774
1.004	-40.4913
1.048	-40.1692
1.092	-39.2336
1.136	-37.6575
1.18	-35.6459
1.224	-34.3323
1.268	-33.926
1.312	-34.9125
1.356	-35.7382
1.4	-36.0541
1.444	-36.3389
1.488	-37.2592
1.532	-38.3192
1.576	-39.1285
1.62	-39.5957
1.664	-39.377
1.708	-38.3965
1.752	-37.2626
1.796	-36.256
1.84	-39.6695
1.875	-40.5217
1.91	-41.4802
1.945	
1.98	-41.3342
2.015	-36.9715
2.05	-36.8867
2.094	-36.1371
2.138	-35.2188
2.182	-34.1447
2.226	-33.4884
2.271	-37.4217
2.315	-39.8521
2.359	-36.9134
2.403	-38.7159
2.447	-28.5426
2.491	-40.7861
2.535	-40.5648
2.579	-39.5311
2.624	-38.251
2.668	-36.9052
2.712	-36.3628
2.756	-36.257
3.07	-40.1297
3.117	-41.254
3.165	-42.217
3.212	-42.0643
3.259	-41.4236
3.307	-39.8996
3.354	-37.958
3.402	-37.2586
3.449	-37.3852
3.496	-37.8744
3.544	-37.6135
3.591	-37.4353
3.638	-37.1932
3.686	-37.1946
3.733	-37.8384
3.781	-38.7699
3.828	-39.4064
3.875	-39.1658
3.923	-38.0105
3.97	-36.3265
4.01	-36.432
4.049	-37.5276
4.089	-37.0485
4.128	-36.1805
4.168	-37.2116
4.207	-37.5832
4.247	-35.7228
4.286	-36.7207
4.326	-38.1358
4.365	-39.7902
4.405	-40.8986
4.444	-41.389
4.484	-40.9736
4.523	-34.4904
4.563	-38.5643
4.602	-37.397
4.642	-36.4351
4.681	-35.4937
4.721	-34.7415
4.76	-34.1767
4.8	-34.7576
4.845	-35.6036
4.891	-36.6081
4.936	-37.3362
4.981	-37.7038
5.027	-37.358
5.072	-36.654
5.117	-35.8994
5.163	-35.6627
5.208	-36.1656
5.253	-36.8484
5.299	-37.4588
5.344	-37.443
5.389	-36.758
5.435	-35.1603
5.48	-36.4699
5.521	-33.2618
5.562	
5.603	-37.5908
5.644	-37.3918
5.685	-37.1849
5.725	-37.2255
5.766	-37.4538
5.807	-37.7088
5.848	-37.4846
5.889	-37.0255
5.93	-36.6713
5.971	-36.8672
6.012	-37.3015
6.053	-38.1626
6.094	-38.4672
6.135	-38.0674
6.175	-37.7893
6.216	-37.4017
6.257	
6.298	-37.6125
6.339	-38.1138
6.38	-38.9624
6.42	-38.7074
6.46	-38.1035
6.5	
6.54	-36.945
6.58	-36.9563
6.62	
6.66	
6.7	-37.3942
6.74	-36.9316
6.78	-36.578
6.82	-36.4102
6.86	-35.9936
6.9	-36.6304
6.94	
6.98	-36.6042
7.02	-36.0558
7.06	-35.4841
7.1	-34.423
7.142	
7.184	
7.226	-35.3798
7.268	-36.0798
7.31	-37.0984
7.351	
7.393	
7.435	-38.9698
7.477	-38.5608
7.519	-37.9064
7.561	
7.603	-37.0086
7.645	-36.8406
7.687	-36.4032
7.729	-35.7726
7.77	-35.2552
7.812	
7.854	-35.1925
7.896	-35.4046
7.938	-35.5371
7.98	-36.4907
8.022	-36.8555
8.065	
8.107	-36.9266
8.149	
8.191	-36.7854
8.234	-37.0666
8.276	
8.318	-36.794
8.36	
8.403	-37.0928
8.445	-37
8.487	-37.093
8.53	-36.9433
8.572	
8.614	-35.6103
8.656	
8.699	-36.3024
8.741	
8.783	-37.7532
8.825	-38.6628
8.868	-39.2298
8.91	-39.6462
8.952	-39.3224
8.993	-38.7545
9.035	-38.2584
9.077	-38.3079
9.118	
9.16	-39.708
9.202	-40.025
9.243	-39.4756
9.285	-38.1891
9.327	
9.368	-35.2199
9.41	-34.5299
9.452	-34.5519
9.493	-35.1164
9.535	-35.6354
9.577	-36.0655
9.618	
9.66	
9.702	
9.743	-38.9571
9.785	-39.2187
9.827	
9.868	-38.5078
9.91	-38.0983
9.946	-38.2818
9.981	-38.4814
10.017	-38.4307
10.053	-38.3032
10.089	-37.8192
10.124	-37.1536
10.16	-36.5279
10.196	-36.0182
10.231	-36.0162
10.267	-36.1867
10.303	-36.4111
10.339	-36.4903
10.374	-36.4633
10.41	-36.2966
10.446	-36.1395
10.481	-36.318
10.517	-36.4544
10.553	-36.8036
10.589	
10.624	-36.5588
10.66	-35.9029
10.696	-35.0233
10.731	-34.3354
10.767	-33.9198
10.803	-33.9963
10.839	-34.3889
10.874	-34.8701
10.91	
10.946	
10.981	
11.017	
11.053	
11.089	
11.124	
11.16	
11.196	
11.231	
11.267	-34.7089
11.303	
11.339	
11.374	
11.41	
11.446	
11.481	-34.634
11.517	
11.553	
11.589	
