depth	Ca	NH4	CH2O	H2O2	density	accumulation
0			0	0		
0.002			0	0	0.371	
0.004			0	0	0.332	
0.006			0	0	0.33	
0.008			0	0	0.323	
0.01			0	0	0.345	
0.012			0	0	0.334	
0.014			0	0	0.347	
0.016	20.93	8.54	0	0	0.355	20.93
0.018	21.54	8.21	0	0	0.378	21.54
0.02	21.52	7.89	0	0	0.394	21.52
0.022	21.65	7.56	0	0	0.393	21.65
0.024	21.51	7.21	0	0	0.372	21.51
0.026	20.9	6.84	0	0	0.386	20.9
0.028	20.24	6.44	0	0	0.394	20.24
0.03	19.68	6.03	0	0	0.388	19.68
0.032	19.26	5.63	5.88	0	0.412	19.26
0.034	18.69	5.24	14.34	0	0.443	18.69
0.036	17.87	4.88	14.48	0	0.418	17.87
0.038	17.98	4.56	14.65	0	0.449	17.98
0.04	17.98	4.25	14.81	0	0.441	17.98
0.042	16.7	3.98	14.83	0	0.459	16.7
0.044	15.77	3.74	14.87	0	0.464	15.77
0.046	15.6	3.54	14.9	0	0.461	15.6
0.048	15.18	3.37	14.93	0	0.472	15.18
0.05	14.53	3.21	14.9	0	0.467	14.53
0.052	14.3	3.12	14.93	0	0.476	14.3
0.054	14.33	3.02	14.93	0	0.463	14.33
0.056	14.4	2.96	14.98	0	0.482	14.4
0.058	13.99	2.95	14.93	0	0.493	13.99
0.06	14.12	2.92	14.91	0	0.48	14.12
0.062	13.76	2.91	14.81	0	0.502	13.76
0.064	13.24	2.92	14.71	0	0.505	13.24
0.066	13.05	2.91	14.75	0	0.507	13.05
0.068	13.3	2.89	14.73	0	0.504	13.3
0.07	13.07	2.87	14.58	0	0.494	13.07
0.072	12.78	2.84	14.48	0	0.497	12.78
0.074	12.06	2.81	14.34	0	0.507	12.06
0.076	12.13	2.77	14.2	0	0.51	12.13
0.078	12.41	2.73	14.18	0	0.52	12.41
0.08	12.52	2.68	14.12	0	0.531	12.52
0.082	11.14	2.64	14.06	0	0.538	11.14
0.084	10.22	2.62	13.91	0	0.534	10.22
0.086	9.53	2.6	13.81	0	0.537	9.53
0.088	9.57	2.59	13.73	0	0.529	9.57
0.09	9.82	2.58	13.54	0	0.527	9.82
0.092	9.95	2.58	13.37	0	0.522	9.95
0.094	10.19	2.59	13.31	0	0.527	10.19
0.096	10.1	2.59	13.35	0	0.539	10.1
0.098	10.32	2.59	13.23	0	0.54	10.32
0.1	10.4	2.6	13.15	0	0.551	10.4
0.102	10.32	2.61	13.09	0	0.543	10.32
0.104	11.1	2.61	13.01	0	0.547	11.1
0.106	12.11	2.62	12.98	0	0.551	12.11
0.108	11.77	2.61	13.04	0	0.563	11.77
0.11	10.55	2.61	12.97	0	0.559	10.55
0.112	9.99	2.59	12.92	0	0.568	9.99
0.114	9.59	2.58	12.86	0	0.555	9.59
0.116	9.64	2.59	12.8	0	0.57	9.64
0.118	9.69	2.57	12.75	0	0.574	9.69
0.12	9.59	2.55	12.71	0	0.573	9.59
0.122	9.47	2.54	12.7	0	0.58	9.47
0.124	9.63	2.52	12.67	137.62	0.577	9.63
0.126	9.55	2.52	12.62	234.57	0.58	9.55
0.128	9.56	2.52	12.59	238.94	0.584	9.56
0.13	9.52	2.49	12.58	243.08	0.581	9.52
0.132	9.76	2.5	12.59	247.25	0.583	9.76
0.134	9.41	2.5	12.49	251.59	0.589	9.41
0.136	9.25	2.49	12.51	255.56	0.587	9.25
0.138	9.58	2.49	12.48	259.5	0.58	9.58
0.14	9.54	2.5	12.6	264.11	0.589	9.54
0.142	9.26	2.49	12.58	268.36	0.592	9.26
0.144	9.37	2.51	12.49	272.58	0.593	9.37
0.146	9.33	2.53	12.51	276.78	0.598	9.33
0.148	9.17	2.55	12.54	281.95	0.603	9.17
0.15	8.91	2.58	12.62	286.91	0.601	8.91
0.152	8.8	2.62	12.58	240.89	0.605	8.8
0.154	8.83	2.67	12.65	0	0.603	8.83
0.156	8.87	2.7	12.64	0	0.609	8.87
0.158	8.42	2.75	12.62	0	0.61	8.42
0.16	8.29	2.8	12.59	0	0.605	8.29
0.162	8.17	2.83	12.64	0	0.612	8.17
0.164	8.04	2.86	12.61	0	0.61	8.04
0.166	8.27	2.9	12.69	0	0.615	8.27
0.168	8.18	2.93	12.71	0	0.614	8.18
0.17	7.52	2.95	12.79	0	0.609	7.52
0.172	7.5	2.98	12.76	0	0.613	7.5
0.174	7.82	2.98	12.83	0	0.626	7.82
0.176	7.98	3	12.88	0	0.615	7.98
0.178	8.18	3.02	12.89	0	0.615	8.18
0.18	8.12	3.06	12.98	0	0.622	8.12
0.182	8.2	3.12	12.99	0	0.617	8.2
0.184	8.47	3.18	13.05	0	0.622	8.47
0.186	8.65	3.28	13.05	0	0.619	8.65
0.188	8.56	3.38	13.1	0	0.63	8.56
0.19	8.72	3.48	13.18	0	0.63	8.72
0.192	8.95	3.59	13.16	0	0.634	8.95
0.194	9.2	3.66	13.19	0	0.642	9.2
0.196	9.18	3.73	13.25	0	0.636	9.18
0.198	9.07	3.75	13.31	0	0.635	9.07
0.2	9.19	3.79	13.3	0	0.637	9.19
0.202	9.27	3.79	13.4	0	0.643	9.27
0.204	9.57	3.79	13.41	0	0.639	9.57
0.206	9.87	3.78	13.45	0	0.643	9.87
0.208	9.79	3.78	13.57	0	0.644	9.79
0.21	10.03	3.75	13.62	0	0.64	10.03
0.212	9.8	3.76	13.65	0	0.648	9.8
0.214	9.67	3.79	13.74	0	0.643	9.67
0.216	10.12	3.81	13.84	0	0.646	10.12
0.218	10.32	3.86	13.9	0	0.652	10.32
0.22	10.29	3.92	13.95	0	0.652	10.29
0.222	10.35	3.99	14.05	0	0.655	10.35
0.224	9.6	4.1	14.09	0	0.659	9.6
0.226	9.87	4.23	14.13	0	0.657	9.87
0.228	10.08	4.35	14.17	0	0.659	10.08
0.23	10.36	4.48	14.22	0	0.663	10.36
0.232	10.58	4.63	14.21	215.56	0.668	10.58
0.234	10.87	4.74	14.15	320.71	0.656	10.87
0.236	10.87	4.86	14.22	323.61	0.664	10.87
0.238	10.68	4.94	14.28	326.06	0.663	10.68
0.24	10.5	5.04	14.28	328.29	0.666	10.5
0.242	10.17	5.11	14.22	330.55	0.669	10.17
0.244	10.31	5.17	14.3	331.91	0.671	10.31
0.246	10.15	5.21	14.31	334.12	0.665	10.15
0.248	10.02	5.23	14.23	335.8	0.669	10.02
0.25	9.87	5.24	14.22	336.14	0.675	9.87
0.252	10	5.25	14.13	335.67	0.674	10
0.254	9.84	5.22	14.11	335.06	0.672	9.84
0.256	9.44	5.23	14.02	332.87	0.674	9.44
0.258	9.17	5.23	14.07	327.86	0.681	9.17
0.26	9.13	5.22	14.07	325.27	0.678	9.13
0.262	9.15	5.22	13.97	324.22	0.68	9.15
0.264	9.29	5.23	13.83	318.59	0.688	9.29
0.266	9.28	5.24	13.75	318.45	0.677	9.28
0.268	8.76	5.22	13.7	334.96	0.688	8.76
0.27	8.82	5.23	13.74	346.15	0.681	8.82
0.272	9.15	5.25	13.73	350.11	0.675	9.15
0.274	9.54	5.27	13.78	351.94	0.695	9.54
0.276	10.05	5.33	13.77	353.75	0.689	10.05
0.278	10.8	5.37	13.89	355.57	0.68	10.8
0.28	10.83	5.44	14.01	357.74	0.698	10.83
0.282	10.61	5.54	14.1	359.48	0.692	10.61
0.284	10.61	5.7	14.24	361.06	0.695	10.61
0.286	11.09	5.94	14.52	362.77	0.696	11.09
0.288	11.43	6.26	14.78	364.39	0.701	11.43
0.29	11.51	6.75	14.94	365.88	0.695	11.51
0.292	11.96	7.33	15.16	367.45	0.7	11.96
0.294	12.52	8.01	15.48	368.95	0.699	12.52
0.296	12.84	8.8	15.81	370.4	0.702	12.84
0.298	13.33	9.63	16.07	372.02	0.71	13.33
0.3	13.73	10.44	16.34	373.42	0.707	13.73
0.302	14.04	11.23	16.7	375.13	0.716	14.04
0.304	14.41	11.98	17.13	377.73	0.712	14.41
0.306	15.56	12.69	17.4	381.11	0.72	15.56
0.308	15.79	13.36	17.77	385.01	0.723	15.79
0.31	15.96	13.89	18.01	389.19	0.714	15.96
0.312	16.12	14.4	18.31	393.42	0.726	16.12
0.314	16.9	14.87	18.6	397.48	0.727	16.9
0.316	16.96	15.25	18.91	400.91	0.725	16.96
0.318	17.02	15.57	19.12	403.81	0.724	17.02
0.32	17.07	15.83	19.43	406.14	0.722	17.07
0.322	16.97	16.04	19.61	409.26	0.725	16.97
0.324	16.91	16.24	19.74	414	0.719	16.91
0.326	16.55	16.45	19.79	418.56	0.715	16.55
0.328	16.29	16.74	19.92	423.39	0.725	16.29
0.33	16.02	17.12	19.96	129.32	0.716	16.02
0.332	15.6	17.67	19.99	0	0.72	15.6
0.334	14.95	18.39	19.95	0	0.723	14.95
0.336	14.31	19.28	19.91	0	0.722	14.31
0.338	13.84	20.27	19.66	0	0.716	13.84
0.34	13.49	21.36	19.48	0	0.72	13.49
0.342	13.14	22.48	19.34	0	0.734	13.14
0.344	12.68	23.6	19.17	0	0.729	12.68
0.346	12.51	24.69	19.06	0	0.722	12.51
0.348	12.01	25.7	18.79	0	0.722	12.01
0.35	11.69	26.67	18.57	0	0.733	11.69
0.352	11.73	27.58	18.43	0	0.731	11.73
0.354	11.38	28.36	18.2	0	0.737	11.38
0.356	11.19	29.06	17.91	0	0.73	11.19
0.358	11.41	29.6	17.77	0	0.735	11.41
0.36	11.47	29.93	17.6	0	0.737	11.47
0.362	11.6	30.01	17.46	0	0.728	11.6
0.364	11.9	29.82	17.23	0	0.73	11.9
0.366	12.29	29.34	17.01	0	0.722	12.29
0.368	12.51	28.59	16.93	0	0.749	12.51
0.37	13.08	27.63	16.91	0	0.741	13.08
0.372	13.3	26.48	16.83	0	0.743	13.3
0.374	13.86	25.25	16.79	0	0.737	13.86
0.376	14.27	24.02	16.69	0	0.743	14.27
0.378	14.44	22.86	16.71	0	0.746	14.44
0.38	14.48	21.83	16.63	0	0.738	14.48
0.382	14.78	21.1	16.69	0	0.747	14.78
0.384	15.29	20.62	16.66	0	0.746	15.29
0.386	16.12	20.37	16.65	0	0.751	16.12
0.388	16.52	20.31	16.65	0	0.76	16.52
0.39	16.9	20.3	16.62	0	0.749	16.9
0.392	16.89	20.22	16.55	0	0.75	16.89
0.394	16.63	20	16.45	0	0.749	16.63
0.396	16.48	19.61	16.4	0	0.743	16.48
0.398	15.88	19	16.35	0	0.751	15.88
0.4	15.53	18.26	16.25	0	0.757	15.53
0.402	15.31	17.4	16.12	0	0.753	15.31
0.404	15.28	16.49	16.11	0	0.769	15.28
0.406	15.31	15.59	15.99	0	0.768	15.31
0.408	14.95	14.74	15.94	0	0.758	14.95
0.41	14.82	13.96	15.83	0	0.762	14.82
0.412	14.76	13.29	15.77	0	0.776	14.76
0.414	14.75	12.71	15.63	0	0.755	14.75
0.416	14.85	12.22	15.47	0	0.763	14.85
0.418	15.04	11.87	15.4	0	0.752	15.04
0.42	14.96	11.63	15.26	0	0.767	14.96
0.422	15	11.5	15.25	0	0.761	15
0.424	15.19	11.46	15.25	0	0.77	15.19
0.426	15.63	11.49	15.2	0	0.773	15.63
0.428	15.65	11.59	15.19	0	0.776	15.65
0.43	15.4	11.69	15.19	0	0.781	15.4
0.432	16.21	11.83	15.3	0	0.773	16.21
0.434	16.38	11.93	15.37	0	0.774	16.38
0.436	16.8	12.06	15.4	0	0.765	16.8
0.438	17.37	12.18	15.48	0	0.763	17.37
0.44	18.19	12.3	15.61	0	0.77	18.19
0.442	18.72	12.45	15.73	0	0.779	18.72
0.444	19.64	12.64	15.86	0	0.767	19.64
0.446	20.94	12.88	15.99	0	0.775	20.94
0.448	21.79	13.22	16.21	0	0.773	21.79
0.45	22.43	13.64	16.44	0	0.767	22.43
0.452	23.18	14.11	16.62	0	0.782	23.18
0.454	23.75	14.66	16.76	0	0.771	23.75
0.456	24.65	15.24	17.01	0	0.776	24.65
0.458	25.91	15.77	17.28	0	0.777	25.91
0.46	26.43	16.26	17.53	0	0.778	26.43
0.462	27.44	16.68	17.78	0	0.782	27.44
0.464	27.76	17	17.97	0	0.783	27.76
0.466	28.15	17.18	18.21	0	0.789	28.15
0.468	28.84	17.29	18.49	0	0.783	28.84
0.47	29.06	17.29	18.7	0	0.778	29.06
0.472	29.57	17.22	18.81	0	0.779	29.57
0.474	29.58	17.09	19.04	0	0.787	29.58
0.476	29.93	16.94	19.24	141.43	0.795	29.93
0.478	30.13	16.75	19.38	336.5	0.788	30.13
0.48	30.78	16.57	19.53	334.66	0.782	30.78
0.482	31.25	16.41	19.64	332.74	0.791	31.25
0.484	31.53	16.26	19.8	330.8	0.794	31.53
0.486	32.28	16.12	19.9	328.74	0.794	32.28
0.488	32.6	16	20.08	326.68	0.788	32.6
0.49	32.93	15.9	20.12	324.29	0.788	32.93
0.492	33.04	15.76	20.19	321.25	0.793	33.04
0.494	33.49	15.65	20.3	317.9	0.788	33.49
0.496	34.56	15.58	20.37	314.06	0.792	34.56
0.498	35.83	15.52	20.54	310.29	0.788	35.83
0.5	37.21	15.52	20.63	306.5	0.786	37.21
0.502	37.74	15.58	20.69	303.12	0.794	37.74
0.504	38	15.71	20.71	300.02	0.804	38
0.506	39.9	15.9	20.82	297.13	0.798	39.9
0.508	41.44	16.1	20.83	294.31	0.786	41.44
0.51	42.55	16.3	20.89	291.57	0.797	42.55
0.512	43.98	16.46	20.9	288.93	0.799	43.98
0.514	45.37	16.52	21	286.15	0.79	45.37
0.516	46.83	16.55	21.06	282.64	0.797	46.83
0.518	48.02	16.49	21.12	278.85		48.02
0.52	49.87	16.36	21.09	274.89	0.803	49.87
0.522	51.56	16.23	21.2	270.26	0.805	51.56
0.524	53.43	16.1	21.27	265.65	0.805	53.43
0.526	55.09	15.99	21.21	261.08	0.793	55.09
0.528	56.1	15.89	21.16	256.5	0.81	56.1
0.53	56.68	15.78	21.1	252.01	0.814	56.68
0.532	57.36	15.69	21.22	247.66	0.811	57.36
0.534	57.74	15.57	21.21	242.99	0.811	57.74
0.536	57.39	15.42	21.11	238.67	0.807	57.39
0.538	57.31	15.19	21.16	234.83	0.81	57.31
0.54	56.66	14.9	21.01	231.03	0.807	56.66
0.542	55.72	14.55	20.88	227.78	0.804	55.72
0.544	53.97	14.13	20.76	225.34	0.816	53.97
0.546	52.32	13.63	20.59	222.87	0.808	52.32
0.548	50.75	13.07	20.38	220.02	0.819	50.75
0.55	49.17	12.47	20.09	217.49	0.819	49.17
0.552	47.43	11.88	19.9	215.04	0.814	47.43
0.554	46.31	11.29	19.64	212.09	0.819	46.31
0.556	45.25	10.79	19.38	209.13	0.808	45.25
0.558	45.17	10.36	19.12	207.54	0.809	45.17
0.56	44.42	9.99	18.79	205.11	0.805	44.42
0.562	43.35	9.67	18.51	200.75	0.818	43.35
0.564	42.28	9.31	18.09	202.44	0.821	42.28
0.566	40.35	8.99	17.77	206.08	0.819	40.35
0.568	38.74	8.65	17.59	199.56	0.818	38.74
0.57	37.25	8.27	17.36	197.57	0.819	37.25
0.572	35.59	7.88	17.01	194.47	0.823	35.59
0.574	33.86	7.48	16.73	189.87	0.803	33.86
0.576	33.47	7.08	16.44	185.68	0.82	33.47
0.578	32.1	6.71	16.17	182.82	0.822	32.1
0.58	31.58	6.39	15.86	174.4	0.827	31.58
0.582	30.95	6.07	15.64	168.93	0.823	30.95
0.584	30.22	5.84	15.41	164.33	0.825	30.22
0.586	29.71	5.63	15.18	160.51	0.82	29.71
0.588	29.09	5.46	14.98	157.29	0.825	29.09
0.59	28.18	5.34	14.77	153.53	0.838	28.18
0.592	26.92	5.24	14.62	150.24	0.83	26.92
0.594	26.58	5.17	14.54	146.25	0.83	26.58
0.596	26.36	5.14	14.36	140.34	0.82	26.36
0.598	26.05	5.11	14.15	136.17	0.823	26.05
0.6	25.44	5.09	13.96	133.28	0.82	25.44
0.602	24.77	5.1	13.87	130.43	0.826	24.77
0.604	24.1	5.09	13.81	125.15	0.823	24.1
0.606	24.1	5.08	13.67	123.49	0.832	24.1
0.608	23.68	5.06	13.55	120.4	0.827	23.68
0.61	23.03	5.03	13.43	118.76	0.827	23.03
0.612	22.77	4.99	13.25	115.55	0.83	22.77
0.614	23.61	4.93	13.23	114.87	0.823	23.61
0.616	23.54	4.86	13.13	110.07	0.831	23.54
0.618	22.46	4.77	12.96	108.01	0.828	22.46
0.62	21.16	4.65	12.96	105.61	0.837	21.16
0.622	20.09	4.5	12.86	102.27	0.832	20.09
0.624	19.11	4.32	12.77	100.37	0.827	19.11
0.626	18.61	4.14	12.7	96.99	0.829	18.61
0.628	18.37	3.96	12.6	91.38	0.829	18.37
0.63	17.7	3.81	12.57	84.97	0.829	17.7
0.632	17.73	3.69	12.56	0	0.836	17.73
0.634	17.82	3.61	12.54	0	0.83	17.82
0.636	17.78	3.55	12.58	0	0.833	17.78
0.638	17.66	3.51	12.64	0	0.843	17.66
0.64	18.09	3.47	12.68	0	0.843	18.09
0.642	18.57	3.46	12.83	0	0.844	18.57
0.644	18.43	3.48	12.87	0	0.84	18.43
0.646	18.23	3.5	12.95	0	0.84	18.23
0.648	18.43	3.52	12.99	0	0.841	18.43
0.65	18.05	3.57	13.1	0	0.84	18.05
0.652	18.17	3.62	13.26	0	0.844	18.17
0.654	18.62	3.66	13.42	0	0.843	18.62
0.656	18.62	3.69	13.57	0	0.847	18.62
0.658	18.52	3.71	13.69	0	0.85	18.52
0.66	18.97	3.74	13.79	0	0.848	18.97
0.662	18.95	3.74	13.88	0	0.844	18.95
0.664	18.41	3.76	13.97	0	0.84	18.41
0.666	17.98	3.77	14.03	0	0.846	17.98
0.668	17.78	3.72	14.05	0	0.842	17.78
0.67	17.58	3.71	14.17	0	0.842	17.58
0.672	17.1	3.67	14.18	0	0.846	17.1
0.674	16.94	3.65	14.27	5.25	0.845	16.94
0.676	15.78	3.59	14.29	74.77	0.843	15.78
0.678	14.96	3.51	14.22	72.68	0.84	14.96
0.68	14.35	3.44	14.19	72.09	0.843	14.35
0.682	14.99	3.36	14.25	72.27	0.848	14.99
0.684	15.25	3.27	14.25	70.76	0.85	15.25
0.686	15.11	3.18	14.25	69.37	0.85	15.11
0.688	14.88	3.08	14.17	73.65	0.844	14.88
0.69	14.79	2.97	14.19	73.28	0.844	14.79
0.692	14.79	2.89	14.03	74.18	0.846	14.79
0.694	14.57	2.81	13.9	74.75	0.847	14.57
0.696	14.29	2.77	13.87	76.03	0.837	14.29
0.698	14.39	2.78	13.77	78.53	0.849	14.39
0.7	14.54	2.8	13.69	80.17	0.851	14.54
0.702	14.52	2.84	13.57	81.44	0.85	14.52
0.704	14.24	2.94	13.52	82.76	0.854	14.24
0.706	14.14	3.05	13.44	84.01	0.851	14.14
0.708	13.74	3.13	13.39	85.29	0.857	13.74
0.71	13.53	3.15	13.25	86.39	0.854	13.53
0.712	13.29	3.16	13.12	87.65	0.852	13.29
0.714	12.97	3.14	13.13	88.92	0.849	12.97
0.716	13.14	3.11	13.02	90.02	0.852	13.14
0.718	12.62	3.06	12.98	91.19	0.852	12.62
0.72	11.72	2.98	13	92.51	0.855	11.72
0.722	12.31	2.93	12.88	93.81	0.855	12.31
0.724	11.91	2.85	12.8	94.6	0.858	11.91
0.726	12.41	2.77	12.73	95.47	0.858	12.41
0.728	12.86	2.74	12.72	96.5	0.855	12.86
0.73	11.51	2.69	12.74	97.1	0.856	11.51
0.732	11	2.67	12.6	97.89	0.854	11
0.734	11.31	2.64	12.65	98.57	0.855	11.31
0.736	13.62	2.62	12.62	99.14	0.857	13.62
0.738	14.75	2.63	12.59	99.71	0.858	14.75
0.74	14.67	2.62	12.55	100.37	0.861	14.67
0.742	14.11	2.63	12.55	101.18	0.858	14.11
0.744	14.17	2.65	12.55	102.1	0.862	14.17
0.746	13.92	2.66	12.52	102.97	0.861	13.92
0.748	13.78	2.69	12.5	103.84	0.862	13.78
0.75	13.33	2.71	12.44	104.83	0.866	13.33
0.752	13.53	2.76	12.46	105.72	0.858	13.53
0.754	13.07	2.79	12.55	106.55	0.861	13.07
0.756	12.04	2.82	12.55	107.71	0.86	12.04
0.758	11.03	2.85	12.54	108.59	0.86	11.03
0.76	10.2	2.9	12.58	109.53	0.86	10.2
0.762	9.33	2.95	12.65	110.67	0.864	9.33
0.764	9.11	2.98	12.64	111.75	0.861	9.11
0.766	9.07	3.04	12.62	112.3	0.866	9.07
0.768	8.99	3.08	12.58	112.51	0.869	8.99
0.77	8.48	3.12	12.59	112.48	0.864	8.48
0.772	8.8	3.12	12.68	112.28	0.861	8.8
0.774	9.25	3.14	12.57	111.9	0.86	9.25
0.776	8.97	3.11	12.65	111.63	0.86	8.97
0.778	8.53	3.1	12.64	112.17	0.862	8.53
0.78	8.8	3.05	12.61	113.14	0.864	8.8
0.782	8.57	3.02	12.62	113.41	0.863	8.57
0.784	8.5	2.98	12.63	112.94	0.864	8.5
0.786		2.94	12.64	112.31	0.863	
0.788		2.92	12.6	112.84	0.865	
0.79		2.92	12.61	113.17	0.868	
0.792		2.93	12.61	112.84	0.861	
0.794		2.99	12.59	112.28	0.865	
0.796		3.08	12.57	111.18	0.862	
0.798		3.21	12.64	109.91	0.863	
0.8		3.38	12.56	109.48	0.869	
0.802		3.61	12.5	109.06	0.864	
0.804		3.87	12.47	108.18	0.865	
0.806		4.1	12.57	107.09	0.864	
0.808		4.3	12.51	106.29	0.866	
0.81		4.48	12.55	105.67	0.865	
0.812		4.6	12.55	105.27	0.866	
0.814		4.66	12.61	104.75	0.866	
0.816		4.66	12.59	104.24	0.869	
0.818	1.77	4.61	12.81	103.38	0.874	1.77
0.82	9.86	4.54	13.01	102.01	0.871	9.86
0.822	8.97	4.43	12.97	101.25	0.871	8.97
0.824	8.73	4.32	13.01	101.07	0.871	8.73
0.826	8.23	4.16	13.02	100.72	0.87	8.23
0.828	7.8	4.03	13.05	99.63	0.87	7.8
0.83	7.28	3.91	13.06	99.18	0.872	7.28
0.832	6.88	3.77	13.08	98.79	0.867	6.88
0.834	6.19	3.64	13.02	98.97	0.866	6.19
0.836	6.21	3.5	12.69	99.14	0.87	6.21
0.838	5.86	3.37	12.61	98.03	0.869	5.86
0.84	5.91	3.26	12.14	97.15	0.871	5.91
0.842	5.72	3.17	12.08	96.94	0.872	5.72
0.844	6.28	3.07	12.14	97.27	0.873	6.28
0.846	7.04	2.99	12.2	97.11	0.871	7.04
0.848	8.69	2.88	12.22	95.63	0.873	8.69
0.85	8.82	2.8	12.34	92.8	0.872	8.82
0.852	8.58	2.73	12.37	0	0.873	8.58
0.854	8.97	2.63	12.35	0	0.872	8.97
0.856	8.61	2.57	12.29	0	0.874	8.61
0.858	8.44	2.51	12.33	0	0.871	8.44
0.86	8.87	2.44	12.4	0	0.872	8.87
0.862	8.65	2.38	12.49	0	0.869	8.65
0.864	8.85	2.35	12.57	0	0.874	8.85
0.866	9.23	2.29	12.49	0	0.873	9.23
0.868	9.24	2.25	12.57	0	0.876	9.24
0.87	9.25	2.22	12.62	0	0.877	9.25
0.872	9.4	2.17	12.7	0	0.879	9.4
0.874	9.72	2.16	12.71	0	0.875	9.72
0.876	9.73	2.14	12.74	0	0.875	9.73
0.878	9.75	2.11	12.76	0	0.876	9.75
0.88	9.9	2.08	12.78	0	0.874	9.9
0.882	10.03	2.02	12.77	0	0.872	10.03
0.884	10.53	1.95	12.85	0	0.876	10.53
0.886	10.46	1.91	12.95	0	0.876	10.46
0.888	10.44	1.86	12.9	0	0.876	10.44
0.89	10.28	1.82	12.95	0	0.878	10.28
0.892	10.65	1.79	12.89	0	0.879	10.65
0.894	9.99	1.76	12.84	0	0.879	9.99
0.896	10.63	1.76	12.85	0	0.881	10.63
0.898	10.62	1.75	12.86	0	0.881	10.62
0.9	10.74	1.78	12.88	0	0.879	10.74
0.902	10.52	1.82	12.91	0	0.879	10.52
0.904	10.36	1.89	12.85	0	0.881	10.36
0.906	9.97	1.98	12.78	0	0.881	9.97
0.908	10	2.06	12.78	0	0.882	10
0.91	9.45	2.17	12.82	0	0.873	9.45
0.912	10.17	2.33	12.74	0	0.877	10.17
0.914	9.93	2.52	12.76	0	0.882	9.93
0.916	9.46	2.75	12.68	0	0.88	9.46
0.918	9.4	3.03	12.63	0	0.881	9.4
0.92	9.33	3.34	12.69	0	0.883	9.33
0.922	8.84	3.66	12.73	0	0.881	8.84
0.924	7.98	4.01	12.75	0	0.884	7.98
0.926	7.6	4.37	12.72	0	0.881	7.6
0.928	7.67	4.71	12.78	0	0.882	7.67
0.93	3.93	5.02	12.8	0	0.883	3.93
0.932			11.45	0	0.877	
0.934			0	0	0.879	
0.936			0	0	0.884	
0.938			0	0	0.885	
0.94			0	0	0.882	
0.942			0	0	0.882	
0.944			0	0	0.885	
0.946			0	0	0.881	
0.95			0	0	0.881	
0.952			0	0	0.881	
0.954			0	0	0.88	
0.956			0	0	0.88	
0.958			0	0	0.881	
0.96			0	0	0.883	
0.962			0	0	0.885	
0.964			0	0	0.887	
0.966			0	0	0.888	
0.968	40.03	3.39	12.99	140.4	0.883	40.03
0.97	38.93	20.81	13.29	140.85	0.883	38.93
0.972	37.72	20.5	13.5	141.08	0.883	37.72
0.974	35.78	20.06	13.82	140.8	0.881	35.78
0.976	34.22	19.43	13.93	140.33	0.885	34.22
0.978	33.03	18.59	14.06	139.82	0.885	33.03
0.98	31.22	17.58	14.11	138.97	0.885	31.22
0.982	29.96	16.46	14.21	137.71	0.886	29.96
0.984	28.71	15.28	14.2	136.19	0.883	28.71
0.986	26.53	14.07	14.21	134.51	0.881	26.53
0.988	25.09	12.95	14.07	133.45	0.88	25.09
0.99	24.37	11.91	13.95	130.49	0.883	24.37
0.992	23.52	10.97	13.86	127.35	0.885	23.52
0.994	22.8	10.15	13.81	129.65	0.885	22.8
0.996	21.82	9.39	13.73	131.64	0.889	21.82
0.998	20.72	8.77	13.56	129.45	0.889	20.72
1	19.93	8.22	13.51	128.34	0.887	19.93
1.002	19.22	7.74	13.38	127.29	0.887	19.22
1.004	18.29	7.27	13.24	126.19	0.887	18.29
1.006	17.94	6.86	13.27	124.99	0.889	17.94
1.008	17.49	6.47	13.11	123.8	0.887	17.49
1.01	18.35	6.08	13.02	122.13	0.884	18.35
1.012	18.74	5.74	12.85	120.58	0.884	18.74
1.014	18.61	5.44	12.77	119.29	0.884	18.61
1.016	18.17	5.16	12.67	117.78	0.885	18.17
1.018	17.81	4.91	12.52	116.37	0.887	17.81
1.02	17.23	4.71	12.56	115.17	0.887	17.23
1.022	16.96	4.53	12.52	113.73	0.888	16.96
1.024	16.81	4.4	12.48	112.43	0.887	16.81
1.026	16.49	4.3	12.49	111	0.887	16.49
1.028	16.72	4.19	12.43	109.43	0.888	16.72
1.03	16.63	4.12	12.34	108.12	0.892	16.63
1.032	16.29	4.07	12.26	106.92	0.89	16.29
1.034	16.06	4.02	12.22	105.75	0.889	16.06
1.036	16.39	4.01	12.19	104.48	0.89	16.39
1.038	15.67	4.01	12.11	103.28	0.892	15.67
1.04	16.32	4.04	12.09	102.04		16.32
1.042	16.94	4.05	12.08	100.59		16.94
1.044	17.03	4.09	12.01	99.3		17.03
1.046	17.65	4.09	12.1	98.26		17.65
1.048	17.89	4.09	12.1	97.06		17.89
1.05	18.16	4.08	12.01	95.86		18.16
1.052	18.43	4.1	12.03	94.47		18.43
1.054	19.05	4.08	12.02	93.23		19.05
1.056	19.98	4.09	11.94	91.96		19.98
1.058	21.46	4.12	11.91	90.72		21.46
1.06	22.33	4.15	11.93	89.44		22.33
1.062	23.12	4.21	11.9	88.22		23.12
1.064	23.89	4.26	11.96	86.89		23.89
1.066	24.99	4.32	11.94	85.37		24.99
1.068	25.68	4.39	12.02	84.03		25.68
1.07	26.49	4.45	11.96	82.51		26.49
1.072	27.3	4.51	12.03	80.98		27.3
1.074	27.95	4.53	11.99	79.64		27.95
