depth	Ca	NH4	CH2O	H2O2	density	accumulation
7.592	4.01	7.29	7.71	115.66		4.01
7.594	4.02	7.2	7.71	115.37		4.02
7.596	4.28	6.92	7.78	114.99		4.28
7.598	4.14	6.56	7.81	114.87		4.14
7.6	4.41	6.16	7.75	114.66		4.41
7.602	4.31	5.79	7.76	114.7		4.31
7.604	4.56	5.53	7.74	114.47		4.56
7.606	4.77	5.34	7.8	114.02		4.77
7.608	4.97	5.2	7.79	113.3		4.97
7.61	5.45	5.09	7.88	112.67		5.45
7.612	5.63	5.02	8	111.91		5.63
7.614	5.86	4.93	8.02	110.96		5.86
7.616	5.41	4.79	8.05	111.17		5.41
7.618	6.07	4.68	8.09	111.05		6.07
7.62	6.55	4.61	8.19	110.82		6.55
7.622	6.53	4.58	8.31	110.55		6.53
7.624	6.84	4.67	8.35	109.88		6.84
7.626	7.33	4.82	8.39	109.35		7.33
7.628	7.89	5.05	8.29	108.79		7.89
7.63	8.25	5.32	8.4	108.32		8.25
7.632	8.96	5.62	8.29	107.78		8.96
7.634	9.56	5.82	8.25	107.35		9.56
7.636	10.22	5.85	8.16	106.59		10.22
7.638	11.08	5.8	8.07	105.84		11.08
7.64	12.24	5.66	8.16	105.01		12.24
7.642	13.2	5.54	8.15	104.5		13.2
7.644	14.36	5.51	8.03	104.01		14.36
7.646	15.32	5.56	7.93	103.52		15.32
7.648	15.63	5.65	7.88	103.44		15.63
7.65	16.23	5.75	7.87	103.02		16.23
7.652	16.35	5.78	7.75	102.5		16.35
7.654	16.59	5.74	7.85	101.9		16.59
7.656	16.21	5.58	7.84	101.6		16.21
7.658	16.07	5.37	7.77	100.99		16.07
7.66	15.3	5.05	7.81	100.57		15.3
7.662	14.81	4.72	7.82	100.38		14.81
7.664	14.42	4.42	7.8	100.23		14.42
7.666	14.28	4.13	7.71	99.52		14.28
7.668	13.46	3.87	7.66	99.71		13.46
7.67	12.94	3.62	7.66	99.37		12.94
7.672	12.77	3.38	7.68	99.31		12.77
7.674	12.3	3.18	7.7	98.99		12.3
7.676	11.91	2.97	7.74	98.96		11.91
7.678	11.52	2.81	7.62	98.47		11.52
7.68	11.34	2.67	7.67	98.32		11.34
7.682	11.12	2.58	7.61	98.07		11.12
7.684	11.16	2.49	7.7	97.59		11.16
7.686	10.99	2.43	7.59	97.06		10.99
7.688	10.94	2.38	7.64	96.66		10.94
7.69	10.89	2.36	7.66	96.29		10.89
7.692	11.14	2.34	7.68	95.98		11.14
7.694	11.39	2.35	7.65	95.61		11.39
7.696	12.08	2.41	7.61	95.19		12.08
7.698	12.45	2.48	7.6	94.9		12.45
7.7	12.81	2.64	7.55	95.59		12.81
7.702	14.07	2.86	7.57	95.37		14.07
