depth	d18O
0.18	-32.72
0.21	-35.45
0.241	-39.35
0.272	-41.66
0.303	-40.88
0.334	-37.87
0.365	-35.48
0.396	-33.63
0.435	-28.84
0.455	-29.48
0.475	-33.16
0.495	-38.76
0.525	-41.4852
0.555	-42.49
0.59	-42.44
0.625	-41.5639
0.66	-41.5
0.695	-40.15
0.73	-37.68
0.765	-34.27
0.8	-31.2125
0.82	-30.25
0.84	-29.51
0.86	-28.1489
0.88	-27.46
0.9	-27.86
0.92	-28.62
0.939999999999999	-29.37
1	-31.8699
1.035	-32.31
1.07	-31.99
1.105	-30.14
1.14	-28.3817
1.175	-28.76
1.21	-29.62
1.245	-31
1.28	-33.29
1.315	-35.56
1.35	-36.8327
1.385	-37.67
1.42	-35.02
1.455	-33.07
1.49	-31.29
1.525	-31.42
1.56	-31.35
1.595	-31.35
1.63	-30.908
1.665	-31.47
1.7	-32.14
1.735	-32.93
1.77	-34.61
1.805	-37.17
1.84	-39.87
1.875	-40.56
1.91	-40.38
2	-37.65
2.02787878787878	-36.26
2.05575757575757	-34.58
2.08363636363636	-32.84
2.11151515151515	-31.67
2.13939393939393	-30.94
2.16727272727272	-30.71
2.19515151515151	-31.67
2.2230303030303	-33.3
2.25090909090909	-34.29
2.27878787878787	-35.44
2.30666666666666	-35.54
2.33454545454545	-36
2.36242424242424	-35.71
2.39030303030303	-34.78
2.41818181818181	-33.38
2.4460606060606	-31.78
2.47393939393939	-29.71
2.50181818181818	-29.54
2.52969696969696	-29.94
2.55757575757575	-31.61
2.58545454545454	-32.79
2.61333333333333	-32.96
2.64121212121212	-33.31
2.6690909090909	-33.11
2.69696969696969	-33.545
2.72484848484848	-33.98
2.75272727272727	-34.41
2.78060606060606	-34.39
2.80848484848484	-34.19
2.83636363636363	-33.56
2.86424242424242	-32.4
2.89212121212121	-31.96
3	-35.28
3.02	-34.35
3.045	-36.27
3.07	-36.95
3.095	-37.86
3.12	-38.3
3.145	-38.97
3.17	-39.42
3.195	-39.52
3.22	-39.13
3.245	-38.04
3.27	-36.56
3.295	-34.78
3.315	-32.95
3.34	-31.6
3.365	-30.66
3.39	-30.22
3.415	-29.84
3.44	-29.86
3.465	-30.34
3.49	-30.6
3.515	-30.94
3.54	-31.28
3.565	-31.84
3.59	-32.41
3.615	-33.15
3.64	-33.71
3.665	-34.27
3.69	-34.21
3.715	-34.5
3.74	-34.42
3.765	-34.26
3.79	-33.173
3.815	-32.83
3.84	-32.26
3.865	-31.64
3.89	-30.97
3.915	-30.71
3.94	-30.47
3.965	-30.23
4	-30.47
4.02	-29.96
4.04	-29.3
4.06	-28.94
4.08	-29.04
4.105	-29.54
4.13	-30.46
4.155	-31.61
4.18	-33.09
4.205	-34.13
4.23	-34.63
4.255	-34.82
4.28	-34.14
4.305	-33.49
4.33	-32.93
4.355	-32.25
4.38	-31.57
4.405	-31.26
4.43	-30.99
4.455	-30.66
4.48	-30.89
4.505	-31.12
4.53	-32.24
4.555	-32.9
4.58	-33.92
4.605	-34.575
4.63	-35.23
4.655	-35.96
4.68	-36.35
4.705	-36.74
4.73	-36.74
4.755	-36.46
4.78	-36.14
4.805	-35.46
4.83	-34.42
4.855	-33.28
4.88	-32.51
4.905	-31.84
4.93	-31.46
4.955	-30.99
4.98	-30.71
5	-29.7
5.025	-29.52
5.05	-29.51
5.075	-29.68
5.1	-29.9
5.12	-30.4
5.14	-31.07
5.16	-32
5.18	-32.96
5.2	-33.68
5.22	-34.48
5.24	-34.96
5.26	-35.11
5.28	-34.93
5.3	-34.48
5.32	-34.08
5.34	-33.53
5.36	-32.8
5.38	-32.33
5.4	-31.6
5.42	-31.34
5.44	-31.17
5.46	-31
5.48	-31.33
5.5	-31.81
5.52	-32.29
5.54	-33.08
5.56	-33.77
5.58	-34.41
5.6	-34.88
5.62	-35.11
5.64	-34.95
5.66	-35.16
5.68	-34.76
5.7	-33.66
5.72	-34.23
5.74	-33.25
5.76	-32.86
5.78	-32.47
5.8	-32.66
5.82	-32.93
5.84	-33.58
5.86	-34.43
5.88	-35.38
5.9	-36.14
5.92	-36.79
5.94	-37.14
5.96	-37.25
5.98	-36.99
6	-35.81
6.0175	-35.16
6.035	-34.96
6.0525	-34.42
6.07	-34.03
6.0875	-33.69
6.105	-33.42
6.1225	-33.24
6.14	-33.38
6.1575	-33.67
