iceDepth	density	weDepth	d18O
0.49	354.166666666667	0.16	-34.3
0.97	340.425531914894	0.33	-34.2
1.44	369.565217391304	0.49	-35.2
1.9	355.555555555555	0.66	-37.7
2.35	377.777777777778	0.82	-35.9
2.8	372.093023255814	0.99	-34.2
3.23	386.363636363637	1.15	-34.6
3.67	380.952380952381	1.32	-34.2
4.09	404.761904761905	1.48	-35.2
4.51	390.243902439025	1.65	-32.4
4.92	414.634146341463	1.81	-35.7
5.33	400	1.98	-34.3
5.73	425	2.14	-33.4
6.13	400	2.31	-32.5
6.53	447.368421052632	2.47	-34.8
6.91	410.25641025641	2.64	-32.4
7.3	447.368421052633	2.8	-33.4
7.68	432.432432432431	2.97	-34.4
8.05	447.368421052633	3.13	-33.7
8.43	432.432432432432	3.3	-33.4
8.8	472.222222222223	3.46	-31.2
9.16	444.444444444445	3.63	-30
9.52	472.22222222222	3.79	-32.1
9.88	444.444444444445	3.96	-30.4
10.24	485.714285714286	4.12	-34.7
10.59	457.142857142858	4.29	-31.9
10.94	485.714285714286	4.45	-33.9
11.29	470.588235294116	4.62	-36.5
11.63	500	4.78	-33
11.97	470.588235294118	4.95	-34.9
12.31	500	5.11	-33.5
12.65	484.848484848485	5.28	-34.6
12.98	515.151515151515	5.44	-36.4
13.31	484.848484848482	5.61	-33.9
13.64	515.151515151518	5.77	-34
13.97	500	5.94	-31.9
14.29	515.151515151515	6.1	-33.8
14.62	500	6.27	-34.9
14.94	531.249999999999	6.43	-34.1
15.26	516.129032258064	6.6	-34.6
15.57	531.249999999999	6.76	-34
15.89	516.129032258067	6.93	-34.1
16.2	548.387096774189	7.09	-33.5
16.51	516.129032258067	7.26	-32.6
16.82	548.387096774196	7.42	-34.1
17.13	533.333333333333	7.59	-35.3
17.43	548.387096774196	7.75	-34.1
17.74	533.333333333333	7.92	-32.7
18.04	586.206896551726	8.08	-35.5
18.33	551.72413793103	8.25	
18.62	571.428571428577	8.41	
18.9	586.206896551718	8.57	
19.19	551.724137931037	8.74	
19.48	586.206896551726	8.9	
19.77	551.724137931037	9.07	
20.06	586.206896551718	9.23	
20.35	551.724137931037	9.4	
20.64	607.142857142854	9.56	
20.92	551.724137931037	9.73	
21.21	586.206896551726	9.89	
21.5	551.724137931037	10.06	
21.79	586.206896551726	10.22	
22.08	551.72413793103	10.39	
22.37	586.206896551726	10.55	
22.66	571.42857142857	10.72	
22.94	586.206896551726	10.88	
23.23	551.724137931037	11.05	
23.52	586.206896551726	11.21	
23.81	571.428571428563	11.38	
24.09	607.142857142861	11.54	-35.1
24.37	592.592592592588	11.71	-35.2
24.64	607.142857142854	11.87	-34.7
24.92	592.592592592594	12.04	-33.8
25.19	629.62962962963	12.2	-34
25.46	592.592592592594	12.37	-36.2
25.73	629.62962962963	12.53	-33.9
26	592.592592592594	12.7	-33.9
26.27	629.62962962963	12.86	-35.2
26.54	592.592592592594	13.03	-34.4
26.81	653.84615384615	13.19	-33.7
27.07	592.592592592594	13.36	-32.9
27.34	653.84615384615	13.52	-34.2
27.6	620.689655172415	13.69	-35.3
27.89	620.689655172421	13.87	-33.6
28.18	620.689655172415	14.05	-33.1
28.47	620.689655172407	14.23	-35.1
28.76	655.172413793104	14.41	-35.9
29.05	642.857142857147	14.6	-35.4
29.33	620.689655172413	14.78	-36.1
29.62	642.857142857147	14.96	-33.7
29.9	642.857142857139	15.14	-32.1
30.18	620.689655172415	15.32	-33
30.47	678.571428571424	15.5	-33.1
30.75	642.857142857139	15.69	-33.4
31.03	642.857142857154	15.87	-32.5
31.31	642.857142857139	16.05	-33.3
31.59	642.857142857139	16.23	-35.9
31.87	666.666666666667	16.41	-35.4
32.14	678.57142857143	16.59	-33
32.42	642.857142857139	16.78	-32.8
32.7	666.666666666675	16.96	-33.7
32.97	642.857142857139	17.14	-32.2
33.25	666.666666666658	17.32	-30.4
33.52	666.666666666675	17.5	-32.4
33.79	678.57142857143	17.68	-34
34.07	666.666666666658	17.87	-35
34.34	666.666666666675	18.05	-36.2
34.61	666.666666666658	18.23	-35.7
34.88	666.666666666675	18.41	-35
35.15	666.666666666658	18.59	-34.2
35.42	703.703703703719	18.77	-35.5
35.69	666.666666666658	18.96	-33.9
35.96	692.307692307697	19.14	-33.4
36.22	666.666666666658	19.32	-32.6
36.49	666.666666666675	19.5	-31.4
36.76	692.307692307678	19.68	-32.8
37.02	703.703703703719	19.86	-32.7
37.29	692.307692307697	20.05	-32
37.55	666.666666666658	20.23	-32.1
37.82	692.307692307697	20.41	-32.9
38.08	692.307692307678	20.59	-35
38.34	692.307692307697	20.77	-36.3
38.6	703.703703703719	20.95	-34.8
38.87	692.307692307678	21.14	-34.3
39.13	692.307692307697	21.32	-33
39.39	692.307692307697	21.5	-34.8
39.65	692.307692307697	21.68	-35.1
39.91	730.769230769221	21.86	-36.3
40.17	719.999999999999	22.05	-34.8
40.42	692.307692307697	22.23	-33.6
40.68	692.307692307697	22.41	-34.8
40.94	692.307692307678	22.59	-33.6
41.2	719.999999999999	22.77	-35.1
41.45	730.769230769241	22.95	-36.2
41.71	692.307692307697	23.14	-35
41.97	719.999999999999	23.32	-36.4
42.22	692.307692307697	23.5	-35.4
42.48	719.999999999999	23.68	-33.9
42.73	719.999999999999	23.86	-34.3
42.98	730.769230769221	24.04	-32.8
43.24	719.999999999999	24.23	-35.6
43.49	719.999999999999	24.41	-34.8
43.74	719.999999999999	24.59	-33.9
43.99	692.307692307697	24.77	-32.6
44.25	719.999999999999	24.95	-32.9
44.5	760.000000000005	25.13	-32.4
