depth	ECM
4.435	13.916
4.445	21.355
4.455	17.041
4.465	17.074
4.475	14.6
4.485	11.54
4.495	16.39
4.505	18.23
4.515	10.515
4.525	15.772
4.535	13.249
4.545	9.88
4.555	9.538
4.565	11.508
4.575	9.001
4.585	9.815
4.595	12.761
4.605	6.82
4.615	4.118
4.625	4.183
4.635	4.997
4.645	0.505
4.655	1.644
4.665	5.632
4.675	3.207
4.685	3.272
4.695	3.337
4.705	0.505
4.715	1.905
4.725	2.556
4.735	4.899
4.745	7.585
4.755	2.914
4.765	2.116
4.775	2.019
4.785	1.254
4.795	2.019
4.805	2.653
4.815	3.89
4.825	6.12
4.835	0.57
4.845	2.214
4.855	2.214
4.865	0.603
4.875	2.295
4.885	0.7
4.895	2.588
4.905	3.825
4.915	2.426
4.925	0
4.935	0.082
4.945	4.607
4.955	6.218
4.965	5.241
4.975	7.764
4.985	9.978
4.995	7.194
5.005	6.657
5.015	3.63
5.025	3.793
5.035	2.8
5.045	2.507
5.055	1.058
5.065	2.312
5.075	1.97
5.085	2.946
5.095	1.091
5.105	0.993
5.115	1.254
5.125	1.14
5.135	2.8
5.145	9.441
5.155	5.485
5.165	5.681
5.175	8.4674
5.182	11.2538
5.215	14.0402
5.225	16.8266
5.235	19.613
5.245	21.436
5.255	23.975
5.265	22.673
5.275	33.903
5.285	24.463
5.295	28.337
5.305	32.797
5.315	26.189
5.325	29.46
5.335	22.705
5.345	20.329
5.355	16.13
5.365	15.691
5.375	18.311
5.385	19.108
5.395	21.045
5.405	20.671
5.415	22.12
5.425	12.647
5.435	17.058
5.445	17.53
5.455	24.577
5.465	16.325
5.475	16.228
5.485	14.177
5.495	13.005
5.505	12.858
5.515	15.902
5.525	14.274
5.535	16.455
5.545	9.978
5.555	14.177
5.565	12.321
5.575	13.054
5.585	11.475
5.595	7.976
5.605	6.429
5.615	13.396
5.625	6.413
5.635	17.302
5.645	13.526
5.655	6.592
5.665	5.192
5.675	6.889
5.685	8.586
5.695	10.283
5.705	11.98
5.715	13.005
5.725	14.909
5.735	13.737
5.745	15.707
5.755	15.056
5.765	22.136
5.775	14.828
5.785	3.825
5.795	9.929
5.805	19.108
5.815	16.586
5.825	13.526
5.835	16.96
5.845	17.351
5.855	22.901
5.865	20.72
5.875	17.253
5.885	17.644
5.895	17.302
5.905	18.523
5.915	19.222
5.925	23.015
5.935	23.552
5.945	22.282
5.955	17.302
5.965	18.832
5.975	18.767
5.985	23.259
5.995	27.898
6.005	29.6555
6.0135	31.413
6.065	33.1705
6.075	34.928
6.085	21.842
6.095	29.068
6.105	21.907
