iceDepth	density	weDepth	d18O
0.3	300	0.1	-35.5
0.6	344.827586206896	0.19	-38.6
0.89	310.344827586207	0.29	-31.5
1.18	344.827586206896	0.38	-32.8
1.47	357.142857142857	0.48	-35.2
1.75	333.333333333334	0.58	-32.9
2.02	357.142857142857	0.67	-31.7
2.3	346.153846153846	0.77	-36.5
2.56	370.37037037037	0.86	-37.2
2.83	346.153846153847	0.96	-36.7
3.09	384.615384615384	1.05	-38.7
3.35	384.615384615385	1.15	-36
3.61	346.153846153846	1.25	-35.8
3.87	400	1.34	-36.9
4.12	360	1.44	-33.2
4.37	416.666666666666	1.53	-31.3
4.61	400	1.63	-34.8
4.86	375.000000000001	1.73	-33.4
5.1	416.666666666666	1.82	-33.6
5.34	374.999999999999	1.92	-35.1
5.58	434.782608695653	2.01	-35
5.81	375.000000000001	2.11	-37.3
6.05	434.78260869565	2.2	-39.1
6.28	434.782608695653	2.3	-38.1
6.51	391.304347826087	2.4	-37
6.74	454.545454545453	2.49	-34.3
6.96	391.304347826087	2.59	-36.2
7.19	454.545454545453	2.68	-34.7
7.41	454.545454545456	2.78	-33.4
7.63	409.090909090911	2.88	-33.8
7.85	454.545454545452	2.97	-32.9
8.07	409.090909090912	3.07	-33.6
8.29	476.190476190473	3.16	-35
8.5	409.090909090909	3.26	-35.9
8.72	476.190476190479	3.35	-36.5
8.93	476.190476190473	3.45	-37.5
9.14	428.571428571432	3.55	-36.6
9.35	476.190476190475	3.64	-33.9
9.56	450.000000000001	3.74	-33.2
9.76	476.190476190475	3.83	-34.4
9.97	476.190476190479	3.93	-35.8
10.18	449.999999999997	4.03	-35.8
10.38	500	4.12	-35.4
10.58	450.000000000001	4.22	-35.5
10.78	500	4.31	-36.6
10.98	500	4.41	-36.2
11.18	449.999999999997	4.51	-35.3
11.38	500.000000000004	4.6	-35.7
11.58	473.684210526316	4.7	-34.2
11.77	499.999999999996	4.79	-33.9
11.97	473.684210526321	4.89	-34.9
12.16	500	4.98	-35.5
12.36	526.315789473679	5.08	-35.4
12.55	473.684210526316	5.18	-34.1
12.74	526.315789473688	5.27	-33.4
12.93	473.684210526316	5.37	-32
13.12	526.315789473679	5.46	-33.1
13.31	526.315789473688	5.56	-35.2
13.5	473.684210526316	5.66	-37.3
13.69	555.555555555555	5.75	-37.6
13.87	473.684210526317	5.85	-34.5
14.06	555.555555555555	5.94	-33.7
14.24	473.684210526316	6.04	-34
14.43	555.555555555559	6.13	-32.5
14.61	555.555555555555	6.23	-30.7
14.79	473.684210526312	6.33	-31.2
14.98	555.555555555555	6.42	-32.1
15.16	500.000000000005	6.52	-32.6
15.34	555.555555555555	6.61	-32.9
15.52	555.555555555555	6.71	-34.2
15.7	500	6.81	-35.2
15.88	588.235294117645	6.9	-35
16.05	500	7	-34.6
16.23	555.555555555559	7.09	-35.2
16.41	529.411764705887	7.19	-37.1
