iceDepth	density	STD	weDepth	N_Ave
2.525	341.572847587891	35.3035701347279	0.835	15
6.84	402.068605921808	38.0428281590886	2.41	15
10.52	463.33207854947	45.4429198978107	3.98	15
13.76	514.652287283866	39.2134861317743	5.55	15
16.735	545.754254918342	23.6063260941624	7.125	15
19.53	614.326338722624	132.624926921981	8.71	15
22.31	557.575474634298	111.625291551027	10.33	15
25.31	634.42265795207	21.7712364886345	11.96	15
27.88	642.328999976059	75.8521387859548	13.59	15
30.35	701.644042232277	68.641129319908	15.22	15
32.7	692.18487394958	40.8794140101385	16.85	15
35.035	708.788798920379	56.6909568019866	18.475	15
37.3	723.373015873014	44.5957246786213	20.09	15
39.505	738.315018315021	39.782265972724	21.7	15
41.59	764.835164835165	69.0998238341229	23.255	15
43.63	737.285521496047	72.7281208956044	24.775	15
45.645	784.464424464423	51.3949436823467	26.295	15
47.73	751.269841269843	59.9121722185489	27.885	15
49.865	797.045177045177	59.5163841209307	29.53	15
51.975	765.181757813336	82.9073435412103	31.18	15
54.06	802.136752136751	57.5671323259148	32.775	15
56.025	810.839617898446	109.211419750425	34.335	15
57.96	792.400932400931	109.130343054378	35.905	15
59.96	827.18283894754	118.650951218568	37.48	15
61.925	824.175824175826	31.2538153959057	39.075	15
63.855	821.794871794871	61.4511852762244	40.665	15
65.775	833.333333333333	59.492336941175	42.245	15
67.67	832.051282051278	52.9224806167974	43.825	15
69.555	841.025641025648	38.4757808388413	45.395	15
71.44	835.286935286936	14.5979874894473	46.975	15
73.33	836.004273504266	69.5930362935727	48.545	15
75.205	845.299145299146	50.6297545969822	50.125	15
77.07	837.606837606842	59.1555875299702	51.695	15
78.95	852.3199023199	68.2485073860251	53.265	15
80.78	851.554001554	57.41023659271	54.82	15
82.555	865.151515151517	49.5001028032557	56.335	15
84.31	859.090909090905	36.4687034313739	57.855	15
86.065	869.191919191925	38.3771924071065	59.365	15
87.805	864.141414141414	37.77426656832	60.875	15
89.555	869.191919191914	38.3771924071081	62.385	15
91.295	875.757575757577	58.6032715327744	63.895	15
93.03	869.191919191924	38.3771924070669	65.415	15
94.77	874.747474747476	49.3194166292238	66.925	15
96.5	874.747474747469	49.319416629243	68.435	15
98.225	874.747474747476	49.3194166292238	69.945	15
99.955	879.797979797983	48.6948314876437	71.455	15
101.675	879.797979797983	38.0165843768946	72.97	15
103.4	879.292929292931	37.571141239145	74.485	15
105.12	884.848484848473	47.5284458828638	75.995	15
106.83	884.34343434344	36.1172912702448	77.505	15
108.56	862.448009506828	81.2448873710337	79.01	15
110.295	889.898989898983	45.778865428779	80.515	15
111.995	878.787878787881	37.1134809512542	82.02	15
113.7	889.898989898992	45.7788654287806	83.525	15
115.4	883.838383838383	35.7124636962981	85.03	15
117.1	894.444444444449	30.6128938599881	86.535	15
118.795	889.898989898983	45.778865428779	88.045	15
120.495	883.838383838381	35.712463696266	89.55	15
122.19	894.444444444448	30.6128938599683	91.055	15
123.88	883.838383838383	35.7124636963005	92.56	15
125.61	876.430976430984	94.6816673008648	94.065	15
127.33	888.888888888898	33.5012605086429	95.57	15
129.02	894.94949494949	43.3755768759479	97.075	15
130.71	894.949494949482	43.3755768758909	98.585	15
132.4	888.888888888892	33.5012605086538	100.09	15
134.085	894.949494949498	43.375576875896	101.595	15
135.775	893.939393939405	30.3030303030225	103.1	15
137.46	894.444444444424	30.6128938599597	104.605	15
139.145	888.888888888892	33.5012605086538	106.11	15
140.835	894.949494949502	43.3755768759704	107.615	15
142.52	901.010101010114	50.6664089049506	109.125	15
144.63	840.27777777778	199.012890919059	110.63	15
146.735	899.494949494941	26.0186805502892	112.135	15
148.415	888.888888888892	33.5012605086721	113.64	15
148.549060822898	910.037878787866	2.50544631728574	113.742996422183	15

