depth	MSA	Cl	Clx	Br	NO3	SO4	SO4nss	Na	NH4	K	Mg	Ca	F
35.153	4.65984	72.197	37.9672	0	128.284	205.816	201.024	19.0165	83.2937	37.2664	1.83773	21.6643	
35.17	2.95991	23.1755	18.3485	0.267968	155.53	184.484	183.809	2.68167	92.9119	8.11967	1.25969	7.85681	
35.187	2.63655	26.6184	24.9208	0.706585	195.844	207.624	207.386	0.94314	129.531	8.61797	0.496131	3.34139	
35.207	2.82445	23.1132	13.9115	0.893775	149.263	219.764	218.476	5.11206	55.2154	5.1309	0.537638	2.89437	
35.227	1.98863	32.3269	30.1084	0.477953	100.387	320.498	320.187	1.23251	10.6701	0.283219	0.604164	4.22583	
35.244	1.81109	45.6763	41.8485	0	91.6115	367.507	366.971	2.12654	15.2917	0.263831	9.04534	5.04462	
35.261	2.18919	58.814	36.193	0.649445	91.9529	401.897	398.73	12.5672	8.94424	0.417954	9.03457	68.8599	
35.278	2.56151	49.7094	30.1834	0	108.919	209.733	206.999	10.8478	2.18283	0.322763	6.41105	43.241	
35.295	2.58279	45.1233	31.2158	0	159.785	152.241	150.294	7.72638	17.81	0.401472	11.2002	47.3957	
35.312	3.79467	6.8906	4.79786	0.353668	167.812	31.1242	30.8312	1.16263	16.2238	0.308368	1.42518	6.80718	
35.329	3.96947	8.51311	6.57498	0.210832	123.118	26.1441	25.8728	1.07674	13.9671	0	0.459914	0.987929	
35.349	3.31834	8.09508	6.03946	0	95.4005	25.8293	25.5415	1.14201	17.3814	0.293191	0.375245	0.903445	
35.369	3.79425	97.3775	39.3865	0	101.498	185.429	177.31	32.2172	40.5141	28.9429	8.54701	103.065	
35.386	0	0	-0.511715	0	19.2045	1.41425	1.34261	0.284286	25.636	0.33948	1.01411	17.2976	
35.403	5.54039	70.6291	51.05	0.735945	71.0178	45.7161	42.9751	10.8773	19.3089	4.8971	6.67832	9.59208	
35.42	2.89254	68.895	44.6006	1.06201	56.5564	58.0485	54.6473	13.4969	16.6064	0.325054	21.8907	27.0326	
35.437	3.38729	20.9871	16.0177	0	59.9864	30.3322	29.6365	2.76079	18.4271	0.415757	5.1715	17.0889	
35.454	2.09099	7.87002	7.41707	1.09793	80	17.1425	17.0791	0.251635	19.1671	0.478727	0.442676	1.35164	
35.471	3.50678	11.3211	9.5473	1.80991	66.6325	22.5502	22.3019	0.985451	32.5645	0	0.360299	0.664169	
35.488	3.01737	11.1857	9.31631	0	81.1219	42.2818	42.0201	1.03854	46.5036	0.382893	3.91565	16.3981	
35.505	2.31338	23.9539	20.288	0	67.7027	59.9783	59.465	2.03659	15.3151	0.251793	0.810692	84.6554	
35.522	22.4988	42.6991	-1239.28	0	76.563	77.2505	-102.227	712.213	25.8129	13.0552	2.29236	56.27	
35.539	2.87644	38.9341	-91.5657	0	69.1181	51.2392	32.9693	72.4999	24.595	5.33633	5.93834	46.6986	
35.559	2.10116	11.6799	8.21642	0	68.0925	21.4505	20.9656	1.92413	21.8156	0.394514	2.77708	29.3723	
39.7			-539.78				-75.5693	299.878	14.7648	367.651	8.66146	112.531	0.109097
39.72	3.48299	177.776	-66.8422		104.793	86.9664	52.7199	135.899	2.60347	44.2988	4.22593	19.3475	27.0254
39.74	3.85311	91.7763	-45.2915		93.1053	74.4882	55.2988	76.1488	2.59082	13.3513	5.24343	15.3109	6.65953
39.76	2.57243	12.831	-10.8023		113.033	71.1187	67.81	13.1296	3.05302	2.03591	3.34764	15.9664	1.18295
39.78	2.01583	18.7821	-2.13048	0.444761	119.83	62.9914	60.0636	11.6181	10.0813	2.3938	3.44168	16.8831	1.05879
39.82	2.0948	9.70842	-7.43035	1.05202	120.152	33.5668	31.1674	9.52154	6.81662	1.95366	4.80514	6.99996	1.08468
39.84	2.74067	29.6733	-8.46942	0.264709	112.935	35.8954	30.5554	21.1904	4.68207	2.18927	3.01699	18.3558	1.36343
39.86	2.90749	29.9154	-7.42686		115.195	53.7874	48.5595	20.7457	4.35631	2.50291	2.16877	30.6258	3.63557
39.88	2.21811	19.3117	7.72622		154.913	113.893	112.271	6.43638	24.522	2.20333	1.20226		2.75185
39.9	1.70801	16.8866	7.55546		149.265	32.7912	31.4848	5.18396	18.1186	1.62291	3.86342	15.0482	2.5218
39.92	1.41077	8.92152	1.47807		109.394	27.9337	26.8916	4.13525	8.60693	2.42615	2.71292	11.1521	0.895668
39.94	1.80267	15.2109	4.51598		114.812	58.2949	56.7976	5.94162	13.4685	2.56295	3.43427	11.2139	0.735411
39.96	1.55776	34.0166	-7.33084		66.6625	49.6927	43.9041	22.9708	3.3398	2.81943	3.41674	9.17931	0.915014
40	5.04772	205.731	-98.9625	1.85002	162.664	122.944	80.2873	169.274	21.1717	33.4503	12.4685	28.9429	
40.016	4.76098	64.2815	17.2892	0	170.893	95.9832	89.4043	26.1068	55.634	11.8144	11.8377	26.2323	
40.032	3.05779	27.5827	22.1769	0	178.493	82.4327	81.6759	3.00323	34.0436	0.437339	2.41545	50.4214	
40.048	2.61008	37.2552	26.1586	0	203.719	101.49	99.9368	6.16478	23.7797	8.48693	4.03555	58.4563	
40.064	2.42745	84.4631	50.3974	0.351509	174.801	207.962	203.193	18.9254	30.027	24.025	8.85113	44.5863	
40.08	1.9339	76.3396	63.2462	0	97.9102	450.615	448.782	7.27411	27.7659	4.20769	3.94004	17.5335	
40.096	0.555845	115.441	107.308	0	70.7256	802.838	801.7	4.5182	42.3087	3.78599	1.32023	8.08963	
40.112	1.65276	103.269	97.1208	0	70.4304	1151.93	1151.07	3.41551	39.5144	4.3191	0.930462	5.41332	
40.128	0.590725	72.418	62.3642	0.668905	62.8909	1398.86	1397.45	5.58545	47.3355	6.12191	0.973664	2.67065	
