depth	d18O
0.21	-40.4163
0.26	-41.2626
0.32	-40.3282
0.37	-37.357
0.43	-35.6627
0.49	-36.2678
0.54	-37.0186
0.6	-37.2892
0.65	-37.5501
0.71	-37.7054
0.77	-37.3103
0.83	-37.5571
0.88	-36.945
0.94	-39.4114
1	-39.6053
1.05	-38.6545
1.11	-37.5846
1.16	-37.5656
1.22	-36.4185
1.28	-37.2331
1.34	-37.4525
1.4	-37.5296
1.47	-37.5844
1.53	-37.4179
1.59	-36.575
1.65	-36.5027
1.71	-36.7519
1.77	-37.3485
1.84	-37.0224
1.9	-35.9439
1.96	-35.8554
2.02	-35.4407
2.08	-34.9241
2.15	-37.2071
2.2	-38.0531
2.25	-38.7291
2.3	-39.0036
2.35	-38.9688
2.4	-37.8899
2.46	-35.9064
2.51	-33.392
2.56	-32.202
2.61	-31.4579
2.66	-31.2662
2.71	-32.2884
2.77	-32.7806
2.82	-33.15
2.87	-33.4918
2.93	-34.4297
2.97	-34.846
3.02	
3.08	-32.6312
3.14846	-34.9545
3.21692	-38.1735
3.28538	-39.6206
3.35385	-39.8367
3.42231	-37.1293
3.49077	-33.7789
3.55923	-34.5223
3.62769	-37.4106
3.69615	-37.597
3.76462	-36.8228
3.83308	-36.162
3.90154	-35.512
3.975	-34.4851
4.03071	-35.051
4.08643	-36.2095
4.14214	-38.1485
4.19786	-40.0077
4.25357	-40.2615
4.30929	-39.1792
4.365	-41.6014
4.42389	-42.1289
4.48278	-41.3543
4.54167	-39.4435
4.60056	-36.5558
4.65944	-36.1994
4.71833	-36.1061
4.77722	-35.617
4.83611	-34.804
4.895	-35.1124
4.9675	-35.2028
5.04	-34.6002
5.1125	-33.741
5.185	-34.3357
5.25143	-36.0542
5.31786	-36.231
5.38429	-36.5543
5.45071	-36.9845
5.51714	-36.1538
5.58357	-36.0598
5.65	-36.5604
5.7	-37.1553
5.75	-37.8976
5.8	-38.0765
5.85	-37.9486
5.9	-36.6171
5.95	-36.6173
6	-36.3004
6.06	-35.8015
6.13	-34.7462
6.195	-35.3687
6.255	-37.9399
6.31	-39.7459
6.375	-39.4632
6.42	-38.2918
6.46	-36.6532
6.5	-34.0132
6.55	-34.5435
6.605	-35.0481
6.65	-35.8789
6.7	-37.3649
6.77	-38.3938
6.81	-38.7364
6.845	-38.5518
6.882	-37.4468
7	-34.9245
7.07	
7.115	-32.8767
7.16	-33.3984
7.21	-35.2152
7.27	-36.3417
7.305	-36.7513
7.345	-37.2382
7.38	-36.6461
7.415	-36.0238
7.46	-35.5522
7.505	-35.4743
7.55	-35.4429
7.595	-35.5111
7.64	-36.2553
7.68	-37.0381
7.725	-37.9102
7.765	-38.8809
7.805	-39.3956
7.845	-39.6679
7.885	-39.0631
7.925	-37.8784
7.965	-35.7247
8	-34.7651
8.05	-33.6779
8.09	-33.4352
8.13	-33.9849
8.175	-34.4065
8.22	-34.5168
8.27	-34.8256
8.314	-35.0651
8.358	-35.5119
8.402	-34.8078
8.446	-34.3273
8.49	-33.0795
8.55	-33.0224
8.602	-33.9459
8.657	-34.4308
8.697	-34.9264
8.732	-34.3826
8.767	-34.7313
8.802	-35.1694
8.837	-35.0426
8.872	-34.8587
8.907	-34.9663
8.942	-35.2262
9	-35.6841
9.035	-36.2531
9.07	-36.5871
9.105	-36.8874
9.14	-37.1051
9.175	-37.2614
9.21	-37.3567
9.245	-36.8247
9.28	-36.5693
9.318	-36.7059
9.356	-36.5515
9.394	-36.7457
9.432	-36.7046
9.47	-35.9183
9.55	-35.2908
9.59	-35.0247
9.63	-34.5844
9.675	-33.9522
9.715	-34.1909
9.765	-34.1688
9.815	-34.1343
9.86	-34.483
9.91	-34.1916
9.955	-33.3787
10	-33.0668
10.055	-32.7955
10.105	-32.4414
10.15	-32.6906
10.195	-32.7847
10.24	-33.4522
10.28	-33.7589
10.32	-33.832
10.355	-34.1169
10.4	-33.7524
10.445	-33.6719
10.485	-33.7797
10.55	-33.867
10.59	-34.6984
10.63	-35.324
10.67	-35.9594
10.705	-36.6223
10.745	-36.9033
10.785	-37.0379
10.825	-37.0807
10.865	-36.9503
10.908	-36.912
10.945	-35.873
11	-35.7531
11.046	-35.353
11.091	-35.0595
11.131	-35.0743
11.166	-35.4869
11.201	-35.3398
11.236	-36.224
11.272	-36.8357
11.309	-36.9501
11.342	-37.2097
11.377	-38.0828
11.442	-39.0105
11.487	-37.9647
11.55	-37.9201
11.601	-37.8819
11.646	-38.3921
11.686	-38.0211
11.726	-38.0326
11.771	-37.628
11.816	-37.4118
11.856	-37.4097
11.922	-37.5145
11.963	-37.1475
12	-36.5368
12.036	-36.3616
12.083	-36.2044
12.115	-36.4963
12.152	-36.1544
12.192	-36.0151
12.235	-35.7439
12.277	-36.0541
12.317	-36.2325
12.354	-36.5662
12.39	-36.6792
12.423	-36.5278
12.458	-36.8462
12.503	-36.6259
12.55	-36.8158
12.59	-36.7355
12.631	-36.5901
12.668	-35.7444
12.706	-35.2085
12.746	-35.3496
12.788	-35.4345
12.823	-35.6197
12.876	-36.1742
12.922	-36.7029
12.963	-36.8737
13	-37.2235
13.03	-37.2549
13.066	-37.1945
