depth	cond
0.113	232.839
0.117	376.31
0.12	279.298
0.123	391.86
0.127	377.924
0.13	364.379
0.133	348.986
0.137	321.38
0.14	293.065
0.143	279.32
0.147	305.293
0.15	193.687
0.153	182.455
0.157	54.441
0.16	86.519
0.163	196.66
0.167	-181.142
0.17	-34.721
0.173	-217.53
0.177	-237.464
0.18	57.073
0.183	56.851
0.187	201.32
0.19	-99.205
0.193	108.499
0.197	-50.617
0.2	98.914
0.203	143.814
0.207	144.963
0.21	142.068
0.213	139.213
0.217	135.789
0.22	134.4
0.223	134.422
0.227	145.368
0.23	154.954
0.233	169.121
0.237	177.883
0.24	184.142
0.243	192.688
0.247	197.773
0.25	205.376
0.253	214.128
0.257	223.075
0.26	229.911
0.263	231.634
0.267	224.351
0.27	207.888
0.273	197.987
0.277	196.179
0.28	210.617
0.283	227.53
0.287	242.875
0.29	256.96
0.293	267.023
0.297	272.711
0.3	273.793
0.303	269.431
0.307	263.11
0.31	257.256
0.313	254.181
0.317	251.088
0.32	248.839
0.323	247.831
0.327	248.102
0.33	248.829
0.333	250.187
0.337	251.344
0.34	251.385
0.343	252.103
0.347	251.231
0.35	250.819
0.353	250.598
0.357	249.697
0.36	247.665
0.363	245.853
0.367	223.497
0.37	222.584
0.373	228.857
0.377	229.226
0.38	232.784
0.383	245.309
0.387	269.106
0.39	310.98
0.393	323.518
0.397	352.737
0.4	361.032
0.403	370.585
0.407	392.787
0.41	400.35
0.413	402.405
0.417	403.279
0.42	401.989
0.423	398.858
0.427	395.778
0.43	395.13
0.433	391.263
0.437	378.952
0.44	360.474
0.443	341.042
0.447	328.411
0.45	307.475
0.453	292.042
0.457	280.374
0.46	268.843
0.463	261.769
0.467	260.297
0.47	257.732
0.473	253.818
0.477	252.61
0.48	250.753
0.483	244.897
0.487	237.743
0.49	232.955
0.493	232.023
0.497	224.468
0.5	213.107
0.503	201.043
0.507	191.824
0.51	178.367
0.513	184.757
0.517	202.793
0.52	231.754
0.523	278.331
0.527	297.21
0.53	306.156
0.533	312.176
0.537	321.548
0.54	328.768
0.543	330.132
0.547	332.436
0.55	330.925
0.553	333.897
0.557	344.059
0.56	352.413
0.563	344.849
0.567	317.765
0.57	286.428
0.573	249.171
0.577	221.271
0.58	196.66
0.583	163.936
0.587	146.304
0.59	142.437
0.593	145.555
0.597	153.334
0.6	162.575
0.603	169.575
0.607	174.74
0.61	179.841
0.613	183.179
0.617	184.044
0.62	184.037
0.623	181.991
0.627	178.644
0.63	175.312
0.633	172.993
0.637	170.437
0.64	168.42
0.643	169.482
0.647	172.525
0.65	183.208
0.653	191.204
0.657	194.011
0.66	210.201
0.663	227.984
0.667	228.06
0.67	236.828
0.673	241.335
0.677	240.269
0.68	237.517
0.683	232.188
0.687	230.188
0.69	226.926
0.693	219.796
0.697	211.343
0.7	204.518
0.703	201.655
0.707	199.175
0.71	199.336
0.713	200.188
0.717	202.179
0.72	203.35
0.723	206.505
0.727	207.815
0.73	207.828
0.733	206.614
0.737	204.843
0.74	203.217
0.743	202.528
0.747	196.503
0.75	196.269
0.753	193.86
0.757	201.57
0.76	203.018
0.763	209.25
0.767	215.414
0.77	220.112
0.773	225.774
0.777	231.84
0.78	235.55
0.783	240.738
0.787	244.191
0.79	244.995
0.793	240.871
0.797	238.853
0.8	237.404
0.803	234.672
0.807	232.726
0.81	231.034
0.813	229.643
0.817	229.247
0.82	232.382
0.823	244.425
0.827	253.926
0.83	251.831
0.833	249.185
0.837	242.593
0.84	223.754
0.843	196.799
0.847	176.585
0.85	159.315
0.853	149.624
0.857	142.437
0.86	136.921
0.863	134.672
0.867	134.689
0.87	135.46
0.873	136.49
0.877	137.402
0.88	139.189
0.883	140.74
0.887	142.662
0.89	145.178
0.893	147.518
0.897	150.708
0.9	153.726
0.903	156.814
0.907	158.971
0.91	162.796
0.913	176.114
0.917	187.891
0.92	195.148
0.923	197.439
0.927	197.308
0.93	216.398
0.933	202.548
0.937	196.451
0.94	194.352
0.943	164.746
0.947	146.368
