depth	cond
0.003	16.978
0.007	13.45
0.01	15.903
0.013	2.167
0.017	148.768
0.02	31.991
0.023	43.261
0.027	31.569
0.03	27.208
0.033	11.993
0.037	29.439
0.04	37.086
0.043	100.1
0.047	72.551
0.05	51.778
0.053	28.383
0.057	12.058
0.06	14.776
0.063	33.461
0.067	27.052
0.07	25.085
0.073	16.927
0.077	15.84
0.08	41.394
0.083	98.672
0.087	142.697
0.09	96.359
0.093	62.432
0.097	67.963
0.1	69.033
0.103	59.028
0.107	59.688
0.11	32.305
0.113	34.354
0.117	32.875
0.12	109.294
0.123	87.849
0.127	345.355
0.13	67.986
0.133	149.584
0.137	87.184
0.14	112.689
0.143	45.417
0.147	97.486
0.15	203.97
0.153	103.485
0.157	143.407
0.16	311.434
0.163	125.391
0.167	137.119
0.17	149.283
0.173	168.089
0.177	201.536
0.18	373.171
0.183	359.444
0.187	833.153
0.19	742.237
0.193	817.576
0.197	274.621
0.2	241.409
0.203	211.218
0.207	224.418
0.21	220.101
0.213	213.785
0.217	212.338
0.22	238.016
0.223	281.367
0.227	246.474
0.23	302.894
0.233	230.55
0.237	230.404
0.24	234.881
0.243	236.176
0.247	239.968
0.25	244.755
0.253	246.599
0.257	250.019
0.26	253.221
0.263	250.76
0.267	255.786
0.27	258.39
0.273	260.556
0.277	257.551
0.28	257.47
0.283	255.619
0.287	252.089
0.29	249.949
0.293	250.142
0.297	246.96
0.3	246.238
0.303	248.279
0.307	285.326
0.31	308.857
0.313	296.732
0.317	290.175
0.32	269.583
0.323	286.767
0.327	241.186
0.33	234.012
0.333	243.552
0.337	245.634
0.34	241.157
0.343	261.1
0.347	249.755
0.35	265.46
0.353	259.998
0.357	252.155
0.36	238.337
0.363	244.411
0.367	247.695
0.37	340.687
0.373	250.346
0.377	247.904
0.38	236.222
0.383	227.576
0.387	221.757
0.39	219.316
0.393	218.135
0.397	217.918
0.4	218.367
0.403	218.987
0.407	220.206
0.41	222.205
0.413	223.892
0.417	225.211
0.42	232.381
0.423	237.049
0.427	234.374
0.43	225.22
0.433	212.217
0.437	224.782
0.44	218.903
0.443	200.228
0.447	194.596
0.45	171.028
0.453	152.064
0.457	134.796
0.46	130.756
0.463	133.433
0.467	116.89
0.47	128.385
0.473	134.054
0.477	131.915
0.48	139.146
0.483	146.068
0.487	153.758
0.49	158.461
0.493	162.421
0.497	165.424
0.5	170.9
0.503	134.411
0.507	134.274
0.51	138.356
0.513	147.116
0.517	153.583
0.52	159.477
0.523	162.168
0.527	163.728
0.53	163.616
0.533	164.031
0.537	164.995
0.54	166.172
0.543	168.202
0.547	170.465
0.55	172.884
0.553	173.356
0.557	173.643
0.56	176.868
0.563	178.904
0.567	180.613
0.57	184.176
0.573	188.103
0.577	192.192
0.58	197.2
0.583	196.583
0.587	221.495
0.59	206.573
0.593	207.132
0.597	207.146
0.6	207.136
0.603	206.392
0.607	205.463
0.61	205.485
0.613	184.024
0.617	165.402
0.62	147.893
0.623	139.092
0.627	126.129
0.63	116.098
0.633	133.714
0.637	122.965
0.64	116.864
0.643	116.656
0.647	113.87
0.65	166.49
0.653	152.67
0.657	152.033
0.66	217.682
0.663	366.429
0.667	145.804
0.67	158.564
0.673	149.314
0.677	146.005
0.68	142.555
0.683	163.534
0.687	130.345
0.69	125.748
0.693	124.267
0.697	125.448
0.7	118.005
0.703	113.118
0.707	111.354
0.71	106.819
