iceDepth	density	weDepth	d18O
0.33	314.285714285714	0.1	-40.7
0.68	285.714285714286	0.21	-37.4
1.03	333.333333333333	0.31	-38.1
1.36	294.117647058824	0.42	-37.5
1.7	343.75	0.52	-37.1
2.02	303.030303030303	0.63	-36.4
2.35	354.838709677419	0.73	-37.5
2.66	322.58064516129	0.84	-34.4
2.97	379.310344827587	0.94	-33.2
3.26	333.333333333333	1.05	-35.7
3.56	379.310344827587	1.15	-37
3.85	322.58064516129	1.26	-36.5
4.16	392.857142857142	1.36	-35.9
4.44	357.142857142858	1.47	-40.2
4.72	407.407407407406	1.57	-38.6
4.99	357.142857142858	1.68	-35.4
5.27	407.407407407406	1.78	-34.8
5.54	357.142857142857	1.89	-36.4
5.82	400	1.99	-37
6.07	392.857142857145	2.09	-36.9
6.35	370.370370370368	2.2	-37.2
6.62	423.076923076925	2.3	-36.3
6.88	322.580645161289	2.41	-37.3
7.19	407.407407407409	2.51	-34.6
7.46	400	2.62	-36.3
7.71	440	2.72	-36.2
7.96	434.782608695653	2.83	-38.4
8.19	440	2.93	-34.3
8.44	400	3.04	-34.8
8.69	478.260869565216	3.14	-34
8.92	416.666666666667	3.25	-34.9
9.16	478.260869565216	3.35	-36.2
9.39	357.142857142858	3.46	-36.9
9.67	499.999999999998	3.56	-35.5
9.89	434.782608695655	3.67	-34.2
10.12	478.260869565216	3.77	-33.2
10.35	434.782608695652	3.88	-33.3
10.58	454.545454545454	3.98	-34
10.8	500.000000000004	4.08	-36.1
11.02	434.78260869565	4.19	-36.6
11.25	523.809523809523	4.29	-35.5
11.46	454.545454545455	4.4	-37.4
11.68	523.809523809523	4.5	-38.2
11.89	434.782608695653	4.61	-37.7
12.12	523.809523809523	4.71	-36.8
12.33	476.190476190477	4.82	-36.1
12.54	523.809523809523	4.92	-36.6
12.75	454.545454545452	5.03	-36.1
12.97	523.809523809528	5.13	-36
13.18	454.545454545452	5.24	-37.1
13.4	550.000000000004	5.34	-35.8
13.6	476.190476190473	5.45	-33.5
13.81	550.000000000004	5.55	-33.8
14.01	476.190476190473	5.66	-33.7
14.22	578.947368421056	5.76	-35.9
14.41	555.555555555555	5.87	-37.7
14.59	500.000000000004	5.97	-37.2
14.79	549.999999999994	6.07	-35.2
14.99	500.000000000004	6.18	-35.2
15.19	549.999999999994	6.28	-34.6
15.39	500.000000000004	6.39	-34.7
15.59	578.947368421051	6.49	-34.4
15.78	526.315789473683	6.6	-34.4
15.97	549.999999999994	6.7	-34.6
16.17	526.315789473693	6.81	-34.1
16.36	549.999999999999	6.91	-35.3
16.56	555.555555555559	7.02	-35.7
16.74	549.999999999994	7.12	-35
16.94	526.315789473689	7.23	-35.8
17.13	550.000000000004	7.33	-34.9
17.33	588.235294117639	7.44	-34.1
17.5	523.809523809523	7.54	-36
17.71	555.555555555555	7.65	-37.4
17.89	578.947368421061	7.75	-36.7
18.08	526.315789473679	7.86	-36.6
18.27	611.111111111114	7.96	-36.6
18.45	526.315789473679	8.07	-35.3
18.64	555.555555555555	8.17	-35.8
18.82	578.947368421055	8.27	-35.7
19.01	555.555555555555	8.38	-34.5
19.19	578.947368421057	8.48	-33.2
19.38	578.947368421046	8.59	-35.2
19.57	611.111111111119	8.7	-37.6
19.75	578.947368421046	8.81	-38
19.94	1100.00000000002	8.92	-37.2
20.04	578.947368421055	9.03	-36.4
20.23	555.555555555555	9.14	-37.3
20.41	578.947368421046	9.24	-37.1
20.6	578.947368421066	9.35	-36.2
20.79	647.058823529402	9.46	-34.5
20.96	611.111111111109	9.57	-34.5
21.14	611.111111111109	9.68	-35.6
21.32	611.111111111119	9.79	-36.9
21.5	555.555555555555	9.9	-36.3
21.68	611.111111111109	10	-35.9
