depth	d18O
10	-36.9832
10.0256	-37.2392
10.0513	-37.3875
10.0769	-37.6031
10.1026	-37.7956
10.1282	-37.9225
10.1538	-38.0755
10.1795	-38.1249
10.2051	-38.188
10.2308	-38.1713
10.2564	-37.9132
10.2821	-38.2306
10.3077	-38.1307
10.3333	-38.3346
10.359	-38.2835
10.3846	-38.2144
10.4103	-38.1454
10.4359	-38.3053
10.4615	-38.3964
10.4872	-38.2643
10.5128	-38.082
10.5385	-38.0306
10.5641	-37.8584
10.5897	-37.7742
10.6154	-37.6844
10.641	-37.5368
10.6667	-37.644
10.6923	-37.366
10.7179	-37.4541
10.7436	-37.3476
10.7692	-37.462
10.7949	-37.22
10.8205	-37.3628
10.8462	-37.338
10.8718	-37.4486
10.8974	-37.4606
10.9231	-37.3291
10.9487	-37.0827
10.9744	-37.2012
11	-36.9283
11.0263	-37.2268
11.0526	-37.349
11.0789	-37.4744
11.1053	-37.8331
11.1316	-37.895
11.1579	-38.011
11.1842	-37.9828
11.2105	-37.9601
11.2368	-38.1144
11.2632	-38.0211
11.2895	-38.1411
11.3158	-38.039
11.3421	-37.8353
11.3684	-37.4926
11.3947	-37.1111
11.4211	-36.4047
11.4474	-36.0111
11.4737	-35.8077
11.5	-35.4711
11.5263	-35.2605
11.5526	-35.2941
11.5789	-34.9422
11.6053	-35.3356
11.6316	-35.6772
11.6579	-35.1035
11.6842	-35.152
11.7105	-35.1668
11.7368	-35.1461
11.7632	-34.9953
11.7895	-35.0656
11.8158	-34.8475
11.8421	-34.9719
11.8684	-34.7923
11.8947	-34.9094
11.9211	-34.8479
11.9474	-34.8592
11.9737	-34.6943
12	-34.1761
12.025	-34.2436
12.05	-34.2842
12.075	-34.1212
12.1	-33.9921
12.125	-34.1624
12.15	-34.0974
12.175	-34.0024
12.2	-34.2737
12.225	-34.3482
12.25	-34.4718
12.275	-34.5225
12.3	-34.7246
12.325	-34.7953
12.35	-34.5755
12.375	-34.4687
12.4	-34.1969
12.425	-33.9878
12.45	-33.879
12.475	-33.6475
12.5	-33.416
12.525	-33.1839
12.55	-33.0762
12.575	-32.8883
12.6	-32.1775
12.625	-32.0617
12.65	-31.8626
12.675	-32.002
12.7	-31.9539
12.725	-32.1735
12.75	-32.1717
12.775	-32.3218
12.8	-32.7052
12.825	-32.6981
12.85	-32.5561
12.875	-32.6959
12.9	-32.4395
12.925	-32.6935
12.95	-32.2228
12.975	-32.5372
13	-32.9967
13.025	-32.9994
13.05	-33.0972
13.075	-33.2039
13.1	-33.316
13.125	-33.3697
13.15	-33.5958
13.175	-33.8103
13.2	-33.8069
13.225	-34.0482
13.25	-34.0159
13.275	-34.4292
13.3	-34.2208
13.325	-34.2662
13.35	-34.4145
13.375	-34.3939
13.4	-34.4809
13.425	-34.2714
13.45	-34.6722
13.475	-34.4914
13.5	-34.7943
13.525	-34.6761
13.55	-35.03
13.575	-35.0517
13.6	-34.7526
13.625	-34.8968
13.65	-34.7827
13.675	-34.5145
13.7	-34.9892
13.725	-34.783
13.75	-34.8212
13.775	-34.9134
13.8	-35.0348
13.825	-35.1365
13.85	-35.1654
13.875	-35.3243
13.9	-35.1838
13.925	-35.1325
13.95	-35.1553
13.975	-34.8603
14	-34.0915
14.025	-33.8057
14.05	-33.7928
14.075	-33.6587
14.1	-33.3699
14.125	-33.4933
14.15	-33.8215
14.175	-33.4668
14.2	-33.5781
14.225	-33.711
14.25	-33.6673
14.275	-33.9609
14.3	-33.8437
14.325	-33.7885
14.35	-33.6004
14.375	-33.5974
14.4	-33.5426
14.425	-33.4966
14.45	-33.3487
14.475	-33.538
14.5	-33.4421
14.525	-33.6294
14.55	-33.7038
14.575	-33.7721
14.6	-33.7794
14.625	-33.7036
14.65	-33.7794
14.675	-34.1238
14.7	-33.8813
14.725	-34.5483
14.75	-34.5286
14.775	-34.7708
14.8	-35.1311
14.825	-35.4335
14.85	-35.9462
14.875	-36.0387
14.9	-36.3937
14.925	-36.4289
14.95	-36.2761
14.975	-36.3115
15	-35.7836
15.025	-35.6614
15.05	-35.3728
15.075	-35.1726
15.1	-34.9806
15.125	-34.7935
15.15	-34.6064
15.175	-34.4081
15.2	-34.1841
15.225	-34.318
15.25	-34.2775
15.275	-34.0732
15.3	-34.1881
15.325	-34.1248
15.35	-34.0616
15.375	-34.2873
15.4	-34.2108
15.425	-34.104
15.45	-34.2314
15.475	-34.3842
15.5	-34.2917
15.525	-34.2406
15.55	-34.0119
15.575	-33.9136
15.6	-33.459
15.625	-33.0547
15.65	-33.1018
15.675	-32.8525
15.7	-32.774
15.725	-32.8404
15.75	-32.8551
15.775	-33.1871
15.8	-33.6566
15.825	-34.3257
15.85	-35.0796
15.875	-35.8151
15.9	-36.2187
15.925	-36.2533
15.95	-37.2129
15.975	-37.2131
16	-37.4213
16.025	-37.4747
16.05	-37.5627
16.075	-37.4717
16.1	-37.1692
16.125	-37.0259
16.15	-37.0093
16.175	-36.704
16.2	-36.6926
16.225	-36.4332
16.25	-36.4261
16.275	-36.1974
16.3	-35.9924
16.325	-35.6885
16.35	-35.3618
16.375	-35.1695
16.4	-34.8208
16.425	-34.6621
16.45	-34.3317
16.475	-34.1117
16.5	-34.3309
16.525	-34.4016
16.55	-34.373
16.575	-34.3443
16.6	-34.6098
16.625	-34.5963
16.65	-34.4339
16.675	-34.6253
16.7	-34.4408
16.725	-34.8893
16.75	-34.9205
16.775	-35.0133
16.8	-34.951
16.825	-34.8588
16.85	-35.0798
16.875	-34.9222
