depth	MSA	Cl	Clx	Br	NO3	SO4	SO4nss	Na	NH4	K	Mg	Ca	F	pH
57.83	2.42961	25.9253	5.7998	0	69.4653	71.113	68.2907	11.1995	9.99142	1.74928	6.52426	20.3824	1.70613	-1.328
57.849	2.36967	17.3236	1.88793	3.52157	28.702	26.0921	23.9275	8.58969	6.57532	2.23921	5.39318	6.46194	0.789116	-2.3888
57.868	2.53974	1.73844	-1.08499	0	36.386	9.57654	9.1806	1.57119	9.24371	1.22392	5.45359	3.26876	2.56506	0.6885
57.887	2.73959	2.28482	-1.30918	0.616893	0.213857	8.66984	8.16584	2	2	2	6	4	0.781619	-2.14374
57.906	2.72854	2.46153	-1.13247	0.442522	15.799	8.24145	7.73745	2	4	2	5	1	2.11625	-0.97853
57.925	3.15211	1.65655	-0.691824	0.803879	36.602	13.2167	12.8874	1.30683	5.94933	1.12844	5.4753	3.62669	1.35909	-0.877
57.944	2.3274	4.73277	1.00428	0.478481	39.436	19.3625	18.8396	2.07484	4.27655	2.25619	7.5271	2.44025	1.26795	-1.05
57.963	2.22723	5.8269	-2.57828	0.764637	52.4143	21.9607	20.782	4.67734	6.55426	2.22654	5.84496	4.08112	1.49917	-0.771
57.979	2.06348	12.5902	5.63119	0	47.2902	44.1176	43.1417	3.87257	6.04196	1.62978	6.69888	9.6095	2.06362	0.524
57.995	1.69925	58.0991	14.212	0	66.65	66.5585	60.4041	24.4224	15.8975	2.87525	10.145	9.77631	1.12968	0.75
58.014	2.21752	90.6747	0.8247	0	52.592	67.81	55.21	50		5	9	23	0.865863	-0.16645
58.033	1.93241	53.0142	13.9695	0.424191	58.0909	54.385	48.9096	21.7277	9.0987	2.2776	11.193	0	1.79414	0
58.052	1.67153	7.22862	2.66237	0	65.8679	19.8225	19.1822	2.54104	12.673	0.850017	5.81744	7.33619	1.24028	
58.071	1.93427	13.3702	2.03081	0	61.6346	54.7289	53.1387	6.31018	14.7825	0.992385	6.72606	9.45923	1.6968	0.621677
58.09	1.94874	21.2536	3.96833	0	48.5089	67.7365	65.3125	9.61896	9.03434	1.35269	7.73929	14.6525	2.09807	-1.25144
58.109	2.16009	57.248	5.26636	0	30.125	59.667	52.3774	28.9269	3.7837	1.72183	8.62197	6.06103	2.35377	-0.362
58.128	2.31011	40.2668	6.67907	0	27.576	52.584	47.8739	18.691	10.65	1.36937	10.3149	3.70712	0.287592	0
58.147	2.90527	14.2664	2.08305	0.444884	46.0915	52.1432	50.4347	6.77983	35.1805	1.56508	8.74683	2.25826	0.969768	-1.05
