depth	MSA	Cl	Clx	Br	NO3	SO4	SO4nss	Na	NH4	K	Mg	Ca	F	pH
40.98	1.77448	6.04823	0.717124	0	48.485	19.9166	19.169	2.96667	2.77053	1.71801	5.24437	11.226	1.35277	
41	1.8807	19.8769	-0.96201	0	30.4278	41.1256	38.2033	11.5965	7.24763	2.88062	5.93281	5.52632	0.914644	
41.02	2.28935	8.05108	1.82505	0	19.8831	24.8328	23.9597	3.46468	3.62909	1.42076	4.53234	4.54435	0.72871	
41.04	2.90787	7.59849	1.5077	0	22.0085	23.2625	22.4084	3.38942	14.6842	1.35355	3.09267	4.85169	1.32873	
41.06	8.93437	5.66796	0.27696	0.89081	187.417	35.7121	34.9561	3	149	2		2	18.3724	
41.08	2.33835	14.613	6.96527	0.648814	91.9259	32.9666	31.8941	4.25583	4.74246	1.48409	4.99797	3.66803	1.01578	
41.1	2.13806	30.6866	26.3735	0.56189	79.2423	76.086	75.4812	2.40017	1.49766	1.20655	0	0.143839	0	
41.12	1	28	9.90116	0		292	289.462	10.0717	3.84461	1.58115	4.35747	4.47207	2	3.52595
41.14	1	29	10.7924	0		748	745.447	10.1322	4.00238	2.52634	3.58469	2.65666	2	11.7017
41.16	1	30	13.9055	0		1263	1260.74	8.95633	3.56518	1.17513	2.91513	2.20161	2	21.9151
41.18	1	40	34.4682	0	22	1359	1358.22	3.07837	3.53121	1.33171	2.03542	1.27964	2	24.5047
41.2	1	62	53.162	0		1123	1121.76	4.91819	5.29236	1.97995	1.71268	1.84238	2	21.0688
41.22	1	86	38.6316	0		871	864.357	26.3597	4.85531	2.16295	7.97819	7.60302	2	13.7161
