iceDepth	density	STD	weDepth	N_Ave
8.11	402.766366148908	18.3383552284778	3.16	9
11.2	444.135732371026	17.2696075249896	4.585	9
14.075	479.981361231361	15.6026118132685	6.005	9
16.78	516.36798088411	11.1143223221582	7.43	9
19.35	542.163838715563	17.0627452569827	8.85	9
21.825	563.654239899451	17.7740098112422	10.27	9
24.21	586.736308958531	12.0582443524796	11.695	9
26.565	609.40170940171	12.4446322893691	13.15	9
28.995	626.857956857957	20.0429109790372	14.69	9
31.41	647.707231040564	22.1689684126572	16.27	9
33.765	660.177271288384	29.6313882211744	17.84	9
36.075	673.846153846152	18.2610192971903	19.41	9
38.335	693.504273504272	30.5701059134092	20.99	9
40.555	701.111111111113	25.1415744421907	22.56	9
42.745	718.703703703704	30.769731978611	24.14	9
44.895	726.940418679551	18.7879786518157	25.71	9
47.02	738.526570048309	24.0486808595923	27.285	9
49.12	744.766505636071	35.0703972218522	28.86	9
51.215	751.409017713365	24.4513440242621	30.445	9
53.305	766.908212560386	17.8319119084953	32.05	9
55.375	769.323671497584	19.0193426908449	33.655	9
57.42	781.730346947737	18.7049094765414	35.255	9
59.365	786.373047242616	24.6008048705973	36.785	9
61.235	787.566137566138	30.978372842977	38.265	9
63.09	796.031746031745	27.8570298012296	39.75	9
64.93	804.761904761904	29.5894474322288	41.23	9
66.76	804.761904761901	29.5894474322273	42.71	9
68.58	813.756613756619	35.2755731233548	44.19	9
70.39	818.783068783067	22.3760110622249	45.675	9
72.19	822.222222222222	24.8451997500004	47.155	9
73.985	822.222222222221	24.8451997499793	48.64	9
75.77	827.19298245614	33.0318778662592	50.12	9
77.56	837.426900584796	30.075768118414	51.615	9
79.35	833.333333333334	23.5702260395591	53.115	9
81.135	843.274853801169	35.1120773152803	54.615	9
82.91	842.982456140351	27.1221488311388	56.115	9
84.685	837.719298245611	37.4839659986468	57.61	9
86.445	852.923976608191	34.9436613893024	59.11	9
88.21	847.953216374265	31.6708647112465	60.61	9
89.96	857.602339181285	30.0160120510018	62.11	9
91.71	857.602339181287	30.0160120510321	63.605	9
93.455	857.894736842104	37.2781216857288	65.105	9
95.21	862.280701754388	23.17516633969	66.615	9
96.98	854.385964912278	26.5196779961935	68.14	9
98.74	869.883040935677	22.2299155657693	69.665	9
100.5	864.035087719301	21.8419291192751	71.19	9
102.25	874.853801169592	22.2299155658078	72.715	9
104.005	864.035087719294	21.8419291192949	74.24	9
105.75	879.824561403513	21.0891496143577	75.765	9
107.495	869.298245614033	31.8941385310585	77.285	9
109.235	873.976608187135	23.3222650322963	78.81	9
110.975	879.824561403504	21.089149614323	80.335	9
112.71	873.976608187144	23.3222650323037	81.86	9
114.45	879.824561403497	21.0891496143466	83.385	9
116.18	878.947368421064	22.4328278114931	84.91	9
117.895	884.795321637425	18.5988817471066	86.425	9
119.56	881.968810916178	19.4561050986833	87.895	9
121.21	879.14230019493	19.879218376584	89.345	9
122.85	884.66536712151	28.4864330302825	90.8	9
124.49	890.838206627675	34.1826080248238	92.255	9
126.13	884.665367121509	28.4864330302546	93.705	9
127.77	884.665367121508	28.4864330302409	95.16	9
129.405	890.513320337878	24.2339911617711	96.615	9
131.045	884.665367121516	28.4864330302557	98.065	9
132.675	889.863547758288	24.1903969707212	99.52	9
134.31	896.03638726444	29.6306270707428	100.975	9
135.945	884.665367121516	28.486433030242	102.425	9
137.575	896.036387264457	29.6306270707698	103.885	9
139.205	889.863547758289	24.1903969707372	105.335	9
140.83	889.863547758273	24.1903969707378	106.785	9
142.46	895.711500974658	17.3259150434892	108.245	9
144.085	895.061728395061	17.4594266959552	109.695	9
145.71	889.53866146849	1.83783438905435	111.145	9
147.335	901.234567901228	23.0966505356101	112.605	9
148.96	890.475098421438	33.6240351864632	114.055	9
150.58	895.061728395062	17.4594266960076	115.505	9
152.205	901.234567901244	23.09665053562	116.965	9
153.83	890.475098421424	33.6240351865054	118.415	9
155.45	895.061728395077	17.459426696002	119.865	9
157.07	901.234567901236	23.0966505356054	121.325	9
158.69	895.061728395052	17.4594266959583	122.775	9
160.305	895.061728395061	17.4594266959552	124.225	9
160.516621983914	902.777777777775	36.7465459869459	124.390898123324	9

