depth	d18O
28.2353	-34.7678
28.2647	-34.2277
28.2941	
28.3235	-35.1317
28.3529	-35.2527
28.3824	-35.0175
28.4118	-34.8636
28.4412	
28.4706	
28.5	-34.478
28.5294	
28.5588	
28.5882	
28.6176	-33.9658
28.6471	-33.9357
28.6765	-33.8728
28.7059	
28.7353	-34.334
28.7647	-35.0121
28.7941	
28.8235	-35.7131
28.8529	
28.8824	
28.9118	
28.9412	
28.9706	
29	
29.0303	-38.0661
29.0606	
29.0909	
29.1212	-38.1985
29.1515	-37.9917
29.1818	-37.7701
29.2121	-37.3297
29.2424	-37.0275
29.2727	-36.9942
29.303	-36.7411
29.3333	-36.7685
29.3636	-36.9566
29.3939	-36.9593
29.4242	-37.2294
29.4545	-37.2091
29.4848	-37.0785
29.5152	-36.9879
29.5455	-36.8039
29.5758	-36.6703
29.6061	-36.474
29.6364	-35.807
29.6667	-35.815
29.697	-35.2935
29.7273	-35.0249
29.7576	
29.7879	-34.1314
29.8182	-34.2099
29.8485	-34.0327
29.8788	-34.0108
29.9091	
29.9394	-34.0093
29.9697	-34.1121
30	
30.0286	
30.0571	
30.0857	
30.1143	
30.1429	
30.1714	
30.2	
30.2286	
30.2571	
30.2857	
30.3143	
30.3429	-36.3228
30.3714	-35.6707
30.4	
30.4286	-35.615
30.4571	
30.4857	
30.5143	
30.5429	-34.7045
30.5714	-34.5944
30.6	
30.6286	-34.7257
30.6571	
30.6857	-34.9195
30.7143	
30.7429	-35.1002
30.7714	-35.3863
30.8	-35.1666
30.8286	-35.8514
30.8571	
30.8857	-36.2803
30.9143	-36.5243
30.9429	-37.0588
30.9714	
31	-34.1502
31.0286	-34.0915
31.0571	
31.0857	
31.1143	
31.1429	
31.1714	-35.5402
31.2	-35.9139
31.2286	
31.2571	
31.2857	
31.3143	-36.2554
31.3429	-36.2074
31.3714	
31.4	-36.1617
31.4286	-36.0359
31.4571	
31.4857	-36.1408
31.5143	-36.1949
31.5429	-35.816
31.5714	
31.6	
31.6286	
31.6571	
31.6857	
31.7143	
31.7429	-32.1721
31.7714	-31.9057
31.8	
31.8286	-31.4733
31.8571	-31.5557
31.8857	-31.6895
31.9143	
31.9429	-32.034
31.9714	
32	-36.9007
32.0303	
32.0606	-36.3805
32.0909	
32.1212	
32.1515	
32.1818	-35.672
32.2121	
32.2424	
32.2727	
32.303	
32.3333	-34.866
32.3636	
32.3939	-34.9718
32.4242	-34.7219
32.4545	-34.7444
32.4848	-34.6193
32.5152	-34.614
32.5455	-34.6413
32.5758	-34.6056
32.6061	-34.8126
32.6364	-34.9355
32.6667	-34.903
32.697	
32.7273	-34.9173
32.7576	-34.8297
32.7879	
32.8182	
32.8485	-34.4356
32.8788	-34.2172
32.9091	
32.9394	-34.0533
32.9697	-33.8467
33	
33.0286	
33.0571	-37.3894
33.0857	
33.1143	-36.1909
33.1429	
33.1714	-35.5009
33.2	-35.2395
33.2286	
33.2571	-34.5253
33.2857	
33.3143	
33.3429	-33.7256
33.3714	-33.91
33.4	
33.4286	
33.4571	-33.5537
33.4857	-33.4172
33.5143	
33.5429	-34.4879
33.5714	-34.3679
33.6	
33.6286	-34.8857
33.6571	-35.429
33.6857	-35.8725
33.7143	-35.7823
33.7429	
33.7714	-37.3678
33.8	-36.9735
33.8286	-37.8165
33.8571	
33.8857	-38.4136
33.9143	-38.1163
33.9429	-37.2121
33.9714	-37.4506
34	-34.68
34.0294	
34.0588	
34.0882	
34.1176	-35.1453
34.1471	
34.1765	-35.674
34.2059	-35.1378
34.2353	-35.1896
34.2647	-35.0954
34.2941	
34.3235	
34.3529	-35.5382
34.3824	-36.0331
34.4118	
34.4412	
34.4706	-37.8953
34.5	-37.7509
34.5294	
34.5588	-37.7159
34.5882	
34.6176	-38.0902
34.6471	
34.6765	
34.7059	
34.7353	
34.7647	-36.2757
34.7941	
34.8235	
34.8529	-37.2242
34.8824	-37.257
34.9118	-37.4476
34.9412	
34.9706	-36.4012
35	-35.4422
35.0294	-34.7938
35.0588	-34.7032
35.0882	
35.1176	
35.1471	
35.1765	
35.2059	-34.9919
35.2353	
35.2647	
35.2941	-35.457
35.3235	-35.9916
35.3529	-36.4217
35.3824	
35.4118	
35.4412	
35.4706	
35.5	
35.5294	
35.5588	
35.5882	
35.6176	
35.6471	-35.5418
35.6765	
35.7059	
35.7353	
35.7647	-35.0248
35.7941	
35.8235	
35.8529	-35.1934
35.8824	
35.9118	-34.0753
35.9412	
35.9706	
36	
36.0303	
36.0606	
36.0909	
36.1212	
36.1515	
36.1818	-35.3752
36.2121	
36.2424	
36.2727	
36.303	
36.3333	
36.3636	
36.3939	-36.2524
36.4242	-36.3251
36.4545	
36.4848	
36.5152	
36.5455	
36.5758	-36.415
36.6061	-36.2969
36.6364	-36.099
36.6667	-36.0881
36.697	
36.7273	
36.7576	
36.7879	
36.8182	
36.8485	
36.8788	
36.9091	
36.9394	-36.331
36.9697	-36.3539
37	
37.0286	
37.0571	
37.0857	-34.2919
37.1143	
37.1429	
37.1714	-33.3563
37.2	
37.2286	
37.2571	
37.2857	-33.2514
37.3143	
37.3429	-33.5978
37.3714	-33.9394
37.4	-34.207
37.4286	
37.4571	-34.4268
37.4857	
37.5143	
37.5429	
37.5714	
37.6	
37.6286	
37.6571	
37.6857	-36.7366
37.7143	
37.7429	
37.7714	
37.8	
37.8286	
37.8571	-37.6774
37.8857	-37.5999
37.9143	-37.6505
37.9429	-37.6392
37.9714	-37.4849
38	
38.0293	-33.4225
38.0587	
38.088	
38.1173	
38.1467	-32.8131
38.176	
38.2053	-33.0976
38.2347	-32.8799
38.264	-32.692
38.2933	
38.3227	-32.6145
38.352	-32.7415
38.3813	
38.4107	
38.44	
38.4693	
38.4987	
38.528	
38.5573	
38.5867	
38.616	
38.6453	
38.6747	
38.704	
38.7333	
38.7627	
38.792	
38.8213	
38.8507	
38.88	
38.9093	
38.9387	
38.968	
39	-36.1993
39.0294	-36.1132
39.0588	-35.9845
39.0882	-35.8009
39.1176	-35.6609
39.1471	
39.1765	-35.2087
39.2059	-34.9222
39.2353	
39.2647	-34.6898
39.2941	-34.5524
39.3235	
39.3529	-34.7486
39.3824	-34.915
39.4118	-35.0376
39.4412	-35.203
39.4706	-35.4271
39.5	-35.5513
39.5294	
39.5588	-36.0376
39.5882	-36.2041
39.6176	-36.1243
39.6471	-36.0929
39.6765	
39.7059	
39.7353	-35.7257
39.7647	-35.5215
39.7941	
39.8235	-35.0959
39.8529	
39.8824	-34.4985
39.9118	
39.9412	-33.898
39.9706	
40	
40.0286	-35.2344
40.0571	-35.3663
40.0857	-35.5665
40.1143	-35.6949
40.1429	-35.7972
40.1714	-35.8343
40.2	-35.9192
40.2286	-36.1891
40.2571	-36.286
40.2857	-36.3338
40.3143	-35.7097
40.3429	
40.3714	
40.4	
40.4286	-35.9144
40.4571	-35.9371
40.4857	-35.701
40.5143	-35.7967
40.5429	-36.0876
40.5714	-36.2019
40.6	-36.3835
40.6286	-36.4139
40.6571	-36.6195
40.6857	-36.6914
40.7143	-36.7997
40.7429	-36.6451
40.7714	
40.8	-36.5519
40.8286	
40.8571	-36.2936
40.8857	-36.2689
40.9143	-36.1084
40.9429	-36.2628
40.9714	-36.1539
41	
41.0294	
41.0588	
41.0882	-34.9808
41.1176	
41.1471	
41.1765	-35.1577
41.2059	
41.2353	
41.2647	
41.2941	
41.3235	-36.3819
41.3529	
41.3824	-36.5932
41.4118	
41.4412	-36.6107
41.4706	
41.5	-36.2356
41.5294	
41.5588	-36.0166
41.5882	-35.8436
41.6176	-35.5828
41.6471	
41.6765	
41.7059	-35.011
41.7353	
41.7647	-34.421
41.7941	-34.5823
41.8235	-34.6213
41.8529	-34.5409
41.8824	-34.6566
41.9118	-34.5986
41.9412	-34.7261
41.9706	
42	
42.0286	
42.0571	
42.0857	
42.1143	
42.1429	
42.1714	-34.8401
42.2	
42.2286	
42.2571	
