depth	cond
18.777	304
18.78	304
18.783	310
18.787	310
18.79	308
18.793	306
18.797	304
18.8	296
18.803	300
18.807	298
18.81	294
18.813	296
18.817	296
18.82	296
18.823	300
18.827	304
18.83	308
18.833	308
18.837	314
18.84	310
18.843	322
18.847	320
18.85	320
18.853	322
18.857	318
18.86	314
18.863	320
18.867	324
18.87	334
18.873	330
18.877	332
18.88	332
18.883	350
18.887	356
18.89	358
18.893	370
18.897	374
18.9	382
18.903	392
18.907	406
18.91	410
18.913	412
18.917	414
18.92	428
18.923	436
18.927	434
18.93	442
18.933	444
18.937	446
18.94	448
18.943	444
18.947	442
18.95	438
18.953	430
18.957	430
18.96	430
18.963	428
18.967	418
18.97	410
18.973	408
18.977	406
18.98	404
18.983	400
18.987	394
18.99	392
18.993	392
18.997	384
19	386
19.003	132
19.007	174
19.01	324
19.013	344
19.017	350
19.02	348
19.023	374
19.027	384
19.03	386
19.033	388
19.037	394
19.04	398
19.043	402
19.047	406
19.05	402
19.053	404
19.057	404
19.06	402
19.063	404
19.067	402
19.07	406
19.073	404
19.077	402
19.08	402
19.083	404
19.087	396
19.09	396
19.093	400
19.097	394
19.1	390
19.103	380
19.107	370
19.11	362
19.113	362
19.117	362
19.12	360
19.123	358
19.127	346
19.13	348
19.133	348
19.137	348
19.14	346
19.143	342
19.147	328
19.15	328
19.153	318
19.157	318
19.16	318
19.163	310
19.167	310
19.17	306
19.173	306
19.177	308
19.18	304
19.183	298
19.187	288
19.19	278
19.193	278
19.197	280
19.2	280
19.203	280
19.207	278
19.21	276
19.213	272
19.217	274
19.22	276
19.223	276
19.227	272
19.23	276
19.233	278
19.237	278
19.24	278
19.243	284
19.247	288
19.25	290
19.253	292
19.257	292
19.26	296
19.263	302
19.267	308
19.27	316
19.273	316
19.277	314
19.28	314
19.283	312
19.287	318
19.29	324
19.293	326
19.297	326
19.3	326
19.303	322
19.307	326
19.31	322
19.313	320
19.317	318
19.32	310
19.323	308
19.327	304
19.33	306
19.333	306
19.337	306
19.34	304
19.343	300
19.347	298
19.35	292
19.353	296
19.357	296
19.36	288
19.363	286
19.367	284
19.37	286
19.373	282
19.377	284
19.38	278
19.383	276
19.387	266
19.39	260
19.393	252
19.397	250
19.4	244
19.403	232
19.407	224
19.41	204
19.413	204
19.417	200
19.42	200
19.423	196
19.427	196
19.43	198
19.433	200
19.437	202
19.44	202
19.443	204
19.447	210
19.45	212
19.453	214
19.457	214
19.46	216
19.463	218
19.467	222
19.47	224
19.473	226
19.477	232
19.48	240
19.483	248
19.487	248
19.49	260
19.493	266
19.497	272
19.5	272
19.503	254
19.507	254
19.51	254
19.513	256
19.517	256
19.52	258
19.523	254
19.527	254
19.53	252
19.533	252
19.537	256
19.54	258
19.543	260
19.547	270
19.55	274
19.553	278
19.557	282
19.56	284
19.563	288
19.567	292
19.57	292
19.573	288
19.577	286
19.58	282
19.583	278
19.587	270
19.59	268
19.593	258
19.597	258
19.6	252
19.603	254
19.607	254
19.61	254
19.613	250
19.617	252
19.62	254
19.623	254
19.627	258
19.63	264
19.633	262
19.637	266
19.64	270
19.643	274
19.647	274
19.65	274
19.653	274
19.657	278
19.66	284
19.663	288
19.667	290
19.67	296
19.673	296
19.677	294
19.68	294
19.683	304
19.687	308
19.69	320
19.693	322
19.697	328
19.7	330
19.703	336
19.707	336
19.71	336
19.713	336
19.717	336
19.72	336
19.723	336
19.727	334
19.73	336
19.733	338
19.737	336
19.74	338
19.743	336
19.747	338
19.75	334
19.753	326
19.757	328
19.76	324
19.763	324
19.767	320
19.77	316
19.773	318
19.777	320
19.78	318
19.783	312
19.787	312
19.79	306
19.793	304
19.797	302
19.8	298
19.803	294
19.807	290
19.81	284
19.813	280
19.817	278
19.82	284
19.823	282
19.827	282
19.83	284
19.833	284
19.837	272
19.84	274
19.843	282
19.847	282
19.85	280
19.853	282
19.857	278
