iceDepth	density	weDepth	d18O
0.63	272.727272727273	0.14	-36.7
1.18	274.509803921569	0.29	-38.1
1.69	285.714285714285	0.43	-35.3
2.18	326.086956521739	0.57	-35.6
2.64	318.181818181818	0.72	-36.4
3.08	333.333333333333	0.86	-34.7
3.5	365.853658536585	1	-37
3.91	358.97435897436	1.15	-36.8
4.3	358.974358974358	1.29	-37.4
4.69	405.405405405407	1.43	-38.4
5.06	378.378378378378	1.58	-37.4
5.43	388.888888888889	1.72	-37.6
5.79	428.571428571428	1.86	-38.7
6.14	378.378378378379	2.01	-37.2
6.51	233.333333333333	2.15	-37.2
7.11	424.242424242425	2.29	-38.5
7.44	288.461538461539	2.43	-36.6
7.96	424.242424242426	2.58	-37.9
8.29	437.499999999999	2.72	-38
8.61	468.749999999999	2.86	-38.5
8.93	466.666666666666	3.01	-37.5
9.23	451.612903225809	3.15	-36.1
9.54	499.999999999999	3.29	-36.5
9.84	451.612903225806	3.44	-38.5
10.15	466.666666666669	3.58	-37.4
10.45	517.241379310343	3.72	-37
10.74	482.758620689656	3.87	-35.2
11.03	482.758620689656	4.01	-38.9
11.32	517.241379310345	4.15	-38.8
11.61	482.758620689656	4.3	-38.3
11.9	500	4.44	-37.9
12.18	535.714285714285	4.58	-37
12.46	500	4.73	-37.3
12.74	500	4.87	-35.7
13.02	535.714285714285	5.01	-36.1
13.3	518.518518518518	5.16	-36.8
13.57	518.518518518521	5.3	-37.6
13.84	555.555555555555	5.44	-36.7
14.11	518.518518518518	5.59	-36.4
14.38	518.518518518518	5.73	-36.1
14.65	576.923076923075	5.87	-37.8
14.91	518.518518518521	6.02	-36.9
15.18	538.461538461538	6.16	-37.3
15.44	555.555555555554	6.3	-36
15.71	538.461538461538	6.45	-36.6
15.97	538.461538461541	6.59	-36.4
16.23	599.999999999998	6.73	-35.2
16.48	538.461538461541	6.88	-36.8
16.74	560.000000000002	7.02	-38.7
16.99	538.461538461534	7.16	-37.7
17.25	600.000000000001	7.3	-35.2
17.5	559.999999999999	7.45	-35.9
17.75	560.000000000002	7.59	-36.2
18	599.999999999998	7.73	-36
18.25	559.999999999999	7.88	-34.6
18.5	560.000000000002	8.02	-33.1
18.75	625.000000000006	8.16	-34.1
18.99	559.999999999995	8.31	-33.7
19.24	583.333333333331	8.45	-35.8
19.48	600.000000000001	8.59	-36.7
19.73	583.33333333334	8.74	-36.1
19.97	583.333333333323	8.88	-35.3
20.21	625.000000000006	9.02	-33.9
20.45	608.695652173914	9.17	-37
20.68	583.333333333323	9.31	-38.5
20.92	625.000000000006	9.45	-38.5
21.16	583.33333333334	9.6	-38.3
21.4	608.695652173914	9.74	-37.6
21.63	624.999999999989	9.88	-36.7
21.87	583.33333333334	10.03	-35.6
22.11	583.333333333331	10.17	-37.8
22.35	652.173913043489	10.31	-37.5
22.58	608.695652173907	10.46	-37.7
22.81	583.333333333331	10.6	-36.5
23.05	652.173913043479	10.74	-38.2
23.28	608.695652173907	10.89	-37.6
23.51	608.695652173924	11.03	-35.4
23.74	600.000000000001	11.17	-36.8
23.99	608.695652173914	11.32	-39
24.22	608.695652173907	11.46	-39.2
24.45	666.666666666667	11.6	-38.6
24.66	590.90909090909	11.74	-37.7
24.88	619.04761904762	11.87	-35.5
25.09	666.666666666667	12	-36.2
25.3	619.047619047612	12.14	-39.1
25.51	666.666666666678	12.27	-36.6
25.72	619.047619047612	12.41	-36.4
25.93	666.666666666667	12.54	-38.4
26.14	619.04761904762	12.68	-37.1
26.35	619.047619047622	12.81	-36.5
26.56	699.999999999993	12.94	-36.3
26.76	619.047619047631	13.08	-36.9
26.97	699.999999999984	13.21	-37.7
27.17	619.047619047631	13.35	-35.9
27.38	666.666666666658	13.48	-37.4
27.59	419.354838709682	13.62	-38.7
27.9	649.999999999995	13.75	-37.2
28.1	666.666666666669	13.88	-36
28.31	649.999999999995	14.02	-37.4
28.51	666.666666666669	14.15	-37.6
28.72	649.999999999995	14.29	-37.3
28.92	700.000000000005	14.42	-36.5
29.12	649.999999999997	14.56	-36.4
29.32	619.04761904762	14.69	-37.4
29.53	700.000000000005	14.82	-37.5
29.73	649.999999999997	14.96	-37.6
29.93	700.000000000005	15.09	-37.8
30.13	649.999999999997	15.23	-36.7
30.33	699.999999999993	15.36	-35.9
30.53	650.000000000006	15.5	-36
30.73	649.999999999997	15.63	-36.3
30.93	700.000000000005	15.76	-37.6
31.13	650.000000000006	15.9	-37.8
31.33	699.999999999993	16.03	-37.6
31.53	684.210526315792	16.17	-35.8
31.72	699.999999999993	16.3	-34.9
31.92	650.000000000009	16.44	-35.2
32.12	649.999999999986	16.57	-36.8
32.32	736.84210526317	16.7	-37.6
32.51	649.999999999986	16.84	-35.7
32.71	700.000000000018	16.97	-36.4
32.91	684.210526315767	17.11	-37.5
33.1	700.000000000018	17.24	-37
33.3	684.210526315786	17.38	-36.1
33.49	684.210526315792	17.51	-37.8
33.68	699.999999999993	17.64	-39.1
33.88	684.210526315792	17.78	-38.4
34.07	699.999999999993	17.91	-37
34.27	684.210526315792	18.05	-36
34.46	736.84210526317	18.18	-35.8
34.65	684.210526315767	18.32	-35.8
34.84	650.000000000009	18.45	-36.2
35.04	736.84210526317	18.58	-35.2
35.23	684.210526315786	18.72	-35.6
