depth	cond
7.003	254
7.007	240
7.01	232
7.013	192
7.017	190
7.02	180
7.023	176
7.027	168
7.03	168
7.033	176
7.037	174
7.04	180
7.043	186
7.047	194
7.05	206
7.053	214
7.057	216
7.06	218
7.063	220
7.067	222
7.07	222
7.073	226
7.077	226
7.08	226
7.083	240
7.087	246
7.09	244
7.093	238
7.097	234
7.1	226
7.103	212
7.107	210
7.11	200
7.113	200
7.117	206
7.12	210
7.123	216
7.127	236
7.13	242
7.133	246
7.137	248
7.14	244
7.143	230
7.147	220
7.15	198
7.153	184
7.157	176
7.16	164
7.163	148
7.167	148
7.17	140
7.173	144
7.177	154
7.18	162
7.183	172
7.187	176
7.19	178
7.193	178
7.197	178
7.2	180
7.203	182
7.207	184
7.21	188
7.213	192
7.217	196
7.22	194
7.223	188
7.227	188
7.23	186
7.233	184
7.237	184
7.24	180
7.243	176
7.247	176
7.25	176
7.253	176
7.257	178
7.26	186
7.263	202
7.267	212
7.27	216
7.273	228
7.277	228
7.28	228
7.283	224
7.287	218
7.29	216
7.293	216
7.297	216
7.3	214
7.303	212
7.307	204
7.31	204
7.313	206
7.317	200
7.32	198
7.323	192
7.327	196
7.33	198
7.333	202
7.337	204
7.34	204
7.343	206
7.347	208
7.35	210
7.353	206
7.357	198
7.36	192
7.363	194
7.367	196
7.37	202
7.373	222
7.377	230
7.38	234
7.383	240
7.387	244
7.39	248
7.393	242
7.397	234
7.4	226
7.403	216
7.407	218
7.41	220
7.413	220
7.417	220
7.42	220
7.423	226
7.427	220
7.43	216
7.433	210
7.437	210
7.44	206
7.443	202
7.447	196
7.45	194
7.453	190
7.457	192
7.46	190
7.463	184
7.467	190
7.47	206
7.473	218
7.477	244
7.48	256
7.483	272
7.487	276
7.49	278
7.493	270
7.497	262
7.5	258
7.503	304
7.507	300
7.51	278
7.513	260
7.517	252
7.52	252
7.523	248
7.527	242
7.53	244
7.533	246
7.537	252
7.54	256
7.543	260
7.547	284
7.55	302
7.553	318
7.557	328
7.56	336
7.563	346
7.567	342
7.57	336
7.573	326
7.577	316
7.58	316
7.583	314
7.587	316
7.59	322
7.593	326
7.597	328
7.6	330
7.603	318
7.607	308
7.61	308
7.613	310
7.617	308
7.62	294
7.623	296
7.627	294
7.63	294
7.633	294
7.637	292
7.64	280
7.643	272
7.647	282
7.65	294
7.653	304
7.657	308
7.66	312
7.663	334
7.667	352
7.67	364
7.673	362
7.677	370
7.68	372
7.683	370
7.687	366
7.69	356
7.693	336
7.697	322
7.7	316
7.703	292
7.707	276
7.71	276
7.713	276
7.717	276
7.72	274
7.723	268
7.727	266
7.73	264
7.733	262
7.737	260
7.74	260
7.743	262
7.747	264
7.75	268
7.753	268
7.757	270
7.76	274
7.763	276
7.767	274
7.77	270
7.773	266
7.777	264
7.78	262
7.783	258
7.787	254
7.79	254
7.793	246
7.797	240
7.8	234
7.803	222
7.807	214
7.81	196
7.813	174
7.817	166
7.82	164
7.823	146
7.827	132
7.83	122
7.833	122
7.837	132
7.84	138
7.843	142
7.847	168
7.85	192
7.853	206
7.857	214
7.86	224
7.863	230
7.867	232
7.87	226
7.873	222
7.877	214
7.88	198
7.883	180
7.887	178
7.89	176
7.893	176
7.897	178
7.9	186
7.903	196
7.907	194
7.91	186
7.913	186
7.917	184
7.92	182
7.923	174
7.927	172
7.93	172
7.933	174
7.937	170
7.94	170
7.943	172
7.947	172
7.95	172
7.953	172
7.957	172
7.96	174
7.963	174
7.967	170
7.97	166
7.973	164
7.977	164
7.98	166
7.983	166
7.987	168
7.99	180
7.993	184
7.997	188
8	204
8.003	70
8.007	102
8.01	106
8.013	114
8.017	200
8.02	218
8.023	196
8.027	174
8.03	172
8.033	162
8.037	152
8.04	144
8.043	140
8.047	134
8.05	134
8.053	132
8.057	132
8.06	132
8.063	128
8.067	128
8.07	128
8.073	128
8.077	128
8.08	130
8.083	130
8.087	136
8.09	150
8.093	154
8.097	152
8.1	154
8.103	158
8.107	158
8.11	158
8.113	156
8.117	156
8.12	156
8.123	154
8.127	156
8.13	156
8.133	158
8.137	160
8.14	162
8.143	162
8.147	168
8.15	170
8.153	170
8.157	170
8.16	172
8.163	176
8.167	176
8.17	178
8.173	180
8.177	186
8.18	192
8.183	194
8.187	194
8.19	192
8.193	196
8.197	200
8.2	200
8.203	202
8.207	200
8.21	208
8.213	202
8.217	196
8.22	194
8.223	178
8.227	158
8.23	148
8.233	146
8.237	138
8.24	136
8.243	136
8.247	132
8.25	128
8.253	126
8.257	126
8.26	124
8.263	126
8.267	126
8.27	124
8.273	126
8.277	126
8.28	128
8.283	130
8.287	134
8.29	142
8.293	152
8.297	154
8.3	156
8.303	158
8.307	160
8.31	164
8.313	164
8.317	170
8.32	174
8.323	174
8.327	178
8.33	180
8.333	184
8.337	184
8.34	184
8.343	196
8.347	206
8.35	226
8.353	228
8.357	234
8.36	238
8.363	236
8.367	230
8.37	222
8.373	218
8.377	216
8.38	214
8.383	214
8.387	212
8.39	212
8.393	208
8.397	204
8.4	200
8.403	200
8.407	196
8.41	196
8.413	194
8.417	192
8.42	190
8.423	184
8.427	176
8.43	172
8.433	164
8.437	160
8.44	154
8.443	154
8.447	150
8.45	142
8.453	136
8.457	132
8.46	132
8.463	132
8.467	132
8.47	132
8.473	132
8.477	136
8.48	142
8.483	148
8.487	148
8.49	148
8.493	146
8.497	144
8.5	146
8.503	146
8.507	148
8.51	148
8.513	156
8.517	162
8.52	166
8.523	172
8.527	176
8.53	180
8.533	182
8.537	182
8.54	180
8.543	180
8.547	178
8.55	176
8.553	174
8.557	176
8.56	176
8.563	184
8.567	190
8.57	194
8.573	194
8.577	192
8.58	194
8.583	194
8.587	198
8.59	220
8.593	232
8.597	238
8.6	244
8.603	250
8.607	248
8.61	242
8.613	242
8.617	238
8.62	238
8.623	238
8.627	238
8.63	232
8.633	230
8.637	230
8.64	228
8.643	224
8.647	218
8.65	216
8.653	224
8.657	226
8.66	226
8.663	220
8.667	222
8.67	224
8.673	224
8.677	222
8.68	220
8.683	206
8.687	198
8.69	190
8.693	184
8.697	182
8.7	180
8.703	180
