,secs0,lMean0,lStd0,secs1,lMean1,lStd1,secs2,lMean2,lStd2,secs3,lMean3,lStd3,secs4,lMean4,lStd4,secs5,lMean5,lStd5,secs6,lMean6,lStd6,secs7,lMean7,lStd7,secs8,lMean8,lStd8,secs9,lMean9,lStd9
0,3.626999999999999,0.6104908377037979,0.017787227716317897,3.626999999999999,0.6104908377037979,0.017787227716317897,3.626999999999999,0.6104908377037979,0.017787227716317897,3.626999999999999,0.6104908377037979,0.017787227716317897,3.626999999999999,0.6104908377037979,0.017787227716317897,3.626999999999999,0.6104908377037979,0.017787227716317897,3.626999999999999,0.6104908377037979,0.017787227716317897,3.626999999999999,0.6104908377037979,0.017787227716317897,3.626999999999999,0.6104908377037979,0.017787227716317897,3.626999999999999,0.6104908377037979,0.017787227716317897
1,4.6715,0.6253679504891493,0.00810193061934789,5.112,0.6201689123609261,0.012887563459189665,5.541499999999999,0.6323295462651046,0.009746208981224734,6.004,0.6160782577345124,0.006915730546347167,6.4285,0.5955653197501778,0.008918171675465726,6.879499999999999,0.6021978983809239,0.004618707606243611,7.324,0.5919527613437897,0.009631226691530144,7.763,0.589356520066823,0.014171876246401646,8.1975,0.574247756107055,0.00010717134495434904,8.6565,0.5523550661445632,0.00837273775687261
2,5.686,0.6169719555507417,0.009480719935263247,6.530499999999999,0.6050724148471369,0.0076706823565551915,7.4245,0.6066140048596408,0.012346848114309505,8.3305,0.566682877901413,0.009117658943755567,9.209,0.5404946438883241,0.0025007992565207714,10.102,0.5218420429433159,0.0533594670369597,11.0125,0.4768486370844554,0.0019009040394089066,11.875499999999999,0.46306388957229144,0.005983921398867714,12.7555,0.466022051460349,0.0011783804420009837,13.681,0.5055888030484307,0.00668173217606232
3,6.67,0.5984801809494483,0.005058214896966065,7.997,0.5728163239353619,0.0054806724008093595,9.3385,0.5193019349621517,0.04551307592496549,10.67,0.5242579629690421,0.04902938170052458,11.998000000000001,0.4689851030653634,0.0030371854127467087,13.325,0.48607097408581007,0.002857967845899642,14.649999999999999,0.5079287979612107,0.015785827264720855,16.011499999999998,0.4830856573698306,0.01794900556138145,17.3295,0.4941012304093471,0.01065248055150364,18.66,0.5268448974274172,0.0013797368369066814
4,7.6595,0.5868040701746375,0.007842640762883506,9.4675,0.5416998433302395,0.0025217439286326633,11.2285,0.47336110347468496,0.007475509346003922,12.996500000000001,0.47186163053844665,0.0069251004155906366,14.7665,0.46962623430614486,0.027228143882217552,16.529,0.5097723069099268,0.004798740196481916,18.321,0.5288676502106774,0.008946505997355868,20.113500000000002,0.4691273561405056,0.055237748991570315,21.878999999999998,0.5113224549235335,0.006560236431512679,23.646500000000003,0.5178362880067967,0.001163581314075842
5,8.6565,0.5523550661445632,0.00837273775687261,10.888,0.47003550276281253,0.007280171484640978,13.1165,0.4792938521259756,0.0036998570127167517,15.347999999999999,0.48450812981574765,0.02359136041351363,17.528,0.44671520718730423,0.06212778725593284,19.7795,0.5054530731687836,0.037918997558076956,21.988999999999997,0.5030347147376318,0.004403924412761717,24.238500000000002,0.46013211466936615,0.029676937479453536,26.420499999999997,0.5223422696656376,0.036141404368004615,28.6685,0.40368229593106736,0.004471087325429888
6,9.66,0.5564491895024494,0.0019749238667286072,12.331499999999998,0.46563577390479843,0.0015067075628883103,14.999500000000001,0.48919011374844174,0.027579953579426168,17.6415,0.47348381438395554,0.05707954702822096,20.3365,0.421604859043254,0.005408091649889139,22.997,0.5096493305284806,0.009399414935002907,25.6535,0.5037299387168174,0.011282573823394157,28.3315,0.40776350919563575,0.0035751949804720025,31.003999999999998,0.39845237822279383,0.002403023035181581,33.6715,0.39881538010197976,0.0026330515873305227
7,10.67,0.5242579629690421,0.04902938170052458,13.7995,0.49149274223925393,0.006612821647251451,16.8725,0.49675467117466815,0.05384148935665094,20.002499999999998,0.49300376547597274,0.06036507325082502,23.105,0.428547947421773,0.004285574790462008,26.2095,0.49901027812955806,0.0030287341686097355,29.34,0.4076587682644286,0.003034840848598333,32.445,0.399024893922933,0.002526170383945887,35.551,0.4133758319652076,0.004387745737970015,38.658500000000004,0.4191048688454044,0.004380591783571381
8,11.6615,0.4730864429569857,0.007486981420874228,15.231499999999997,0.5109134300305885,0.005233106292042238,18.7725,0.5019539210186684,0.06037748355117849,22.317,0.48571060901856783,0.045102766787541076,25.892000000000003,0.4327470507468882,0.030115488272838876,29.4435,0.44036785803487505,0.05879808379031599,32.9975,0.39860275282938806,0.0013389108529330291,36.554,0.4206791609946423,0.006518364517291261,40.115,0.41883524096139074,0.003248032215121834,43.658,0.412713881600862,0.024028887059415905
9,12.666,0.46811850572278396,0.0020753312006680817,16.644,0.5335583337096101,0.006653786564088741,20.6685,0.46246864803885646,0.05304785556369682,24.668,0.4867838226823597,0.03444891665543383,28.6685,0.40368229593106736,0.004471087325429888,32.671,0.40219286606197713,0.0034139184702881823,36.6515,0.41399080250346704,0.0007208083848975817,40.6605,0.41768953206215986,0.00441496225706179,44.650999999999996,0.3928742010848936,0.0017350637204797395,48.6505,0.4061006406676946,0.0013840597841143047
10,13.681,0.49614802267348795,0.01342571483278977,18.0955,0.5348977926376149,0.005347467268527394,22.535,0.4708808392548966,0.039121051335783086,27.0,0.4785732503042838,0.01523475863293215,31.435500000000005,0.402553978208355,0.0006825052837561355,35.894000000000005,0.41713898344418876,0.006379855623562306,40.328500000000005,0.42108757501776944,0.003811860622981114,44.7665,0.3936872665189564,0.0038889357563060313,49.210499999999996,0.40800301233553626,0.00439307457922067,53.644,0.39080458336884044,0.0031661272673735837
