,secs0,lMean0,lStd0,secs1,lMean1,lStd1,secs2,lMean2,lStd2,secs3,lMean3,lStd3,secs4,lMean4,lStd4,secs5,lMean5,lStd5,secs6,lMean6,lStd6,secs7,lMean7,lStd7,secs8,lMean8,lStd8,secs9,lMean9,lStd9,secs10,lMean10,lStd10,secs11,lMean11,lStd11,secs12,lMean12,lStd12,secs13,lMean13,lStd13,secs14,lMean14,lStd14,secs15,lMean15,lStd15,secs16,lMean16,lStd16,secs17,lMean17,lStd17,secs18,lMean18,lStd18,secs19,lMean19,lStd19,secs20,lMean20,lStd20,secs21,lMean21,lStd21,secs22,lMean22,lStd22,secs23,lMean23,lStd23,secs24,lMean24,lStd24,secs25,lMean25,lStd25,secs26,lMean26,lStd26,secs27,lMean27,lStd27,secs28,lMean28,lStd28,secs29,lMean29,lStd29,secs30,lMean30,lStd30,secs31,lMean31,lStd31,secs32,lMean32,lStd32,secs33,lMean33,lStd33,secs34,lMean34,lStd34,secs35,lMean35,lStd35,secs36,lMean36,lStd36,secs37,lMean37,lStd37,secs38,lMean38,lStd38,secs39,lMean39,lStd39,secs40,lMean40,lStd40,secs41,lMean41,lStd41,secs42,lMean42,lStd42,secs43,lMean43,lStd43,secs44,lMean44,lStd44,secs45,lMean45,lStd45,secs46,lMean46,lStd46,secs47,lMean47,lStd47,secs48,lMean48,lStd48,secs49,lMean49,lStd49,secs50,lMean50,lStd50,secs51,lMean51,lStd51,secs52,lMean52,lStd52,secs53,lMean53,lStd53,secs54,lMean54,lStd54,secs55,lMean55,lStd55,secs56,lMean56,lStd56,secs57,lMean57,lStd57,secs58,lMean58,lStd58,secs59,lMean59,lStd59,secs60,lMean60,lStd60,secs61,lMean61,lStd61,secs62,lMean62,lStd62,secs63,lMean63,lStd63,secs64,lMean64,lStd64,secs65,lMean65,lStd65,secs66,lMean66,lStd66,secs67,lMean67,lStd67,secs68,lMean68,lStd68,secs69,lMean69,lStd69
141,17.755,0.5487163110903669,0.010204462475285378,27.758499999999998,0.42994014842737815,0.037001908209055676,37.7915,0.4381163916508574,0.00526435090144818,47.796,0.4183682349045208,0.008617424854877483,57.81700000000001,0.37471731205609243,0.00233448385016876,67.83,0.3497858661869329,0.012665504080073093,77.8455,0.3269371590355768,0.0030480450603497687,87.8575,0.32692660395103074,0.0007723123123252001,97.8745,0.338903275155704,0.0028668357649582433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,17.8685,0.541786573087624,0.0012082096627742524,27.9675,0.44045777613052445,0.03093311873697856,38.0325,0.4424894286597145,0.005540872530073981,48.111000000000004,0.4317583200007509,0.0020822258990833946,58.1995,0.37452321524979953,0.004095984768481735,68.275,0.366218958538905,0.007669235220789076,78.351,0.32000211070414536,0.001522714129431452,88.44200000000001,0.32325851486219565,0.002083771973162185,98.53649999999999,0.32863934066242234,0.00211067072586163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,17.953,0.543145339652971,0.005308033467354748,28.1235,0.44359285962598366,0.036262273026884936,38.274,0.44523323788274904,0.00504221632535347,48.426,0.42566236787311706,0.018374202215192773,58.5805,0.37495646751326356,0.002305362315814448,68.719,0.3730784132701041,0.0020180587267295395,78.8945,0.3187358949541224,0.003218340004995643,89.04399999999998,0.3213847390273538,0.0005611841470590164,99.19800000000001,0.3283922806338606,0.003029350782172613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,18.0665,0.5546634182634066,0.006246189742356185,28.2795,0.436730687681499,0.028148919377972082,38.5145,0.4391004797103287,0.0023110208941618062,48.7405,0.43869209121758085,0.003420763860573149,58.9615,0.37419688184249505,0.003315384744984689,69.2025,0.36675267517865745,0.005373357083113613,79.417,0.32126395771671395,0.0042239291787509285,89.64499999999998,0.3231888334648179,0.0015173384572797787,99.858,0.3221397045180204,0.0011385301222573115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,18.1515,0.547145800722083,0.004532590403636225,28.461,0.4369130090267657,0.03572179021001686,38.7545,0.4428319252592859,0.0010167709454910444,49.054500000000004,0.41756982894220723,0.022763357369210667,59.341499999999996,0.3724956468226031,0.0008231603900815562,69.6445,0.3805211724554512,0.0014502160283321503,79.93950000000001,0.3186867993349732,0.0004728932210625403,90.245,0.32546640308941854,0.003021645238118891,100.536,0.32380601334488673,0.0008959395264088375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,18.265,0.542513862705572,0.01677969348525593,28.616500000000002,0.4395330366083284,0.04304690696015782,38.994,0.4473782127382931,0.0004518324063807248,49.3445,0.3768728168130167,0.0025266231173195,59.721000000000004,0.3698271181846506,0.002270814223715963,70.10650000000001,0.37824923172362995,0.004007693315925831,80.4605,0.3165688953095354,0.0011315473015566326,90.825,0.31940675268702945,0.00040282761677172676,101.1945,0.3241154780322187,0.002661877113767937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,18.3485,0.5596303280643586,0.0027303207438757185,28.798000000000002,0.42333504015771367,0.06037342171039308,39.23400000000001,0.4470631543382915,0.00388599439497424,49.679,0.37795550698864616,0.003827434534417443,60.099500000000006,0.36315591453126456,0.0009428658341779466,70.547,0.33929416409659047,0.0012974652861048657,80.99999999999999,0.3131702957736034,0.0029737015193856725,91.42349999999999,0.3217074367388039,0.00257003279715319,101.8885,0.32643693864290063,0.004221002116863849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,18.462,0.5515759630847378,0.01044880249954022,28.9785,0.4188785308107916,0.05306796521138484,39.495999999999995,0.44819705878660004,0.0030865492640513442,49.9905,0.3736578266245589,0.002688942536649323,60.498000000000005,0.3603502704846934,0.0018413436955088667,71.027,0.33842355179915656,0.0023000196440473245,81.519,0.3197215547253323,0.001347887167098878,92.0205,0.31684407962290156,0.0036005705040773905,102.545,0.3261729793315941,0.002620929793720185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,18.575,0.5711356385384645,0.008126468902547049,29.134,0.42456024697664096,0.058027763287507014,39.73400000000001,0.4580611685290123,0.006907706770967153,50.302,0.3745628673045593,0.0010095964034501513,60.875,0.35696895601050954,0.002247514246535306,71.46600000000001,0.3336647930383754,0.0019474919984799688,82.03799999999998,0.3169465081787253,0.0008875271249382386,92.61699999999999,0.3191266298713877,0.0012653669245762797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,18.66,0.5637479172918612,0.002501043957297492,29.2885,0.42682135103246477,0.06345893023873243,39.9725,0.435961579875564,0.0220822332417459,50.613,0.3700052798991282,0.004728355381863691,61.272999999999996,0.3517445699674917,0.0037156036748489927,71.924,0.3344488656434487,0.002680005507521215,82.5745,0.3226575703759348,0.002218269017574025,93.2315,0.320423443137756,0.00047097364190830843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
