diffLens	deltas
0.039846816601593144	0.01
0.04010155074887532	0.01036789297658863
0.04542123441207428	0.010735785953177257
0.04167261377617833	0.011103678929765886
0.045505444379963594	0.011471571906354516
0.04760748992628292	0.011839464882943143
0.04783071718795223	0.012207357859531772
0.05127129230240257	0.012575250836120402
0.05107731128378712	0.01294314381270903
0.05114815802704582	0.013311036789297659
0.05015351572243971	0.013678929765886288
0.05038816920441297	0.014046822742474915
0.050254414840513614	0.014414715719063545
0.05302462177058129	0.014782608695652174
0.05259059511885928	0.015150501672240801
0.05395029808032894	0.015518394648829432
0.05376500818598229	0.01588628762541806
0.05476000506336637	0.016254180602006688
0.055458723363095465	0.01662207357859532
0.05559805575193168	0.016989966555183946
0.07055749878636672	0.017357859531772574
0.06901551831265126	0.017725752508361205
0.06318702293589325	0.018093645484949832
0.06880523009862798	0.01846153846153846
0.06103017870130925	0.01882943143812709
0.061707740411967096	0.01919732441471572
0.07004246374325163	0.019565217391304346
0.07261110611344758	0.019933110367892977
0.07177086931993323	0.020301003344481604
0.07117714550827625	0.020668896321070232
0.06927823274002594	0.021036789297658863
0.06790886642507511	0.02140468227424749
0.07137718378234356	0.021772575250836118
0.07059345606253481	0.02214046822742475
0.08332911500333437	0.022508361204013377
0.077997443658465	0.022876254180602004
0.07831118836398154	0.023244147157190635
0.08182783911839188	0.023612040133779263
0.0742246605576621	0.02397993311036789
0.07920849081216053	0.02434782608695652
0.0774058326486774	0.024715719063545152
0.07739524629986058	0.025083612040133776
0.07889845698539502	0.025451505016722407
0.07698239250737642	0.02581939799331104
0.07664451617903618	0.026187290969899663
0.07777454480984677	0.026555183946488294
0.07768776572091542	0.026923076923076925
0.08754179684477938	0.02729096989966555
0.08743506982989122	0.02765886287625418
0.08460316050111098	0.02802675585284281
0.0846994962431214	0.028394648829431435
0.08131706365348426	0.028762541806020066
0.08475626245154749	0.029130434782608697
0.08548597777270867	0.02949832775919732
0.08371955190402788	0.029866220735785952
0.08251884361860587	0.030234113712374583
0.09093861408457209	0.030602006688963207
0.09088688741788536	0.030969899665551838
0.08813403640341959	0.03133779264214047
0.088826270152598	0.03170568561872909
0.08925388255787492	0.032073578595317724
0.08299198377466743	0.032441471571906355
0.08983451662915934	0.03280936454849498
0.08689773093835432	0.03317725752508361
0.08933613635799272	0.03354515050167224
0.09236724497267113	0.033913043478260865
0.09080366598826019	0.034280936454849496
0.0941800405377552	0.03464882943143813
0.09458013777577459	0.03501672240802675
0.08859745687361828	0.03538461538461538
0.09084739617373185	0.03575250836120401
0.08461650370374399	0.03612040133779264
0.09181140194496944	0.03648829431438127
0.09285230542950806	0.0368561872909699
0.09058653945139736	0.037224080267558524
0.09354712817458535	0.037591973244147155
0.09361526318664032	0.037959866220735786
0.09467547938701162	0.03832775919732441
0.08926158541824718	0.03869565217391304
0.09571721028031867	0.03906354515050167
0.09245506415813924	0.0394314381270903
0.09780685691305509	0.03979933110367893
0.09643671865888614	0.04016722408026756
0.0950323268210237	0.04053511705685619
0.09092890839574116	0.04090301003344481
0.09146758456443829	0.041270903010033444
0.0940735696368457	0.041638795986622075
0.09468425929276598	0.0420066889632107
0.09319560675634293	0.04237458193979933
0.09599620465836183	0.04274247491638796
0.09747814518437943	0.043110367892976585
0.0966861207504976	0.043478260869565216
0.09661750668818306	0.04384615384615385
0.0926621716972702	0.04421404682274247
0.10034005985002786	0.0445819397993311
0.09692347180221364	0.04494983277591973
0.09639277647256288	0.04531772575250836
0.09686547672240127	0.04568561872909699
0.09984506046494945	0.04605351170568562
0.09806898082905177	0.04642140468227425
0.09791705384192295	0.046789297658862875
0.10005831835912231	0.047157190635451506
0.09728285518284273	0.04752508361204014
0.0999245879319543	0.04789297658862876
0.10246340456221724	0.04826086956521739
0.09598430033654284	0.04862876254180602
0.09826183343990513	0.04899665551839465
0.10431317359566472	0.04936454849498328
0.09964996735791318	0.04973244147157191
0.09772758337729516	0.05010033444816053
0.09514105377369517	0.050468227424749164
0.09887594520167224	0.050836120401337795
0.09500066970048802	0.05120401337792642
0.10052956237769638	0.05157190635451505
0.09638826332627769	0.05193979933110368
0.09824490623711366	0.052307692307692305
0.09505044863090836	0.052675585284280936
0.0940336517426725	0.05304347826086957
0.09647493410331087	0.05341137123745819
0.10524079947998329	0.05377926421404682
0.10814531863486687	0.05414715719063545
0.09864250600216601	0.05451505016722408
0.09573497681162099	0.05488294314381271
0.09593999353301184	0.05525083612040134
0.101360095080741	0.05561872909698996
0.10020151305591964	0.055986622073578594
0.09872471077619592	0.056354515050167225
0.05667592002015426	0.05672240802675585
0.1066989557470263	0.05709030100334448
0.09894222421701115	0.05745819397993311
0.10438151472111132	0.057826086956521736
0.1012701156998021	0.05819397993311037
0.1015250670195392	0.058561872909699
0.09979851011017163	0.05892976588628762
0.09956132806106409	0.05929765886287625
0.10263312400557581	0.059665551839464884
0.10192910935021646	0.06003344481605351
0.09949891261096533	0.06040133779264214
0.10022661771426056	0.06076923076923077
0.10783788707088313	0.061137123745819394
0.10923451121934542	0.061505016722408025
0.09395824205570066	0.061872909698996656
0.09371214513658072	0.06224080267558528
0.09908581687083962	0.0626086956521739
0.10215086122436966	0.06297658862876254
0.10293427651772764	0.06334448160535117
0.09929767057822379	0.06371237458193979
0.10887710877373931	0.06408026755852843
0.09875209614128957	0.06444816053511705
0.10302514999566462	0.06481605351170568
0.09938073137853673	0.06518394648829431
0.10794210723865459	0.06555183946488294
0.10455211932291202	0.06591973244147156
0.09839123648098606	0.0662876254180602
0.10392833582651409	0.06665551839464882
