,secs0,lMean0,lStd0,secs1,lMean1,lStd1,secs2,lMean2,lStd2,secs3,lMean3,lStd3,secs4,lMean4,lStd4,secs5,lMean5,lStd5,secs6,lMean6,lStd6,secs7,lMean7,lStd7,secs8,lMean8,lStd8,secs9,lMean9,lStd9,secs10,lMean10,lStd10,secs11,lMean11,lStd11,secs12,lMean12,lStd12,secs13,lMean13,lStd13,secs14,lMean14,lStd14,secs15,lMean15,lStd15,secs16,lMean16,lStd16,secs17,lMean17,lStd17,secs18,lMean18,lStd18,secs19,lMean19,lStd19
0,1.6429999999999998,0.38047692105441516,0.010469291508505662,2.2664999999999997,1.2920722301952976,0.0406744890682778,2.9050000000000002,0.653322133510217,0.017330869889009448,3.5205,0.6314269595134617,0.012323976569676577,4.1835,0.6143051304327143,0.013799759743787495,4.789,0.6144140092028871,0.0104125767677126,5.437,0.6090485982024709,0.011427318062997283,6.0625,0.5965312252197895,0.0037993252601055327,6.696,0.5961173963995371,0.0026747251363707504,7.3180000000000005,0.598098484320951,0.011101918269534853,7.962,0.5946171127642595,0.002408176981013752,8.599,0.5922752382249019,0.0008086944319480992,9.229,0.5891034394179769,0.0015937508291879292,9.852500000000001,0.5601637861492591,0.03274186984608939,10.497,0.5768838757206036,0.02786491678147637,11.107,0.555959034594347,0.025831483718599127,11.765,0.5365506003001642,0.0013052159903580675,12.389,0.536095405734894,0.0010509477426296982,13.0065,0.5354417522848327,0.0008176482870184597,13.6445,0.5348033415627054,0.0008632862909280488
1,2.674,0.40618587530938605,0.004930319753830514,3.2795,0.633604827603961,0.01541474826525056,3.936000000000001,0.6036341907158195,0.014317333050738377,4.5685,0.6235586409245676,0.008351747606790454,5.1785000000000005,0.62349541052723,0.004805016767816224,5.832,0.6062839201375428,0.008211190383878358,6.4615,0.6025211814487488,0.00909084922951778,7.099500000000001,0.6018661876030674,0.008592099449626182,7.7225,0.6031079291820082,0.015441381912891045,8.339,0.602138418570373,0.009755280369795305,8.9775,0.6033929598581932,0.01575588615229518,9.608999999999998,0.5979216693950021,0.013500341495130377,10.234,0.56063266824437,0.03358540491425443,10.88,0.5599947113942492,0.03249601661506771,11.518500000000001,0.5368164721275637,0.0013358296932762513,12.151000000000002,0.5366894077845693,0.000950944333967533,12.776500000000004,0.5365405811506522,0.0006457405147729268,13.3955,0.5351054098356367,0.00130877287789982,14.0345,0.5319529544274885,0.0026744873432554815,14.667499999999999,0.5317039586001796,0.00255506939053057
2,3.6745,0.41777272727272696,0.0,4.2995,0.5903113513458699,0.0036334171104955666,4.9375,0.5991717489632298,0.007766879261493663,5.5525,0.6229744945094854,0.004806684986526406,6.2105,0.604465886608689,0.0062689142506574215,6.845000000000001,0.5964078005123378,0.0030041857489720054,7.4565,0.5980607580288734,0.0033226158112124407,8.0825,0.5920281277702301,0.0018768349979313044,8.7295,0.5950233413369551,0.001349066281636871,9.3695,0.5932656730570516,0.002542890033448732,10.002,0.5897691910811346,0.0014681579572647983,10.628,0.5771805777545654,0.02964198869761997,11.2475,0.5364257665662352,0.0016854483971519274,11.888000000000002,0.5375501632346565,0.0018520370423625125,12.521500000000001,0.5364837810081623,0.0015872916852966933,13.148500000000002,0.5368586424006415,0.001717526984250114,13.769000000000002,0.5352060776194234,0.0016081381878270157,14.409500000000001,0.5323728977120702,0.003173310570333281,15.043500000000002,0.5286064833012974,0.0016200699370279579,15.671000000000001,0.5319673929112728,0.002959359348192013
3,4.647,0.41129238060458495,0.018712952728748428,5.2895,0.5883089574213985,0.01924218884418542,5.9435,0.6478526731359242,0.02068175370790751,6.573,0.5963932522465585,0.005362264957270551,7.1805,0.5922960086878089,0.0027942079638849184,7.827999999999999,0.5908367519191055,0.0028530595361980376,8.456,0.580585812707572,0.0058802028213052115,9.075,0.578387423455155,0.0054233164077050824,9.7165,0.5880601790079382,0.003316736154056655,10.350999999999999,0.5857809096758855,0.0033047934787898874,10.9785,0.5774580676760306,0.002389015279372283,11.627499999999998,0.5295108502971991,0.001140717873776053,12.241499999999998,0.5297166893173441,0.0012266747755399756,12.8765,0.5303352156315846,0.0012993646612423607,13.504999999999999,0.5303462876739022,0.0012250691748653974,14.153500000000001,0.5300892774190014,0.0007788393431621344,14.7685,0.5292748406201332,0.0005177882210671161,15.404,0.5288454700860555,0.0008205663939413195,16.032999999999998,0.5289128095341898,0.0004934692206870219,16.681,0.5293984859568539,0.0008469578737732179
4,5.628,0.44922691705790185,0.0,6.287000000000001,0.6190461049087922,0.028098169306788524,6.921,0.5935467396012294,0.008279972893366785,7.5335,0.5881933478670337,0.00985028816699789,8.185500000000001,0.5755297026435177,0.0025347849107817035,8.816,0.5749182403138192,0.00419867912396189,9.4365,0.5707262760465145,0.0012271115151341716,10.0795,0.5007834196679779,0.05688933015886301,10.686499999999999,0.5775898994160205,0.003283288510697298,11.344000000000001,0.5749236627043769,0.0015747874751507532,11.966000000000001,0.5739399590311972,0.0004992115908820417,12.581500000000002,0.5483080169601966,0.017283350172378555,13.218000000000002,0.5356708381261156,0.0015856950710845031,13.847500000000002,0.5360918792376194,0.001243039783498099,14.498,0.531923597951074,0.0022613195754126497,15.114500000000001,0.5305487461310736,0.001766166653855001,15.751,0.5305063232270467,0.002455364998424723,16.381500000000003,0.5299542261609628,0.0018589868850997938,17.005000000000003,0.5079290214598575,0.01596597034215346,17.6485,0.5300679680289438,0.0021431857821885216
5,6.6515,0.4701815878378378,0.0,7.291499999999999,0.5699634184176102,0.02893337654522945,7.907500000000001,0.5735057510671601,0.012600133069502095,8.534500000000001,0.5644269268169145,0.010046210262755767,9.169,0.5635484116071053,0.011160736285300878,9.791,0.5587861881740782,0.004011586602835062,10.435500000000001,0.5516802151518133,0.004569032850330708,11.073,0.49777941348523563,0.0576999281714212,11.703,0.5635012894795058,0.017228356734152645,12.3265,0.5376404203956104,0.00014846235507795012,12.971499999999999,0.5381569397718112,0.0016943249526933275,13.6095,0.5379285907761958,0.0009352779858608415,14.240000000000002,0.5370756201778981,0.0009923826753477497,14.8645,0.5361580027499387,0.0010184340475215435,15.482500000000002,0.535742499833635,0.001998724006749224,16.1205,0.5320905818269057,0.002986455961723881,16.752,0.5312580062836524,0.0026680873590985772,17.377,0.5224908342640009,0.019096246304939554,18.022000000000002,0.5211516256680894,0.01843080421073953,18.66,0.5213384221358717,0.0183160544917325
6,7.679500000000001,0.4301814521815677,0.040655261336961936,8.301,0.5663180676438166,0.010222693408855054,8.931500000000002,0.5611860823667777,0.0062419121065825965,9.570500000000001,0.5505532922259334,0.0122579315767067,10.194,0.5592533832036262,0.00305737196856905,10.840000000000002,0.48930699098869823,0.04456352233727646,11.4495,0.5156355844392999,0.03400945750015974,12.081500000000002,0.48522304188605325,0.035952331054187034,12.735000000000003,0.5377128773833851,0.0023470883880002714,13.353000000000002,0.5366748176312338,0.002480130482781343,13.992,0.5376265234356312,0.001949656647697196,14.624500000000001,0.5329368383531045,0.00457449706982173,15.250500000000002,0.5368966322409999,0.002438927670246264,15.869500000000002,0.533125691828561,0.0040738420308322676,16.509,0.528235293637894,0.002364204031570484,17.142000000000003,0.5272646376178747,0.0024170281972010423,17.7685,0.5184759357117433,0.016360279695454543,18.4145,0.5072909572153573,0.01704099296334065,19.0285,0.5072710331910478,0.017418142592537784,19.6615,0.5218523398046438,0.01879855927733488
7,8.677,0.5055121682936886,0.0,9.312999999999999,0.5817223964282602,0.018959597580882594,9.9255,0.5230966697773197,0.0076258999943754225,10.5815,0.5241333647588767,0.05122433419663308,11.1995,0.4640779562274729,0.0027866113066036696,11.839500000000001,0.47908329226118046,0.003171871215360885,12.4725,0.5212205743139987,0.023434200039614626,13.099,0.48252282914381656,0.035594027667125695,13.7185,0.5284524358660002,0.0023685158691835735,14.3595,0.5328251717997187,0.004691625373753135,14.993,0.5296589210371209,0.00263076853579583,15.620500000000002,0.5306355191465267,0.0016496191957835527,16.241,0.529629608317094,0.001210313671012798,16.881999999999998,0.5291100289650471,0.0008102225383677062,17.516,0.5279913475811102,0.0005200485106803106,18.144,0.5283284392265591,0.0009695450300073228,18.7915,0.5283485607896639,0.0012256866159545382,19.4065,0.5173162700488717,0.015479638174816481,20.041,0.5066156668438754,0.017527515297958377,20.6695,0.518942708175662,0.016349891475901004
8,9.679,0.47083851223771356,0.04262238067937241,10.2965,0.5061546176240938,0.019380649604051687,10.9245,0.45611138502813015,0.012446232179152264,11.5735,0.472016902215003,0.006754900845297309,12.186,0.47688283169927664,0.005072463156469677,12.821,0.48639660148710456,0.003144487882985262,13.448499999999997,0.5315531624182598,0.002577849885095835,14.098,0.4979384258964194,0.02600494135619036,14.712,0.5312297619246611,0.0025790925402944228,15.3475,0.5315447324207981,0.0022109489826434253,15.976,0.531562731958343,0.0021473238958109285,16.625,0.5305853516751831,0.0019272409081120968,17.2405,0.529845155504459,0.0017293855567660423,17.875999999999998,0.528817319921098,0.0015119882729525559,18.505000000000003,0.5290993662104956,0.0014575796767842208,19.154,0.5166960269069601,0.015657612116688868,19.7705,0.5290144670604703,0.001256024367507584,20.406,0.5189475289778979,0.01668057908117271,21.0355,0.5194627932148007,0.0167351944177394,21.659,0.519234853511047,0.016738626980509257
9,10.683499999999999,0.4293959118068081,0.032791649165812654,11.315,0.44983214214453665,0.017119727853206215,11.9355,0.46501721758301845,0.007561582495170878,12.579,0.4668167270186709,0.0014938462511634113,13.215,0.48059153287884887,0.003262894544995154,13.844000000000001,0.45900931736723166,0.0026578896646115,14.4665,0.5307425548062422,0.003939741141236332,15.11,0.5027400561328496,0.026625660483214644,15.719000000000001,0.5326779060449184,0.0032602428070444885,16.349,0.5324786652697754,0.0030869092550857044,16.9995,0.5313455408533718,0.002945720118028972,17.6165,0.5300759272085354,0.0030834198022210925,18.253500000000003,0.5250057427815662,0.0036539886863441516,18.883499999999998,0.5248020179731364,0.0035810629421275356,19.508000000000003,0.5210334566854499,0.0018368047934458035,20.1515,0.5154594492037373,0.015914280299882694,20.7885,0.5060929730782121,0.016268558295552904,21.418999999999997,0.5207625353764386,0.017755030937637625,22.043999999999997,0.4949803524343715,0.000895019313852183,22.6875,0.4950705610791193,0.0009256325252153285
10,11.661,0.39881858342790527,0.014994105643540685,12.312999999999999,0.4599425027689468,0.004395602229322792,12.9285,0.4705740064631965,0.009380437228991678,13.565999999999999,0.494778151044256,0.012693575956279929,14.1965,0.5077502020654513,0.006369010749642617,14.8205,0.4627369806092126,0.002092565394261294,15.4655,0.5150861546903337,0.0027173463562637414,16.1035,0.5033112004057222,0.026954774658889426,16.735,0.5258112664956495,0.0027312802707838784,17.3595,0.5265694857968438,0.0020779591338832286,17.9775,0.5233585986501171,0.0012066727050105016,18.616,0.523514873525885,0.0012367396669853484,19.247999999999998,0.5218541135109825,0.000754524342548815,19.8735,0.5208276586884178,0.0004382931517171036,20.518,0.5217053313697444,0.0002490570668898539,21.1565,0.5044220575917263,0.011931293950995766,21.7885,0.5201720186329793,0.0008674628234471123,22.414499999999997,0.5134834057460423,0.010932731535055043,23.0345,0.5205825059126804,0.0009791628164139573,23.673000000000002,0.5111555624666373,0.011322952663774286
11,12.6475,0.4187652050644125,0.0012908408314391828,13.2935,0.4666883822770451,0.010449302278255395,13.904,0.48433938709488267,0.012258593747203485,14.536000000000001,0.5132567598491825,0.010141286053841937,15.189499999999999,0.5191678346077455,0.007401935511739399,15.808,0.47859548064890295,0.016880994945658555,16.4475,0.5277478964244741,0.0011376379873935835,17.08,0.506233078052691,0.028859023707193492,17.7065,0.5284998310477519,0.0006495309763467755,18.326,0.5280101466297552,0.0014103163110074438,18.965500000000002,0.5278008462894704,0.0016494889225339242,19.599,0.5232845470094681,0.0011115245341232769,20.225499999999997,0.5237439218063367,0.0019909473988355512,20.872,0.5235075150136619,0.0018377940609889355,21.485999999999997,0.5272565707117115,0.0016316975867963406,22.119500000000002,0.5235239276955607,0.0049379279363531816,22.747,0.5293552432379941,0.0008180329406569686,23.393,0.5234841895568737,0.0023391225349991478,24.033,0.5288811327017223,0.00048149598709481916,24.6665,0.523305771154867,0.006209916395118963
12,13.651499999999999,0.40839832420747807,0.023260858511580586,14.292,0.49500258060824476,0.002184171795251811,14.9255,0.485230513243699,0.04243999531354577,15.552,0.531674118882925,0.0047665110785451055,16.172,0.5281035588051095,0.0015026219517465915,16.813,0.4757293995690169,0.04321848905931293,17.447,0.5324038526285154,0.002814431171752409,18.0745,0.5001798793503913,0.04934859616516763,18.7225,0.5298608822399201,0.0011358006253611224,19.337,0.5290580969285649,0.0014927147815188726,19.9715,0.5278436270219334,0.001976338119984693,20.5995,0.5280381699494113,0.0009063673669045698,21.247,0.525043897340518,0.0038252040334333967,21.862499999999997,0.5289705173800981,0.0015675910071081506,22.497,0.5303619848603581,0.0020958853539098828,23.125999999999998,0.5306705541536987,0.0010186075875768961,23.773000000000003,0.5308610070734819,0.0017110228480429859,24.390000000000008,0.5310345764742278,0.0017947845836250912,25.025,0.5293883861764486,0.0004264783755022558,25.654000000000003,0.5301011752766897,0.0010715646063529823
13,14.646999999999998,0.45334432589718743,0.0,15.282,0.5281696564047862,0.016881173087355712,15.91,0.5090726247757278,0.03990753992303091,16.5595,0.5337554129857985,0.006391448783951167,17.1745,0.5398592824792666,0.0044935273744788964,17.81,0.47859288945154305,0.04703007180192829,18.439,0.5382145565733786,0.0024690500255182862,19.088,0.5004179253064387,0.04940686666502322,19.704,0.530307245246404,0.0025206494187133524,20.3395,0.5293237991090689,0.0032685409431546836,20.969,0.5242780824554176,0.00448857378314127,21.592,0.5122204180490412,0.014146631767688616,22.234499999999997,0.5157512957882737,0.016573595740485125,22.871000000000002,0.5315656743363311,0.0024177341966653415,23.500500000000002,0.5326851342123877,0.002885148653094066,24.124500000000005,0.5212218461113531,0.019416913182154574,24.767000000000003,0.5352212529738264,0.001186931357867066,25.403,0.5167806556727639,0.017774530494538934,26.033500000000004,0.5313353739551999,0.0022143980036784536,26.658500000000004,0.5160815168452791,0.01741355518442508
14,15.661999999999999,0.47319903961584603,0.0,16.2915,0.5148257698300925,0.018442225919787062,16.914,0.5190073457990841,0.015098133393881668,17.558,0.5207962112438113,0.00846334931018274,18.1675,0.5440476074544202,0.008819544232551263,18.7975,0.47584058673013957,0.0420171951861114,19.4485,0.5270330333906907,0.004447197860771727,20.0655,0.4949476833296747,0.042451935121036004,20.703,0.5247851956541022,0.0037879737469900094,21.3335,0.5226336785835045,0.0017603914156626892,21.958,0.5112098912609039,0.013939553281840301,22.602,0.5126567380531997,0.014693374334213588,23.238999999999997,0.5046121749897209,0.01723352039808632,23.87,0.5287036178508667,0.008349718600990208,24.495,0.4939186023158233,0.0016901340414851105,25.139,0.4945366393163984,0.0009951146356560279,25.752,0.5168322760399823,0.018575140492990246,26.383499999999998,0.5161601031890665,0.018002856926432435,27.0335,0.516234903190227,0.018311034426607257,27.654,0.5254258436931922,0.0063102369709804925
15,16.668999999999997,0.43946549558252723,0.02151271128983646,17.2935,0.5150383053818767,0.01076128774846416,17.938499999999998,0.5020443015615259,0.006259369954780128,18.576999999999998,0.5318536520276781,0.008325890449410244,19.2085,0.5160774802027636,0.028626458357357748,19.8335,0.47635792243077096,0.04254169941777747,20.451999999999998,0.5259661710402356,0.003506846940454632,21.0905,0.4905170039659505,0.04550697168160785,21.7225,0.5216379290583295,0.0012751817400303398,22.3485,0.4897352676447893,0.0014223187347820372,22.993499999999997,0.5007203101592003,0.01527657037050415,23.631999999999998,0.49061120526016605,0.0011048658527865285,24.239,0.5169284408066296,0.001031828806683626,24.8905,0.5212256202107971,0.007803445376038626,25.511,0.507585240805817,0.010515317611070198,26.1495,0.4901716512689336,0.0004891005683669403,26.7825,0.4888849460320819,0.0009570597124787107,27.409499999999998,0.43448662929079257,0.038938965554671204,28.031499999999998,0.4433194968909711,0.051254443938270736,28.671,0.443703048342501,0.05124862076845459
16,17.6665,0.45931110091228283,0.009664731363402334,18.2855,0.5017757713562921,0.002162010258271601,18.9255,0.48863229681234205,0.04104917421459285,19.558500000000002,0.4818349319705278,0.03678582368166541,20.1845,0.5327201896250829,0.005173310869849752,20.8045,0.48444328821959753,0.037889057382355165,21.444499999999998,0.527454774806066,0.0009896063794394522,22.078000000000003,0.49333687081344396,0.04160092722862782,22.705,0.524819623536295,0.0029627453982619865,23.3515,0.5073656821970941,0.01218940964678463,23.966,0.49073140541933463,0.0011325047321995138,24.6,0.5208029028302192,0.009051330126367517,25.2275,0.5181648858993689,0.00977962215964465,25.8735,0.44062143130610226,0.05068880793345903,26.514000000000003,0.4413676068600929,0.05128639711385601,27.1235,0.40483704238620133,0.00022924077338209493,27.776000000000003,0.4048649862347846,0.0004087554896743432,28.3985,0.40553550454340676,0.0005929042104477791,29.039500000000004,0.4065118857445707,0.0006775321224966682,29.651000000000003,0.40649930153215935,0.0008609222128562598
17,18.6565,0.475864339425855,0.01514170220801785,19.298000000000002,0.42216167808257143,0.011959043570449789,19.932499999999997,0.4424385194825567,0.00907801125151105,20.560000000000002,0.46542099077657345,0.05687652827229735,21.208,0.5269257412192613,0.005251336069721196,21.823,0.4884678049094215,0.042062406190727875,22.4575,0.5191161015807988,0.004073250087376931,23.086,0.4579572184350584,0.03368442383558949,23.7335,0.5079449294357362,0.002651110622186514,24.3495,0.5047952292182355,0.0021259583491267174,24.9845,0.5047709562363479,0.0021915088702419475,25.613500000000002,0.5081126010804625,0.0019746585038261,26.261000000000003,0.506096445159005,0.0017802618674354256,26.877499999999998,0.44007907451861045,0.04830012259001215,27.512999999999998,0.4399986003440622,0.048676815314642435,28.1425,0.4063484094446994,0.0008691058782468551,28.7665,0.40623195705599735,0.0008170945090775658,29.408499999999997,0.40644564554416857,0.0009170341466840712,30.0445,0.406703208849025,0.0011204432342859496,30.6755,0.40732156947842224,0.000610926059768877
