iceDepth	density	STD	weDepth	N_Ave
1.885	352.6493259442291	16.86333810384754	0.635	8.0
4.935	397.1897981572904	20.86375498957716	1.765	8.0
7.675000000000001	431.0756102294289	11.50319017866669	2.89	8.0
10.195	467.065257693734	11.21884323793168	4.015	8.0
12.555	493.6781609195404	14.50509133807324	5.145	8.0
14.79	521.0113960113956	17.34078180048419	6.275	8.0
16.92	538.6609686609687	10.37612156983371	7.4	8.0
18.97	565.2243589743595	17.28438007401812	8.524999999999999	8.0
20.94	582.7083333333323	18.78122400164414	9.655000000000001	8.0
22.855	598.2789855072466	23.01776405719587	10.785	8.0
24.75	615.9420289855078	21.85206174242165	11.93	8.0
26.635	629.0760869565219	18.97315223337765	13.105	8.0
28.48	644.7628458498015	14.58137802705276	14.275	8.0
30.29	659.5849802371554	25.53444576961008	15.455	8.0
32.065	668.831168831169	27.16428657577663	16.635	8.0
33.805	686.6883116883096	31.93557722874661	17.805	8.0
35.515	688.5822510822542	28.23073263152972	18.985	8.0
37.2	706.5476190476181	15.78223045662283	20.155	8.0
38.86	715.7738095238103	32.29543811638987	21.335	8.0
40.5	718.1547619047622	28.24559996236453	22.515	8.0
42.125	733.3333333333336	30.0462606288682	23.685	8.0
43.725	742.4342105263177	27.61395114402105	24.865	8.0
45.33499999999999	748.3552631578925	15.21581903716729	26.065	8.0
46.965	755.3571428571418	37.24402431180624	27.29	8.0
48.585	763.9880952380959	21.14352409394369	28.52	8.0
50.19	768.9223057644106	21.89596383361801	29.75	8.0
51.755	775.255847953216	31.20341248817882	30.955	8.0
53.245	777.4122807017545	28.96203996439909	32.11499999999999	8.0
54.72	795.3216374269027	40.67376533113	33.265	8.0
56.175	793.4941520467813	33.46444602517604	34.42	8.0
57.62	798.6111111111114	26.89571768199064	35.57	8.0
59.06	798.6111111111114	26.89571768199064	36.72499999999999	8.0
60.495	810.049019607846	25.28393484550674	37.875	8.0
61.915	810.4575163398671	36.50050311059497	39.02500000000001	8.0
63.33	823.9379084967269	48.53896992203919	40.175	8.0
64.735	816.5849673202623	43.3064338230916	41.33	8.0
66.14	828.0228758169966	37.15075095888454	42.485	8.0
67.535	830.065359477127	52.28758169934482	43.63500000000001	8.0
68.935	829.2483660130704	37.14401281590698	44.8	8.0
70.33	835.3758169934611	41.14071159703459	45.96	8.0
71.72	842.3202614379088	35.07367309420684	47.12	8.0
73.1	839.4607843137214	24.96513331796356	48.285	8.0
74.465	845.5882352941173	28.47781872211931	49.435	8.0
75.825	852.941176470591	29.41176470588328	50.585	8.0
77.185	845.5882352941173	28.47781872211931	51.745	8.0
78.53999999999999	852.0220588235314	28.5814555247453	52.895	8.0
79.89	859.3749999999976	27.86306321916312	54.045	8.0
81.235	859.3750000000043	48.93815997046961	55.205	8.0
82.57499999999999	858.4558823529385	27.20339813777349	56.355	8.0
83.91499999999999	866.7279411764665	47.39475398659959	57.505	8.0
85.25	865.349264705888	37.44488001385896	58.665	8.0
86.58	864.8897058823536	24.09070298176776	59.815	8.0
87.91	872.7022058823521	34.14061231867622	60.965	8.0
89.235	872.2426470588223	44.37539597269866	62.125	8.0
90.555	871.7830882352982	33.96696230171781	63.27500000000001	8.0
91.875	880.0551470588144	49.39135046936199	64.42500000000001	8.0
93.195	878.6764705882387	40.39937679382214	65.58500000000001	8.0
94.505	886.4889705882413	44.7427188058281	66.735	8.0
95.815	879.1360294117677	49.40845125773318	67.89	8.0
97.125	878.2169117646977	28.68103635409334	69.045	8.0
98.43	893.382352941176	47.7233639181833	70.195	8.0
99.72999999999999	879.1360294117659	49.40845125771119	71.35499999999999	8.0
101.04	885.1102941176512	34.81745758244756	72.505	8.0
102.335	892.4632352941156	26.17468909168543	73.655	8.0
103.635	892.0036764705778	38.81844172741488	74.815	8.0
104.93	885.110294117653	34.81745758249836	75.965	8.0
106.225	899.8161764705821	40.84648169723539	77.11500000000001	8.0
107.515	892.003676470598	38.81844172740718	78.275	8.0
108.805	891.5441176470482	26.63856019524086	79.42500000000001	8.0
110.095	899.356617647073	29.63709069373428	80.57499999999999	8.0
111.385	892.0036764705773	38.81844172739843	81.735	8.0
112.67	898.4375000000042	30.25768239226229	82.88499999999999	8.0
113.955	899.8161764705807	40.84648169722138	84.035	8.0
115.24	898.4375000000131	30.2576823922338	85.195	8.0
116.52	898.4374999999924	30.25768239222699	86.345	8.0
117.8	906.2500000000069	31.25000000000694	87.495	8.0
119.08	898.4374999999931	30.25768239224795	88.655	8.0
119.2734460547504	900.0000000000022	30.61862178479698	88.79973429951691	8.0
