iceDepth	density	weDepth	d18O
39.79	699.9999999999928	22.0	-35.4
39.99	714.2857142857047	22.14	-33.3
40.2	750.0000000000266	22.29	-33.6
40.4	714.2857142857047	22.44	-34.9
40.61	699.9999999999928	22.59	-33.1
40.81	750.0000000000089	22.73	-32.7
41.01	750.0	22.88	-34.1
41.21	666.6666666666666	23.03	-34.1
41.42	750.0000000000089	23.17	-35.2
41.62	749.9999999999823	23.32	-36.5
41.82	699.9999999999928	23.47	-36.0
42.02	750.0000000000266	23.61	-35.7
42.22	749.9999999999823	23.76	-37.1
42.42	750.0000000000089	23.91	-35.6
42.62	666.6666666666666	24.06	-33.3
42.83	750.0	24.2	-33.9
43.03	789.4736842105283	24.35	-35.8
43.22	699.9999999999928	24.5	-34.6
43.42	750.0000000000089	24.64	-32.8
43.62	750.0	24.79	-34.3
43.82	699.9999999999751	24.94	-35.6
44.02	750.0000000000266	25.08	-34.1
44.22	749.9999999999823	25.23	-34.0
44.42	750.0000000000266	25.38	-34.6
44.62	736.8421052631422	25.53	-35.0
44.81	761.9047619047426	25.67	-35.4
45.02	714.2857142857457	25.83	-35.5
45.23	749.9999999999823	25.98	-35.9
45.43	761.9047619047595	26.13	-38.2
45.64	750.0	26.29	-36.5
45.84	761.9047619047852	26.44	-35.5
46.05	749.9999999999823	26.6	-35.3
46.25	714.2857142857047	26.75	-34.8
46.46	800.0000000000178	26.9	-36.0
46.66	750.0	27.06	-34.5
46.86	714.2857142857047	27.21	-33.6
47.07	799.9999999999894	27.36	-34.3
47.27	714.2857142857457	27.52	-34.6
47.48	799.9999999999716	27.67	-33.3
47.68	750.0	27.83	-33.0
47.88	750.0000000000089	27.98	-33.6
48.08	761.9047619047595	28.13	-35.1
48.29	750.0	28.29	-36.5
48.49	750.0000000000089	28.44	-35.0
48.69	799.9999999999894	28.59	-36.7
48.89	749.9999999999823	28.75	-36.8
49.09	800.0000000000178	28.9	-35.7
49.29	750.0	29.06	-35.2
49.49	750.0000000000089	29.21	-33.9
49.69	761.9047619047595	29.36	-34.7
49.9	750.0	29.52	-35.0
50.1	800.0	29.67	-34.2
50.3	789.4736842105175	29.83	-32.1
50.49	750.0000000000089	29.98	-33.2
