,depth,d18O
0,45.4400000000018,-37.1849
1,45.4600000000018,-36.68
2,45.4800000000018,-36.2841
3,45.5000000000018,-35.9217
4,45.5200000000018,-35.529
5,45.5400000000018,-35.2892
6,45.5600000000018,-35.0874
7,45.5800000000018,-35.1292
8,45.6000000000018,-35.0855
9,45.6200000000018,-35.0557
10,45.6400000000018,-35.2124
11,45.6600000000018,-35.4395
12,45.6800000000018,-35.6105
13,45.7000000000019,-35.7296
14,45.7200000000019,-35.7367
15,45.7400000000019,-35.7522
16,45.7600000000019,-35.7912
17,45.7800000000019,-35.7638
18,45.8000000000019,-35.7813
19,45.8200000000019,-35.6548
20,45.8400000000019,-35.5675
21,45.8600000000019,-35.4278
22,45.8800000000019,-35.4296
23,45.9000000000019,-35.2342
24,45.9200000000019,-35.0899
25,45.9400000000019,-34.9941
26,45.9600000000019,-34.925
27,45.9800000000019,-34.8128
28,46.0000000000019,-34.5478
29,46.0200000000019,-34.4553
30,46.0400000000019,-34.5178
31,46.0600000000019,-34.4948
32,46.0800000000019,-34.5864
33,46.1000000000019,-34.7117
34,46.1200000000019,-34.7884
35,46.1400000000019,-34.9247
36,46.1600000000019,-35.1033
37,46.1800000000019,-35.2662
38,46.2000000000019,-35.6039
39,46.2200000000019,-35.8227
40,46.2400000000019,-36.0129
41,46.2600000000019,-36.2116
42,46.2800000000019,-36.2351
43,46.3000000000019,-36.1801
44,46.320000000002,-36.1323
45,46.340000000002,-36.108
46,46.360000000002,-36.0006
47,46.380000000002,-35.7911
48,46.400000000002,-35.6154
49,46.420000000002,-35.3603
50,46.440000000002,-35.0025
51,46.460000000002,-34.7573
52,46.480000000002,-34.588
53,46.500000000002,-34.3428
54,46.520000000002,-34.1335
55,46.540000000002,-34.007
56,46.560000000002,-33.9079
57,46.580000000002,-33.8527
58,46.600000000002,-33.6668
59,46.620000000002,-33.6802
60,46.640000000002,-33.5653
61,46.660000000002,-33.5898
62,46.680000000002,-33.5084
63,46.700000000002,-33.5739
64,46.720000000002,-33.5629
65,46.740000000002,-33.6428
66,46.760000000002,-33.6366
67,46.780000000002,-33.6921
68,46.800000000002,-33.7535
69,46.820000000002,-33.867
70,46.840000000002,-33.9243
71,46.860000000002,-33.8688
72,46.880000000002,-34.1035
73,46.900000000002,-33.9121
74,46.920000000002,-34.0182
75,46.940000000002,-34.3611
76,46.9600000000021,-34.4011
77,46.9800000000021,-34.5193
78,47.0000000000021,-35.1173
79,47.0200000000021,-35.0331
80,47.0400000000021,-35.0901
81,47.0600000000021,-34.9229
82,47.0800000000021,-34.8899
83,47.1000000000021,-34.7943
84,47.1200000000021,-34.6617
85,47.1400000000021,-34.3966
86,47.1600000000021,-34.4862
87,47.1800000000021,-34.2425
88,47.2000000000021,-34.2162
89,47.2200000000021,-34.1131
90,47.2400000000021,-34.0061
91,47.2600000000021,-33.7755
92,47.2800000000021,-33.5711
93,47.3000000000021,-33.4491
94,47.3200000000021,-33.3126
95,47.3400000000021,-33.0537
96,47.3600000000021,-33.0061
97,47.3800000000021,-32.8257
98,47.4000000000021,-32.7784
99,47.4200000000021,-32.78
100,47.4400000000021,-32.8329
101,47.4600000000021,-32.8355
102,47.4800000000021,-32.9464
103,47.5000000000021,-33.046
104,47.5200000000021,-33.1512
105,47.5400000000021,-33.1206
106,47.5600000000021,-33.0872
107,47.5800000000021,-33.1103
108,47.6000000000022,-33.0982
109,47.6200000000022,-33.2354
110,47.6400000000022,-33.2328
111,47.6600000000022,-33.2844
112,47.6800000000022,-33.4394
113,47.7000000000022,-33.4865
114,47.7200000000022,-33.5877
115,47.7400000000022,-33.677
116,47.7600000000022,-33.7897
117,47.7800000000022,-33.9156
118,47.8000000000022,-34.0574
119,47.8200000000022,-34.3163
120,47.8400000000022,-34.3002
121,47.8600000000022,-34.54
122,47.8800000000022,-34.6855
123,47.9000000000022,-34.8682
124,47.9200000000022,-35.15
125,47.9400000000022,-35.343
126,47.9600000000022,-35.4932
127,47.9800000000022,-35.7029
128,48.0000000000022,-35.911
129,48.0200000000022,-36.1088
130,48.0400000000022,-36.3556
131,48.0600000000022,-36.4483
132,48.0800000000022,-36.7306
133,48.1000000000022,-37.0025
134,48.1200000000022,-36.944
135,48.1400000000022,-36.8334
136,48.1600000000022,-36.8094
137,48.1800000000022,-36.4723
138,48.2000000000022,-36.3198
139,48.2200000000023,-35.8192
140,48.2400000000022,-35.6953
141,48.2600000000023,-35.4733
142,48.2800000000023,-35.1884
143,48.3000000000023,-35.0002
144,48.3200000000023,-34.8342
145,48.3400000000023,-34.8423
146,48.3600000000023,-34.6368
147,48.3800000000023,-34.7262
148,48.4000000000023,-34.6895
149,48.4200000000023,-34.928
150,48.4400000000023,-35.0078
151,48.4600000000023,-35.2673
152,48.4800000000023,-35.4317
153,48.5000000000023,-35.9353
154,48.5200000000023,-36.1598
155,48.5400000000023,-36.6854
156,48.5600000000023,-37.1975
157,48.5800000000023,-37.4823
158,48.6000000000023,-37.9378
159,48.6200000000023,-38.0461
160,48.6400000000023,-38.3337
161,48.6600000000023,-38.0292
162,48.6800000000023,-37.4386
163,48.7000000000023,-37.2736
164,48.7200000000023,-37.1683
165,48.7400000000023,-36.8634
166,48.7600000000023,-36.6556
167,48.7800000000023,-36.1663
168,48.8000000000023,-35.8511
169,48.8200000000023,-35.5088
170,48.8400000000023,-35.5396
171,48.8600000000023,-35.6417
172,48.8800000000023,-35.5832
173,48.9000000000024,-35.4292
174,48.9200000000024,-35.5051
175,48.9400000000024,-35.5886
176,48.9600000000024,-35.6461
