Run_ID	Bag	sample	Depth	d17	d18	dD
HKDS2004_Fast_IsoWater_20180723_101806	1003	11	551.375	-18.9159	-35.5814	-276.5393
HKDS2004_Fast_IsoWater_20180723_101806	1003	12	551.400	-19.0486	-35.8559	-278.9047
HKDS2004_Fast_IsoWater_20180723_101806	1003	13	551.425	-19.3030	-36.2441	-282.1946
HKDS2004_Fast_IsoWater_20180723_101806	1003	14	551.450	-19.3427	-36.4469	-283.8123
HKDS2004_Fast_IsoWater_20180723_101806	1003	15	551.475	-19.3900	-36.4977	-283.9229
HKDS2004_Fast_IsoWater_20180723_101806	1003	16	551.500	-19.4424	-36.4617	-283.2941
HKDS2004_Fast_IsoWater_20180723_101806	1003	17	551.525	-19.3249	-36.3317	-282.1512
HKDS2004_Fast_IsoWater_20180723_101806	1003	18	551.550	-19.1937	-36.0886	-280.5794
HKDS2004_Fast_IsoWater_20180723_101806	1003	19	551.575	-19.1042	-35.9692	-279.0761
HKDS2004_Fast_IsoWater_20180723_101806	1003	20	551.600	-19.2071	-36.0404	-278.3556
HKDS2004_Fast_IsoWater_20180723_101806	1003	21	551.625	-19.0807	-35.8865	-277.8683
HKDS2004_Fast_IsoWater_20180723_101806	1003	22	551.650	-19.0798	-35.8627	-277.7284
HKDS2004_Fast_IsoWater_20180723_101806	1004	1	551.675	-19.0201	-35.7613	-277.2557
HKDS2004_Fast_IsoWater_20180723_101806	1004	2	551.700	-18.8988	-35.5659	-275.7378
HKDS2004_Fast_IsoWater_20180723_101806	1004	3	551.725	-18.7460	-35.2556	-273.5018
HKDS2004_Fast_IsoWater_20180723_101806	1004	4	551.750	-18.6997	-35.0992	-272.1269
HKDS2004_Fast_IsoWater_20180723_101806	1004	5	551.775	-18.5530	-34.9248	-271.1899
HKDS2004_Fast_IsoWater_20180723_101806	1004	6	551.800	-18.5778	-34.8955	-271.4955
HKDS2004_Fast_IsoWater_20180723_101806	1004	7	551.825	-18.6606	-35.0831	-272.8612
HKDS2004_Fast_IsoWater_20180723_101806	1004	8	551.850	-18.8203	-35.3895	-274.9990
HKDS2004_Fast_IsoWater_20180723_101806	1004	9	551.875	-18.9537	-35.7079	-277.6637
HKDS2004_Fast_IsoWater_20180723_101806	1004	10	551.900	-19.1753	-36.0835	-280.5081
HKDS2004_Fast_IsoWater_20180723_101806	1004	11	551.925	-19.3103	-36.4038	-283.4547
HKDS2004_Fast_IsoWater_20180723_101806	1004	12	551.950	-19.4008	-36.5325	-285.2755
HKDS2004_Fast_IsoWater_20180723_101806	1004	13	551.975	-19.4665	-36.6442	-285.1477
HKDS2004_Fast_IsoWater_20180723_101806	1004	14	552.000	-19.3268	-36.3735	-282.4336
HKDS2004_Fast_IsoWater_20180723_101806	1004	15	552.025	-19.2344	-36.1475	-279.3543
HKDS2004_Fast_IsoWater_20180723_101806	1004	16	552.050	-19.1925	-36.0581	-278.4687
HKDS2004_Fast_IsoWater_20180723_101806	1004	17	552.075	-19.0769	-35.8369	-275.9245
HKDS2004_Fast_IsoWater_20180723_101806	1004	18	552.100	-18.9451	-35.5852	-273.4801
HKDS2004_Fast_IsoWater_20180723_101806	1004	19	552.125	-18.8267	-35.3487	-272.4261
HKDS2004_Fast_IsoWater_20180723_101806	1004	20	552.150	-18.7245	-35.3133	-273.0486
HKDS2004_Fast_IsoWater_20180723_101806	1004	21	552.175	-18.8581	-35.3931	-274.6328
HKDS2004_Fast_IsoWater_20180723_101806	1004	22	552.200	-18.8591	-35.4961	-275.8279
HKDS2004_Fast_IsoWater_20180723_101806	1005	1	552.225	-18.8381	-35.4813	-276.5492
HKDS2004_Fast_IsoWater_20180723_101806	1005	2	552.250	-18.9194	-35.5328	-276.0134
HKDS2004_Fast_IsoWater_20180723_101806	1005	3	552.275	-18.8658	-35.4243	-274.8237
HKDS2004_Fast_IsoWater_20180723_101806	1005	4	552.300	-18.6575	-35.1790	-273.0674
HKDS2004_Fast_IsoWater_20180723_101806	1005	5	552.325	-18.6517	-35.0503	-271.6689
HKDS2004_Fast_IsoWater_20180723_101806	1005	6	552.350	-18.6543	-35.1098	-271.8433
HKDS2004_Fast_IsoWater_20180723_101806	1005	7	552.375	-18.7594	-35.4018	-274.1573
HKDS2004_Fast_IsoWater_20180723_101806	1005	8	552.400	-18.9782	-35.7516	-276.9785
HKDS2004_Fast_IsoWater_20180723_101806	1005	9	552.425	-19.1464	-36.0207	-279.5513
HKDS2004_Fast_IsoWater_20180723_101806	1005	10	552.450	-19.3169	-36.3432	-281.8899
HKDS2004_Fast_IsoWater_20180723_101806	1005	11	552.475	-19.4579	-36.6558	-283.8203
HKDS2004_Fast_IsoWater_20180723_101806	1005	12	552.500	-19.6189	-36.8309	-285.7758
HKDS2004_Fast_IsoWater_20180723_101806	1005	13	552.525	-19.6218	-36.8878	-286.3431
HKDS2004_Fast_IsoWater_20180723_101806	1005	14	552.550	-19.6072	-36.9661	-286.5764
HKDS2004_Fast_IsoWater_20180723_101806	1005	15	552.575	-19.6576	-36.9255	-286.6328
HKDS2004_Fast_IsoWater_20180723_101806	1005	16	552.600	-19.6160	-36.9104	-286.8871
HKDS2004_Fast_IsoWater_20180723_101806	1005	17	552.625	-19.6287	-36.8946	-287.1450
HKDS2004_Fast_IsoWater_20180723_101806	1005	18	552.650	-19.7462	-36.9896	-287.6466
HKDS2004_Fast_IsoWater_20180724_073105	1005	19	552.675	-19.7776	-37.1685	-288.9520
HKDS2004_Fast_IsoWater_20180724_073105	1005	20	552.700	-19.8615	-37.4621	-291.8720
HKDS2004_Fast_IsoWater_20180724_073105	1005	21	552.725	-19.9756	-37.5850	-293.1407
HKDS2004_Fast_IsoWater_20180724_073105	1005	22	552.750	-20.1613	-37.9290	-295.7900
HKDS2004_Fast_IsoWater_20180724_073105	1006	1	552.775	-20.2099	-37.9939	-296.2572
HKDS2004_Fast_IsoWater_20180724_073105	1006	2	552.800	-20.1324	-37.9095	-295.6006
HKDS2004_Fast_IsoWater_20180724_073105	1006	3	552.825	-20.0173	-37.6874	-293.0969
HKDS2004_Fast_IsoWater_20180724_073105	1006	4	552.850	-19.7982	-37.3280	-290.1603
HKDS2004_Fast_IsoWater_20180724_073105	1006	5	552.875	-19.6402	-37.0144	-287.0579
HKDS2004_Fast_IsoWater_20180724_073105	1006	6	552.900	-19.4107	-36.5715	-283.3456
HKDS2004_Fast_IsoWater_20180724_073105	1006	7	552.925	-19.1729	-36.1771	-280.2021
HKDS2004_Fast_IsoWater_20180724_073105	1006	8	552.950	-19.0992	-35.9531	-277.5967
HKDS2004_Fast_IsoWater_20180724_073105	1006	9	552.975	-19.0086	-35.7288	-275.8189
HKDS2004_Fast_IsoWater_20180724_073105	1006	10	553.000	-18.9046	-35.6126	-275.1578
HKDS2004_Fast_IsoWater_20180724_073105	1006	11	553.025	-18.9256	-35.6341	-275.6759
HKDS2004_Fast_IsoWater_20180724_073105	1006	12	553.050	-18.9129	-35.7265	-276.9462
HKDS2004_Fast_IsoWater_20180724_073105	1006	13	553.075	-19.0899	-35.9249	-278.9305
HKDS2004_Fast_IsoWater_20180724_073105	1006	14	553.100	-19.1793	-36.1636	-281.0522
HKDS2004_Fast_IsoWater_20180724_073105	1006	15	553.125	-19.3780	-36.4746	-284.0082
HKDS2004_Fast_IsoWater_20180724_073105	1006	16	553.150	-19.3831	-36.5638	-285.1828
