Run_ID	Bag	sample	Depth	d17	d18	dD
HKDS2004_Fast_IsoWater_20180802_072659	1214	1	667.175	-20.0755	-37.7702	-292.9954
HKDS2004_Fast_IsoWater_20180802_072659	1214	2	667.200	-19.9994	-37.6567	-291.2116
HKDS2004_Fast_IsoWater_20180802_072659	1214	3	667.225	-19.8047	-37.2508	-287.9644
HKDS2004_Fast_IsoWater_20180802_072659	1214	4	667.250	-19.4986	-36.8457	-284.8623
HKDS2004_Fast_IsoWater_20180802_072659	1214	5	667.275	-19.4001	-36.5280	-282.3958
HKDS2004_Fast_IsoWater_20180802_072659	1214	6	667.300	-19.2695	-36.2665	-279.9719
HKDS2004_Fast_IsoWater_20180802_072659	1214	7	667.325	-19.1549	-36.0754	-278.3354
HKDS2004_Fast_IsoWater_20180802_072659	1214	8	667.350	-19.0577	-35.7937	-276.2090
HKDS2004_Fast_IsoWater_20180802_072659	1214	9	667.375	-18.9157	-35.6051	-274.6539
HKDS2004_Fast_IsoWater_20180802_072659	1214	10	667.400	-18.7816	-35.3983	-273.1775
HKDS2004_Fast_IsoWater_20180802_072659	1214	11	667.425	-18.6254	-35.0365	-271.2384
HKDS2004_Fast_IsoWater_20180802_072659	1214	12	667.450	-18.3937	-34.7347	-268.5031
HKDS2004_Fast_IsoWater_20180802_072659	1214	13	667.475	-18.1823	-34.2507	-265.0542
HKDS2004_Fast_IsoWater_20180802_072659	1214	14	667.500	-17.8667	-33.7214	-260.5039
HKDS2004_Fast_IsoWater_20180802_072659	1214	15	667.525	-17.6831	-33.3781	-257.6295
HKDS2004_Fast_IsoWater_20180802_072659	1214	16	667.550	-17.7086	-33.2681	-256.1222
HKDS2004_Fast_IsoWater_20180802_072659	1214	17	667.575	-17.6237	-33.1799	-256.0299
HKDS2004_Fast_IsoWater_20180802_072659	1214	18	667.600	-17.6897	-33.4714	-258.7497
HKDS2004_Fast_IsoWater_20180802_072659	1214	19	667.625	-18.1668	-34.2012	-265.4789
HKDS2004_Fast_IsoWater_20180802_072659	1214	20	667.650	-18.5449	-34.9725	-272.3554
HKDS2004_Fast_IsoWater_20180802_072659	1214	21	667.675	-18.8242	-35.4840	-276.7889
HKDS2004_Fast_IsoWater_20180802_072659	1214	22	667.700	-19.0420	-35.9401	-281.1776
HKDS2004_Fast_IsoWater_20180802_072659	1215	1	667.725	-19.5387	-36.8314	-287.2025
HKDS2004_Fast_IsoWater_20180802_072659	1215	2	667.750	-19.7223	-37.0689	-288.4092
HKDS2004_Fast_IsoWater_20180802_072659	1215	3	667.775	-19.5333	-36.8422	-287.3021
HKDS2004_Fast_IsoWater_20180802_072659	1215	4	667.800	-19.7025	-37.0110	-286.4724
HKDS2004_Fast_IsoWater_20180802_072659	1215	5	667.825	-19.5409	-36.8934	-285.3780
HKDS2004_Fast_IsoWater_20180802_072659	1215	6	667.850	-19.6586	-36.9439	-285.9907
HKDS2004_Fast_IsoWater_20180802_072659	1215	7	667.875	-19.6861	-36.9707	-286.8229
HKDS2004_Fast_IsoWater_20180802_072659	1215	8	667.900	-19.6734	-37.0877	-288.0385
HKDS2004_Fast_IsoWater_20180802_072659	1215	9	667.925	-19.6908	-37.0938	-288.5807
HKDS2004_Fast_IsoWater_20180802_072659	1215	10	667.950	-19.6245	-36.9912	-288.3287
HKDS2004_Fast_IsoWater_20180802_072659	1215	11	667.975	-19.4816	-36.6766	-285.9964
HKDS2004_Fast_IsoWater_20180802_072659	1215	12	668.000	-19.2603	-36.3726	-282.7015
HKDS2004_Fast_IsoWater_20180802_072659	1215	13	668.025	-19.1480	-36.1387	-279.5166
HKDS2004_Fast_IsoWater_20180802_072659	1215	14	668.050	-19.0760	-35.9852	-278.3427
HKDS2004_Fast_IsoWater_20180802_072659	1215	15	668.075	-19.1392	-36.0741	-279.1985
HKDS2004_Fast_IsoWater_20180802_072659	1215	16	668.100	-19.3395	-36.3346	-282.2345
HKDS2004_Fast_IsoWater_20180802_072659	1215	17	668.125	-19.4601	-36.5379	-284.2893
HKDS2004_Fast_IsoWater_20180802_072659	1215	18	668.150	-19.5784	-36.8614	-286.4428
HKDS2004_Fast_IsoWater_20180802_072659	1215	19	668.175	-19.5418	-36.8067	-287.4175
HKDS2004_Fast_IsoWater_20180802_072659	1215	20	668.200	-19.6447	-36.8873	-286.9206
HKDS2004_Fast_IsoWater_20180802_072659	1215	21	668.225	-19.4885	-36.6891	-285.3503
HKDS2004_Fast_IsoWater_20180802_072659	1215	22	668.250	-18.9981	-35.6384	-276.2083
HKDS2004_Fast_IsoWater_20180802_072659	1216	1	668.275	-19.4604	-36.6392	-284.9141
HKDS2004_Fast_IsoWater_20180802_072659	1216	2	668.300	-19.7722	-37.1913	-289.7698
HKDS2004_Fast_IsoWater_20180802_072659	1216	3	668.325	-19.6286	-36.8905	-287.7541
HKDS2004_Fast_IsoWater_20180802_072659	1216	4	668.350	-19.5526	-36.7029	-284.4156
HKDS2004_Fast_IsoWater_20180802_072659	1216	5	668.375	-19.2717	-36.3346	-281.2374
HKDS2004_Fast_IsoWater_20180802_072659	1216	6	668.400	-19.1593	-36.0396	-278.9287
HKDS2004_Fast_IsoWater_20180802_072659	1216	7	668.425	-19.1070	-35.9779	-278.0911
HKDS2004_Fast_IsoWater_20180802_072659	1216	8	668.450	-19.0268	-35.7976	-277.6078
HKDS2004_Fast_IsoWater_20180802_072659	1216	9	668.475	-19.1884	-36.0274	-279.1177
