depth	cond
1.293	171.139
1.297	212.847
1.3	271.913
1.303	394.988
1.307	413.191
1.31	468.045
1.313	482.856
1.317	487.481
1.32	499.578
1.323	507.222
1.327	348.473
1.33	290.595
1.333	266.863
1.337	266.089
1.34	268.704
1.343	266.919
1.347	264.277
1.35	261.855
1.353	259.269
1.357	253.996
1.36	246.394
1.363	240.396
1.367	235.098
1.37	226.254
1.373	220.451
1.377	214.259
1.38	203.857
1.383	198.094
1.387	191.419
1.39	179.059
1.393	165.868
1.397	155.969
1.4	144.246
1.403	135.552
1.407	129.306
1.41	128.934
1.413	134.293
1.417	145.623
1.42	173.147
1.423	201.641
1.427	221.94
1.43	238.703
1.433	249.575
1.437	256.314
1.44	264.802
1.443	273.103
1.447	271.11
1.45	266.493
1.453	258.486
1.457	251.81
1.46	243.129
1.463	241.09
1.467	238.002
1.47	236.443
1.473	236.653
1.477	236.39
1.48	236.169
1.483	235.207
1.487	232.726
1.49	228.565
1.493	221.949
1.497	216.641
1.5	208.171
1.503	76.53
1.507	76.345
1.51	77.872
1.513	78.649
1.517	79.25
1.52	75.605
1.523	70.307
1.527	68.405
1.53	68.398
1.533	68.86
1.537	69.204
1.54	76.567
1.543	78.754
1.547	77.033
1.55	70.113
1.553	70.231
1.557	73.375
1.56	79.055
1.563	79.975
1.567	78.797
1.57	78.173
1.573	77.958
1.577	78.224
1.58	79.024
1.583	79.739
1.587	82.16
1.59	83.396
1.593	83.977
1.597	84.576
1.6	86.993
1.603	91.322
1.607	97.203
1.61	102.996
1.613	98.263
1.617	95.863
1.62	91.801
1.623	86.977
1.627	79.723
1.63	74.76
1.633	73.747
1.637	74.31
1.64	73.344
1.643	71.121
1.647	66.815
1.65	63.361
1.653	57.017
1.657	53.182
1.66	49.518
1.663	48.706
1.667	48.99
1.67	49.15
1.673	49.445
1.677	49.779
1.68	49.317
1.683	48.794
1.687	49.395
1.69	49.48
1.693	51.857
1.697	47.762
1.7	46.995
1.703	47.322
1.707	47.257
1.71	47.119
1.713	45.858
1.717	44.066
1.72	42.904
1.723	43.523
1.727	43.829
1.73	43.803
1.733	54.026
1.737	45.205
1.74	46.322
1.743	48.309
1.747	50.957
1.75	53.824
1.753	59.115
1.757	80.035
1.76	90.694
1.763	191.126
1.767	199.154
1.77	254.79
1.773	262.016
1.777	268.841
1.78	294.885
1.783	264.774
1.787	448.485
1.79	468.643
1.793	481.976
1.797	505.001
1.8	545.184
1.803	579.018
1.807	506.235
1.81	491.48
1.813	478.1
1.817	468.517
1.82	413.723
1.823	377.496
1.827	293.763
1.83	278.248
1.833	270.053
1.837	263.93
1.84	254.89
1.843	245.298
1.847	228.917
1.85	218.522
1.853	209.676
1.857	197.195
1.86	178.921
1.863	174.075
1.867	173.898
1.87	178.902
1.873	187.68
1.877	193.91
1.88	194.793
1.883	197.924
1.887	196.311
1.89	192.742
1.893	188.166
1.897	184.415
1.9	179.938
1.903	173.701
1.907	178.304
1.91	182.078
1.913	181.213
1.917	182.126
1.92	176.005
1.923	169.089
1.927	165.73
1.93	173.973
1.933	174.74
1.937	159.575
1.94	180.884
1.943	183.589
1.947	178.911
1.95	183.282
1.953	179.605
1.957	183.129
1.96	183.654
1.963	184.373
1.967	184.165
1.97	179.882
1.973	175.411
1.977	171.544
1.98	170.971
1.983	169.378
1.987	169.13
1.99	170.166
1.993	171.842
1.997	172.841
2.0	
2.0	
2.0	
2.0	
2.0	
2.0	
2.0	
2.0	
2.0	
2.0	
2.0	
2.0	
2.0	
2.0	
2.0	
2.0	174.078
2.003	1.375
2.007	1.477
2.01	1.512
2.013	1.446
2.017	1.314
2.02	1.715
2.023	2.033
2.027	2.227
2.03	2.463
2.033	2.715
2.037	3.199
2.04	3.74
2.043	4.148
2.047	6.029
2.05	9.428
2.053	14.702
2.057	17.601
2.06	21.301
2.063	26.302
2.067	26.879
2.07	55.557
2.073	80.096
2.077	102.471
2.08	128.66
2.083	385.044
2.087	314.1
2.09	300.787
2.093	279.692
2.097	303.675
2.1	368.26
2.103	285.505
2.107	280.661
2.11	316.891
2.113	363.296
2.117	403.488
2.12	358.216
2.123	80.487
2.127	98.747
2.13	143.535
2.133	139.934
2.137	139.76
2.14	142.869
2.143	151.318
2.147	155.652
2.15	158.804
2.153	162.153
2.157	164.301
2.16	167.969
2.163	170.526
2.167	172.039
2.17	173.057
2.173	174.086
2.177	176.039
2.18	187.363
2.183	191.707
2.187	194.235
2.19	197.747
2.193	198.76
2.197	198.078
2.2	204.099
2.203	206.439
2.207	201.437
2.21	192.402
2.213	186.199
2.217	179.31
2.22	173.888
2.223	171.37
2.227	169.722
2.23	166.606
2.233	160.174
2.237	159.252
2.24	165.286
2.243	169.528
2.247	180.117
2.25	192.524
2.253	200.67
2.257	205.425
2.26	209.543
2.263	210.811
2.267	212.0
2.27	212.269
2.273	216.71
2.277	218.068
2.28	212.948
2.283	210.696
2.287	210.319
2.29	205.169
2.293	203.835
2.297	202.306
2.3	198.329
2.303	195.573
2.307	195.501
2.31	195.575
2.313	194.995
2.317	193.073
2.32	190.301
2.323	188.433
2.327	186.727
2.33	185.4
2.333	184.522
2.337	182.332
2.34	181.108
2.343	179.7
2.347	180.003
2.35	183.531
2.353	188.615
2.357	191.381
2.36	195.794
2.363	196.765
2.367	196.751
2.37	199.208
2.373	201.024
2.377	202.066
2.38	201.565
2.383	202.356
2.387	202.822
2.39	201.958
2.393	201.021
2.397	200.409
2.4	198.784
2.403	199.664
2.407	200.575
2.41	199.129
2.413	196.75
2.417	196.72
2.42	194.681
2.423	193.363
2.427	191.74
2.43	190.13
2.433	187.572
2.437	185.721
2.44	182.637
2.443	179.435
2.447	176.065
2.45	169.017
2.453	160.462
2.457	153.9
2.46	148.782
2.463	144.899
2.467	143.75
2.47	146.382
2.473	151.483
2.477	154.801
2.48	163.466
2.483	169.086
2.487	172.942
2.49	173.745
2.493	174.965
2.497	176.427
2.5	178.721
2.503	178.556
2.507	177.711
2.51	178.447
2.513	178.007
2.517	178.032
2.52	176.802
2.523	176.183
2.527	175.647
2.53	175.23
2.533	174.795
2.537	172.622
2.54	168.986
2.543	165.371
2.547	163.96
2.55	165.278
2.553	165.253
2.557	169.316
2.56	83.159
2.563	102.429
2.567	102.512
2.57	95.849
2.573	52.736
2.577	52.741
2.58	54.618
2.583	56.891
2.587	58.24
2.59	59.06
2.593	60.266
2.597	61.375
2.6	62.022
2.603	62.423
2.607	63.017
2.61	63.606
2.613	63.635
2.617	63.394
2.62	62.872
2.623	63.092
2.627	63.642
2.63	63.635
2.633	62.605
2.637	61.16
2.64	66.553
2.643	285.213
2.647	188.089
2.65	171.178
2.653	171.227
2.657	172.639
2.66	175.847
2.663	178.827
2.667	178.912
2.67	179.675
2.673	181.19
2.677	183.393
2.68	189.311
2.683	193.605
2.687	199.016
2.69	203.443
2.693	204.581
2.697	202.095
2.7	197.374
2.703	192.791
2.707	171.308
2.71	168.176
2.713	172.236
2.717	186.012
2.72	206.386
2.723	204.974
2.727	198.742
2.73	186.18
2.733	169.952
2.737	162.577
2.74	158.115
2.743	154.16
2.747	152.517
2.75	152.138
2.753	152.056
2.757	150.74
2.76	155.647
2.763	156.221
2.767	157.077
2.77	157.049
2.773	157.875
2.777	159.593
2.78	163.021
2.783	166.654
2.787	169.616
2.79	171.86
2.793	171.895
2.797	173.036
2.8	181.915
2.803	194.042
2.807	198.567
2.81	201.159
2.813	205.418
2.817	207.834
2.82	208.196
2.823	208.867
2.827	219.155
2.83	226.751
2.833	225.696
2.837	212.407
2.84	209.985
2.843	243.694
2.847	269.586
2.85	272.309
2.853	271.531
2.857	269.09
2.86	256.144
2.863	238.884
2.867	236.494
2.87	238.652
2.873	241.904
2.877	243.957
2.88	245.192
2.883	245.385
2.887	245.653
2.89	246.099
2.893	245.61
2.897	244.572
2.9	238.167
2.903	227.977
2.907	217.982
2.91	213.52
2.913	212.082
2.917	208.757
2.92	208.936
2.923	211.509
2.927	209.11
2.93	209.195
2.933	217.594
2.937	219.929
2.94	220.334
2.943	211.188
2.947	185.219
2.95	178.246
2.953	177.179
2.957	172.395
2.96	166.818
2.963	162.569
2.967	157.736
2.97	156.116
2.973	155.723
2.977	155.679
2.98	154.812
2.983	153.857
2.987	152.662
2.99	151.546
2.993	148.248
2.997	148.422
3.0	
3.0	
3.0	
3.0	
3.0	
3.0	
3.0	
3.0	
3.0	
3.0	
3.0	
3.0	
3.0	
3.0	
3.0	152.622
3.003	63.751
3.007	67.989
3.01	70.53
3.013	70.344
3.017	75.856
3.02	92.869
3.023	92.87
3.027	93.651
3.03	94.204
3.033	94.265
3.037	96.598
3.04	95.646
3.043	93.251
3.047	86.97
3.05	81.402
3.053	74.853
3.057	70.545
3.06	62.855
3.063	58.607
3.067	53.767
3.07	48.62
3.073	46.927
3.077	47.457
3.08	50.633
3.083	53.268
3.087	54.396
3.09	56.327
3.093	57.985
3.097	59.178
3.1	60.852
3.103	62.635
3.107	65.45
3.11	69.31
3.113	72.88
3.117	76.307
3.12	83.272
3.123	87.147
3.127	87.261
3.13	85.045
3.133	82.056
3.137	79.926
3.14	80.701
3.143	80.515
3.147	80.167
3.15	79.318
3.153	77.458
3.157	75.717
3.16	72.279
3.163	70.205
3.167	69.359
3.17	69.064
3.173	68.851
3.177	68.812
3.18	69.154
3.183	69.966
3.187	71.231
3.19	72.165
3.193	73.339
3.197	74.821
3.2	76.05
3.203	77.7
3.207	79.258
3.21	82.597
3.213	83.863
3.217	83.996
3.22	83.09
3.223	81.681
3.227	81.192
3.23	78.875
3.233	78.982
3.237	78.863
3.24	85.522
3.243	93.82
3.247	99.653
3.25	110.871
3.253	162.468
3.257	401.734
3.26	192.607
3.263	152.582
3.267	141.82
3.27	137.853
3.273	136.315
3.277	139.308
3.28	146.961
3.283	149.686
3.287	150.031
3.29	155.973
3.293	159.522
3.297	164.483
3.3	163.951
3.303	164.771
3.307	165.01
3.31	163.566
3.313	160.65
3.317	158.4
3.32	152.184
3.323	148.331
3.327	147.23
3.33	146.106
3.333	141.875
3.337	137.653
3.34	132.157
3.343	128.181
3.347	124.295
3.35	118.91
3.353	114.622
3.357	113.643
3.36	113.734
3.363	116.014
3.367	117.434
3.37	118.259
3.373	118.333
3.377	118.436
3.38	119.028
3.383	120.134
3.387	122.091
3.39	123.216
3.393	124.544
3.397	125.631
3.4	126.978
3.403	128.99
3.407	131.401
3.41	134.31
3.413	138.85
3.417	143.578
3.42	148.99
3.423	153.985
3.427	161.338
3.43	169.409
3.433	177.728
3.437	186.729
3.44	199.875
3.443	207.811
3.447	208.163
3.45	203.383
3.453	195.178
3.457	187.666
3.46	164.729
3.463	135.156
3.467	117.008
3.47	106.842
3.473	101.689
3.477	99.331
3.48	105.974
3.483	112.321
3.487	126.752
3.49	155.309
3.493	178.099
3.497	197.76
3.5	231.087
3.503	41.324
3.507	40.672
3.51	40.767
3.513	40.925
3.517	41.218
3.52	41.092
3.523	39.681
3.527	36.889
3.53	36.804
3.533	38.17
3.537	44.096
3.54	61.05
3.543	76.099
3.547	85.954
3.55	90.683
3.553	92.507
3.557	93.726
3.56	90.0
3.563	88.769
3.567	89.171
3.57	91.786
3.573	94.012
3.577	96.64
3.58	99.839
3.583	101.265
3.587	101.985
3.59	103.653
3.593	108.177
3.597	112.274
3.6	120.404
3.603	128.979
3.607	136.34
3.61	319.787
3.613	338.664
3.617	327.579
3.62	337.818
3.623	337.259
3.627	321.667
3.63	320.775
3.633	315.15
3.637	309.586
3.64	306.507
3.643	305.149
3.647	306.554
3.65	305.764
3.653	306.19
3.657	308.594
3.66	308.732
3.663	309.132
3.667	307.573
3.67	305.399
3.673	300.886
3.677	297.269
3.68	279.667
3.683	266.878
3.687	254.937
3.69	242.596
3.693	222.946
3.697	207.605
3.7	197.079
3.703	192.201
3.707	189.846
3.71	189.598
3.713	187.193
3.717	189.781
3.72	194.552
3.723	197.898
3.727	203.93
3.73	206.081
3.733	206.015
3.737	204.164
3.74	196.444
3.743	191.315
3.747	181.45
3.75	170.118
3.753	154.321
3.757	146.838
3.76	137.106
3.763	130.311
3.767	122.407
3.77	118.794
3.773	115.775
3.777	110.467
3.78	101.587
3.783	99.505
3.787	98.31
3.79	98.831
3.793	100.018
3.797	102.049
3.8	105.986
3.803	108.289
3.807	109.173
3.81	110.619
3.813	115.247
3.817	118.099
3.82	119.464
3.823	119.809
3.827	120.361
3.83	125.072
3.833	133.884
3.837	140.911
3.84	166.581
3.843	195.434
3.847	210.309
3.85	215.052
3.853	224.734
3.857	258.911
3.86	262.248
3.863	215.191
3.867	199.306
3.87	204.408
3.873	209.677
3.877	216.306
3.88	225.038
3.883	226.347
3.887	223.691
3.89	220.503
3.893	215.786
3.897	206.313
3.9	197.436
3.903	192.005
3.907	185.222
3.91	180.212
3.913	172.989
3.917	151.511
3.92	121.672
3.923	120.842
3.927	118.833
3.93	96.905
3.933	89.113
3.937	71.226
3.94	57.243
3.943	50.614
3.947	19.137
3.95	7.928
3.953	7.031
3.957	16.563
3.96	44.719
3.963	33.935
3.967	13.44
3.97	8.141
3.973	-2.871
3.977	6.645
3.98	17.142
3.983	17.73
3.987	18.192
3.99	18.589
3.993	18.555
3.997	18.619
4.0	
4.0	
4.0	
4.0	
4.0	
4.0	
4.0	
4.0	
4.0	
4.0	
4.0	
4.0	
4.0	
4.0	
4.0	18.659
4.003	29.759
4.007	32.139
4.01	40.721
4.013	51.856
4.017	62.69
4.02	98.537
4.023	93.508
4.027	80.382
4.03	89.958
4.033	92.506
4.037	96.959
4.04	101.137
4.043	106.637
4.047	115.137
4.05	121.728
4.053	134.069
4.057	139.674
4.06	156.222
4.063	190.646
4.067	194.965
4.07	177.909
4.073	172.541
4.077	169.666
4.08	162.638
4.083	158.461
4.087	149.433
4.09	147.818
4.093	147.274
4.097	159.347
4.1	185.028
4.103	189.548
4.107	204.1
4.11	199.598
4.113	271.966
4.117	271.886
4.12	259.155
4.123	370.962
4.127	388.173
4.13	395.51
4.133	402.935
4.137	402.571
4.14	447.665
4.143	449.646
4.147	450.292
4.15	453.052
4.153	451.199
4.157	448.696
4.16	439.859
4.163	405.02
4.167	326.479
4.17	188.353
4.173	172.484
4.177	161.824
4.18	145.084
4.183	140.938
4.187	140.734
4.19	140.823
4.193	141.716
4.197	141.947
4.2	142.495
4.203	143.705
4.207	145.782
4.21	146.92
4.213	147.398
4.217	147.694
4.22	150.171
4.223	151.8
4.227	153.362
4.23	157.769
4.233	160.633
4.237	164.958
4.24	173.626
4.243	181.195
4.247	186.016
4.25	193.974
4.253	202.778
4.257	207.836
4.26	213.105
4.263	213.711
4.267	208.287
4.27	199.384
4.273	188.589
4.277	180.86
4.28	181.097
4.283	189.457
4.287	206.436
4.29	228.342
4.293	247.493
4.297	253.275
4.3	263.35
4.303	272.741
4.307	282.25
4.31	287.005
4.313	284.002
4.317	278.091
4.32	275.706
4.323	275.956
4.327	277.82
4.33	277.983
4.333	279.95
4.337	283.318
4.34	288.752
4.343	292.047
4.347	301.718
4.35	309.906
4.353	313.528
4.357	313.831
4.36	313.073
4.363	309.827
4.367	303.92
4.37	293.513
4.373	283.254
4.377	267.158
4.38	248.731
4.383	238.907
4.387	229.997
4.39	222.159
4.393	215.785
4.397	213.877
4.4	213.905
4.403	215.388
4.407	221.576
4.41	233.36
4.413	249.049
4.417	264.013
4.42	277.739
4.423	295.967
4.427	314.13
4.43	325.813
4.433	334.677
4.437	342.958
4.44	349.239
4.443	348.833
4.447	355.38
4.45	367.878
4.453	373.535
4.457	357.662
4.46	342.942
4.463	330.675
4.467	308.676
4.47	281.253
4.473	263.915
4.477	262.167
4.48	259.278
4.483	256.882
4.487	252.802
4.49	248.389
4.493	246.733
4.497	246.577
4.5	241.797
4.503	91.004
4.507	90.723
4.51	90.639
4.513	89.754
4.517	88.802
4.52	88.073
4.523	86.203
4.527	85.666
4.53	85.165
4.533	84.13
4.537	83.608
4.54	83.624
4.543	84.034
4.547	85.133
4.55	86.182
4.553	86.476
4.557	86.023
4.56	84.577
4.563	83.715
4.567	81.969
4.57	80.483
4.573	79.36
4.577	78.151
4.58	74.564
4.583	67.665
4.587	60.763
4.59	59.006
4.593	55.643
4.597	53.021
4.6	51.627
4.603	52.165
4.607	53.39
4.61	54.528
4.613	55.466
4.617	58.013
4.62	63.526
4.623	68.325
4.627	73.321
4.63	75.795
4.633	75.82
4.637	72.781
4.64	67.259
4.643	66.359
4.647	67.087
4.65	70.956
4.653	76.383
4.657	81.497
4.66	84.936
4.663	88.688
4.667	93.018
4.67	96.984
4.673	102.154
4.677	105.928
4.68	108.26
4.683	105.378
4.687	100.722
4.69	97.898
4.693	95.317
4.697	93.247
4.7	92.949
4.703	94.446
4.707	94.67
4.71	92.424
4.713	89.967
4.717	88.637
4.72	86.595
4.723	85.01
4.727	83.646
4.73	82.355
4.733	81.84
4.737	81.794
4.74	81.193
4.743	80.939
4.747	80.346
4.75	80.075
4.753	81.231
4.757	81.688
4.76	82.919
4.763	84.428
4.767	86.952
4.77	88.885
4.773	89.451
4.777	90.915
4.78	98.507
4.783	103.139
4.787	107.627
4.79	111.004
4.793	111.726
4.797	110.713
4.8	106.599
4.803	104.791
4.807	103.34
4.81	103.381
4.813	102.752
4.817	102.191
4.82	102.874
4.823	102.216
4.827	99.128
4.83	93.517
4.833	89.759
4.837	93.167
4.84	79.691
4.843	86.669
4.847	96.591
4.85	102.81
4.853	107.324
4.857	111.846
4.86	116.104
4.863	119.371
4.867	120.778
4.87	122.037
4.873	120.611
4.877	118.996
4.88	114.399
4.883	106.19
4.887	100.027
4.89	95.861
4.893	91.475
4.897	88.614
4.9	82.744
4.903	78.499
4.907	75.076
4.91	73.485
4.913	73.486
4.917	73.74
4.92	75.525
4.923	76.243
4.927	77.451
4.93	81.357
4.933	83.467
4.937	85.478
4.94	81.196
4.943	80.051
4.947	78.478
4.95	78.641
4.953	80.689
4.957	83.503
4.96	77.149
4.963	80.276
4.967	100.522
4.97	93.595
4.973	98.339
4.977	90.864
4.98	94.658
