depth	d18O
23.348	-35.07
23.402	-33.42
23.456	-31.88
23.51	-31.25
23.564	-31.79
23.618	-32.92
23.672	-34.01
23.726	-34.45
23.78	-33.94
23.834	-32.5
23.888	-31.07
23.941	-29.92
23.995	-29.46
24.049	-29.64
24.103	-30.35
24.157	-31.55
24.21	-32.44
24.264	-32.74
24.318	-32
24.371	-31.28
24.425	-30.86
24.479	-30.41
24.532	-30.18
24.586	-30.76
24.639	-32.03
24.693	-33.2
24.746	-33.92
24.8	-33.5
24.853	-32.64
24.907	-31.81
24.96	-31.14
25.014	-30.39
25.067	-30.13
25.12	-30.33
25.173	-31.17
25.227	-32.67
25.28	-34.14
25.333	-35.03
25.387	-34.86
25.44	-34.01
25.493	-33.1
25.546	-32.2
25.599	-31.96
25.652	-32.59
25.705	-33.6
25.758	-34.47
25.811	-35.13
25.864	-35.27
25.917	-34.75
25.97	-33.93
26.023	-33.2
26.076	-33.05
26.129	-34.13
26.182	-35.99
26.235	-37.28
26.288	-37.9
26.34	-37.32
26.393	-35.25
26.446	-32.74
26.498	-30.76
26.551	-30.23
26.604	-30.81
26.657	-32.2
26.709	-33.9
26.762	-34.48
26.814	-34.3
26.867	-33.17
26.92	-32.25
26.972	-32.09
27.025	-32.11
27.077	-32.33
27.13	-32.16
27.182	-31.55
27.234	-30.45
27.287	-29.5
27.339	-29.06
27.391	-29.58
27.444	-31.17
27.496	-32.64
27.548	-33.79
27.601	-33.73
27.653	-33.77
27.705	-33.01
27.757	-32.44
27.809	-31.81
27.862	-31.14
27.914	-30.27
27.966	-29.53
28.018	-29.82
28.07	-31.09
28.122	-33.16
28.174	-35.29
28.226	-36.08
28.278	-35.87
28.33	-34.4
28.382	-32.61
28.434	-30.66
28.486	-29.3
28.538	-28.48
28.589	-28.11
28.641	-28.52
28.693	-29.51
28.745	-31.12
28.797	-32.18
28.848	-32.41
28.9	-32.06
28.952	-31.92
29.003	-32.21
29.055	-33.22
29.107	-33.98
29.158	-34.06
29.21	-33.37
29.261	-32.25
29.313	-31.88
29.365	-31.5
29.416	-32.71
29.468	-33.79
29.519	-34.65
29.571	-34.89
29.622	-34.53
29.673	-33.6
29.725	-32.08
29.776	-30.79
29.827	-30.59
29.879	-31.01
29.93	-32.23
29.981	-33.56
30.033	-34.46
30.084	-34.56
30.135	-34.29
30.186	-34.27
30.237	-34.68
30.288	-35.07
30.34	-34.7
30.391	-33.68
30.442	-32.41
30.493	-30.69
30.544	-29.77
30.595	-29.73
30.646	-31.25
30.697	-33.34
30.748	-35.08
